version account-id interface-id srcaddr dstaddr srcport dstport protocol packets bytes start end action log-status
2 858966410158 eni-0e7aabe80d29089d5 10.0.3.129 69.164.213.136 43465 123 17 1 76 1679478921 1679478946 ACCEPT OK
2 858966410158 eni-0e7aabe80d29089d5 10.0.3.129 72.30.35.89 35700 123 17 1 76 1679478921 1679478946 ACCEPT OK
2 858966410158 eni-0e7aabe80d29089d5 10.0.3.129 64.142.54.12 43266 123 17 1 76 1679478921 1679478946 ACCEPT OK
2 858966410158 eni-0e7aabe80d29089d5 10.0.3.129 38.229.54.9 36469 123 17 1 76 1679478921 1679478946 ACCEPT OK
2 858966410158 eni-0e7aabe80d29089d5 10.0.3.129 38.229.56.9 56478 123 17 1 76 1679478921 1679478946 ACCEPT OK
2 858966410158 eni-0e7aabe80d29089d5 10.0.3.129 147.182.158.78 34716 123 17 1 76 1679478921 1679478946 ACCEPT OK
2 858966410158 eni-0e7aabe80d29089d5 10.0.3.129 15.235.141.175 53715 123 17 1 76 1679478921 1679478946 ACCEPT OK
2 858966410158 eni-03ad9499cfe7dd531 162.142.125.83 10.0.1.26 41703 18032 6 1 44 1679478906 1679478922 REJECT OK
2 858966410158 eni-03ad9499cfe7dd531 89.248.165.184 10.0.1.26 41119 27512 6 1 40 1679478906 1679478922 REJECT OK
2 858966410158 eni-03ad9499cfe7dd531 89.248.163.15 10.0.1.26 43282 7614 6 1 40 1679478906 1679478922 REJECT OK
2 858966410158 eni-03ad9499cfe7dd531 205.185.124.93 10.0.1.26 59857 3128 6 1 40 1679478906 1679478922 REJECT OK
2 858966410158 eni-03ad9499cfe7dd531 193.57.40.49 10.0.1.26 47473 9827 6 1 40 1679478906 1679478922 REJECT OK
2 858966410158 eni-03ad9499cfe7dd531 89.248.163.15 10.0.1.26 43282 13734 6 1 40 1679478906 1679478922 REJECT OK
2 858966410158 eni-03ad9499cfe7dd531 47.96.237.3 10.0.1.26 42000 6379 6 1 60 1679478906 1679478922 REJECT OK
2 858966410158 eni-03ad9499cfe7dd531 43.138.80.232 10.0.1.26 49730 6379 6 1 60 1679478964 1679478964 REJECT OK
2 858966410158 eni-0f7ae9ee760bd16d2 89.248.163.76 10.0.1.176 43307 5651 6 1 40 1679478901 1679478930 REJECT OK
2 858966410158 eni-0f7ae9ee760bd16d2 10.0.3.129 10.0.1.176 43465 123 17 1 76 1679478901 1679478930 REJECT OK
2 858966410158 eni-0f7ae9ee760bd16d2 194.26.29.152 10.0.1.176 47899 5744 6 1 40 1679478901 1679478930 REJECT OK
2 858966410158 eni-0f7ae9ee760bd16d2 139.59.37.187 10.0.1.176 59811 7777 6 1 40 1679478901 1679478930 REJECT OK
2 858966410158 eni-0f7ae9ee760bd16d2 195.154.108.235 10.0.1.176 50552 8088 6 1 40 1679478901 1679478930 REJECT OK
2 858966410158 eni-0f7ae9ee760bd16d2 89.248.165.22 10.0.1.176 41749 44854 6 1 40 1679478901 1679478930 REJECT OK
2 858966410158 eni-0f7ae9ee760bd16d2 162.142.125.183 10.0.1.176 57214 8080 6 1 44 1679478901 1679478930 REJECT OK
2 858966410158 eni-0f7ae9ee760bd16d2 10.0.3.129 10.0.1.176 34716 123 17 1 76 1679478901 1679478930 REJECT OK
2 858966410158 eni-0f7ae9ee760bd16d2 162.142.125.186 10.0.1.176 20347 12447 6 1 44 1679478901 1679478930 REJECT OK
2 858966410158 eni-0f7ae9ee760bd16d2 162.142.125.181 10.0.1.176 35260 8280 6 1 44 1679478901 1679478930 REJECT OK
2 858966410158 eni-0f7ae9ee760bd16d2 10.0.3.129 10.0.1.176 56478 123 17 1 76 1679478901 1679478930 REJECT OK
2 858966410158 eni-0f7ae9ee760bd16d2 170.106.115.39 10.0.1.176 55760 3479 6 1 52 1679478901 1679478930 REJECT OK
2 858966410158 eni-0f7ae9ee760bd16d2 10.0.3.129 10.0.1.176 53715 123 17 1 76 1679478901 1679478930 REJECT OK
2 858966410158 eni-0f7ae9ee760bd16d2 10.0.3.129 10.0.1.176 43266 123 17 1 76 1679478901 1679478930 REJECT OK
2 858966410158 eni-0f7ae9ee760bd16d2 10.0.3.129 10.0.1.176 35700 123 17 1 76 1679478901 1679478930 REJECT OK
2 858966410158 eni-0f7ae9ee760bd16d2 10.0.3.129 10.0.1.176 36469 123 17 1 76 1679478901 1679478930 REJECT OK
2 858966410158 eni-0f7ae9ee760bd16d2 59.89.106.157 10.0.1.176 59329 445 6 2 104 1679478930 1679478949 REJECT OK
2 858966410158 eni-0f7ae9ee760bd16d2 118.123.1.35 10.0.1.176 29880 80 6 1 44 1679478930 1679478949 REJECT OK
2 858966410158 eni-0f7ae9ee760bd16d2 162.142.125.244 10.0.1.176 9319 28537 6 1 44 1679478930 1679478949 REJECT OK
