version account-id interface-id srcaddr dstaddr srcport dstport protocol packets bytes start end action log-status
2 858966410158 eni-0e7aabe80d29089d5 - - - - - - - 1679478977 1679479008 - NODATA
2 858966410158 eni-03ad9499cfe7dd531 38.110.42.253 10.0.1.26 0 0 1 1 30 1679478977 1679478988 REJECT OK
2 858966410158 eni-03ad9499cfe7dd531 89.248.163.15 10.0.1.26 43282 6381 6 1 40 1679478977 1679478988 REJECT OK
2 858966410158 eni-03ad9499cfe7dd531 43.246.208.12 10.0.1.26 54528 58000 6 1 40 1679478977 1679478988 REJECT OK
2 858966410158 eni-03ad9499cfe7dd531 89.248.163.15 10.0.1.26 43282 8158 6 1 40 1679478977 1679478988 REJECT OK
2 858966410158 eni-03ad9499cfe7dd531 - - - - - - - 1679478996 1679479027 - NODATA
2 858966410158 eni-0f7ae9ee760bd16d2 79.124.49.158 10.0.1.176 45154 207 6 1 40 1679478961 1679478985 REJECT OK
2 858966410158 eni-0f7ae9ee760bd16d2 194.26.29.169 10.0.1.176 47576 4745 6 1 40 1679478961 1679478985 REJECT OK
2 858966410158 eni-0f7ae9ee760bd16d2 89.248.165.197 10.0.1.176 44357 13407 6 1 40 1679478961 1679478985 REJECT OK
2 858966410158 eni-0f7ae9ee760bd16d2 91.239.97.29 10.0.1.176 39078 174 6 1 40 1679479015 1679479016 REJECT OK
2 858966410158 eni-0f7ae9ee760bd16d2 185.56.80.40 10.0.1.176 57443 8089 6 1 40 1679479015 1679479016 REJECT OK
2 858966410158 eni-03ad9499cfe7dd531 143.42.78.130 10.0.1.26 32945 8080 6 1 40 1679479034 1679479045 REJECT OK
2 858966410158 eni-03ad9499cfe7dd531 162.142.125.239 10.0.1.26 18019 3143 6 1 44 1679479034 1679479045 REJECT OK
2 858966410158 eni-03ad9499cfe7dd531 194.26.29.86 10.0.1.26 48220 3776 6 1 40 1679479034 1679479045 REJECT OK
2 858966410158 eni-03ad9499cfe7dd531 162.142.125.186 10.0.1.26 5284 12126 6 1 44 1679479034 1679479045 REJECT OK
2 858966410158 eni-0e7aabe80d29089d5 - - - - - - - 1679479037 1679479068 - NODATA
2 858966410158 eni-0f7ae9ee760bd16d2 89.248.163.76 10.0.1.176 43307 9641 6 1 40 1679479051 1679479061 REJECT OK
2 858966410158 eni-0f7ae9ee760bd16d2 78.128.114.26 10.0.1.176 60000 443 6 1 44 1679479051 1679479061 REJECT OK
2 858966410158 eni-0f7ae9ee760bd16d2 89.248.163.16 10.0.1.176 43290 8888 6 1 40 1679479051 1679479061 REJECT OK
2 858966410158 eni-0f7ae9ee760bd16d2 193.35.18.165 10.0.1.176 58482 81 6 1 40 1679479024 1679479049 REJECT OK
2 858966410158 eni-0f7ae9ee760bd16d2 89.248.163.76 10.0.1.176 43307 7664 6 1 40 1679479024 1679479049 REJECT OK
2 858966410158 eni-0f7ae9ee760bd16d2 162.142.125.177 10.0.1.176 52910 12268 6 1 44 1679479024 1679479049 REJECT OK
2 858966410158 eni-0f7ae9ee760bd16d2 89.248.163.16 10.0.1.176 43290 6464 6 1 40 1679479024 1679479049 REJECT OK
2 858966410158 eni-0f7ae9ee760bd16d2 162.142.125.190 10.0.1.176 5276 14184 6 1 44 1679479024 1679479049 REJECT OK
2 858966410158 eni-03ad9499cfe7dd531 167.94.145.20 10.0.1.26 32310 35868 6 1 44 1679479058 1679479082 REJECT OK
2 858966410158 eni-03ad9499cfe7dd531 89.248.165.187 10.0.1.26 41171 38519 6 1 40 1679479058 1679479082 REJECT OK
2 858966410158 eni-03ad9499cfe7dd531 89.248.163.74 10.0.1.26 43314 13690 6 1 40 1679479058 1679479082 REJECT OK
2 858966410158 eni-03ad9499cfe7dd531 79.124.58.146 10.0.1.26 52774 6559 6 1 40 1679479058 1679479082 REJECT OK
2 858966410158 eni-0f7ae9ee760bd16d2 162.142.125.87 10.0.1.176 43994 12250 6 1 44 1679479102 1679479103 REJECT OK
2 858966410158 eni-0f7ae9ee760bd16d2 31.214.243.101 10.0.1.176 51833 8088 6 1 40 1679479102 1679479103 REJECT OK
2 858966410158 eni-03ad9499cfe7dd531 162.243.128.11 10.0.1.26 43675 4443 6 1 40 1679479088 1679479114 REJECT OK
2 858966410158 eni-03ad9499cfe7dd531 45.143.200.106 10.0.1.26 47681 8364 6 1 40 1679479088 1679479114 REJECT OK
2 858966410158 eni-03ad9499cfe7dd531 89.248.163.15 10.0.1.26 43282 7773 6 1 40 1679479088 1679479114 REJECT OK
2 858966410158 eni-03ad9499cfe7dd531 154.89.5.92 10.0.1.26 58914 8083 6 1 44 1679479088 1679479114 REJECT OK
2 858966410158 eni-0e7aabe80d29089d5 - - - - - - - 1679479097 1679479128 - NODATA
2 858966410158 eni-0f7ae9ee760bd16d2 138.68.208.20 10.0.1.176 37144 5631 6 1 40 1679479112 1679479134 REJECT OK
2 858966410158 eni-0f7ae9ee760bd16d2 74.201.28.121 10.0.1.176 7438 7 17 1 32 1679479112 1679479134 REJECT OK
2 858966410158 eni-0f7ae9ee760bd16d2 167.94.138.99 10.0.1.176 51642 9200 6 1 44 1679479112 1679479134 REJECT OK
2 858966410158 eni-0f7ae9ee760bd16d2 159.203.208.17 10.0.1.176 37245 7777 6 1 40 1679479112 1679479134 REJECT OK
2 858966410158 eni-0f7ae9ee760bd16d2 162.142.125.185 10.0.1.176 34328 15006 6 1 44 1679479112 1679479134 REJECT OK
2 858966410158 eni-0f7ae9ee760bd16d2 192.241.208.246 10.0.1.176 34366 4443 6 1 40 1679479112 1679479134 REJECT OK
2 858966410158 eni-0f7ae9ee760bd16d2 89.248.163.76 10.0.1.176 43307 11718 6 1 40 1679479112 1679479134 REJECT OK
2 858966410158 eni-03ad9499cfe7dd531 167.94.138.140 10.0.1.26 58484 9083 6 1 44 1679479129 1679479129 REJECT OK
2 858966410158 eni-03ad9499cfe7dd531 89.248.165.186 10.0.1.26 41277 50344 6 1 40 1679479129 1679479129 REJECT OK
2 858966410158 eni-0f7ae9ee760bd16d2 118.123.1.35 10.0.1.176 29880 8888 6 1 44 1679479141 1679479160 REJECT OK
2 858966410158 eni-0f7ae9ee760bd16d2 45.143.200.106 10.0.1.176 47681 9965 6 1 40 1679479141 1679479160 REJECT OK
2 858966410158 eni-03ad9499cfe7dd531 71.6.199.23 10.0.1.26 9531 1701 17 1 88 1679479163 1679479169 REJECT OK
2 858966410158 eni-03ad9499cfe7dd531 89.248.163.74 10.0.1.26 43314 14496 6 1 40 1679479163 1679479169 REJECT OK
2 858966410158 eni-0e7aabe80d29089d5 - - - - - - - 1679479157 1679479188 - NODATA
2 858966410158 eni-0e7aabe80d29089d5 10.0.3.129 209.51.161.238 57504 123 17 1 76 1679479193 1679479194 ACCEPT OK
2 858966410158 eni-0f7ae9ee760bd16d2 162.142.125.190 10.0.1.176 24765 21317 6 1 44 1679479170 1679479186 REJECT OK
2 858966410158 eni-0f7ae9ee760bd16d2 10.0.3.129 10.0.1.176 57504 123 17 1 76 1679479170 1679479186 REJECT OK
