version account-id interface-id srcaddr dstaddr srcport dstport protocol packets bytes start end action log-status
2 858966410158 eni-03ad9499cfe7dd531 162.142.125.181 10.0.1.26 48648 7005 6 1 44 1679479272 1679479291 REJECT OK
2 858966410158 eni-03ad9499cfe7dd531 222.213.236.234 10.0.1.26 46230 6379 6 1 60 1679479272 1679479291 REJECT OK
2 858966410158 eni-03ad9499cfe7dd531 192.241.235.13 10.0.1.26 56859 5631 6 1 40 1679479272 1679479291 REJECT OK
2 858966410158 eni-03ad9499cfe7dd531 170.106.115.55 10.0.1.26 27475 12358 6 1 52 1679479272 1679479291 REJECT OK
2 858966410158 eni-03ad9499cfe7dd531 162.142.125.243 10.0.1.26 47776 57949 6 1 44 1679479272 1679479291 REJECT OK
2 858966410158 eni-0f7ae9ee760bd16d2 89.248.163.16 10.0.1.176 43290 14097 6 1 40 1679479273 1679479274 REJECT OK
2 858966410158 eni-03ad9499cfe7dd531 85.217.145.45 10.0.1.26 46828 81 6 1 40 1679479297 1679479312 REJECT OK
2 858966410158 eni-03ad9499cfe7dd531 162.142.125.188 10.0.1.26 49241 12143 6 1 44 1679479297 1679479312 REJECT OK
2 858966410158 eni-03ad9499cfe7dd531 163.123.142.237 10.0.1.26 44829 14330 6 1 40 1679479297 1679479312 REJECT OK
2 858966410158 eni-0e7aabe80d29089d5 - - - - - - - 1679479277 1679479308 - NODATA
2 858966410158 eni-0f7ae9ee760bd16d2 89.248.165.197 10.0.1.176 44357 17542 6 1 40 1679479294 1679479304 REJECT OK
2 858966410158 eni-0f7ae9ee760bd16d2 162.142.125.184 10.0.1.176 52665 12348 6 1 44 1679479294 1679479304 REJECT OK
2 858966410158 eni-0f7ae9ee760bd16d2 183.136.225.42 10.0.1.176 8088 5061 6 1 44 1679479327 1679479347 REJECT OK
2 858966410158 eni-0f7ae9ee760bd16d2 71.6.135.131 10.0.1.176 23320 8140 6 1 44 1679479327 1679479347 REJECT OK
2 858966410158 eni-0f7ae9ee760bd16d2 118.123.1.35 10.0.1.176 29880 9001 6 1 44 1679479327 1679479347 REJECT OK
2 858966410158 eni-0e7aabe80d29089d5 - - - - - - - 1679479337 1679479368 - NODATA
2 858966410158 eni-03ad9499cfe7dd531 89.248.163.74 10.0.1.26 43314 11673 6 1 40 1679479332 1679479354 REJECT OK
2 858966410158 eni-03ad9499cfe7dd531 95.208.248.138 10.0.1.26 64258 80 6 5 320 1679479332 1679479354 ACCEPT OK
2 858966410158 eni-03ad9499cfe7dd531 95.208.248.138 10.0.1.26 62280 80 6 1 64 1679479332 1679479354 ACCEPT OK
2 858966410158 eni-03ad9499cfe7dd531 162.142.125.184 10.0.1.26 23768 17774 6 1 44 1679479332 1679479354 REJECT OK
2 858966410158 eni-03ad9499cfe7dd531 95.208.248.138 10.0.1.26 53539 80 6 4 256 1679479332 1679479354 ACCEPT OK
2 858966410158 eni-03ad9499cfe7dd531 170.106.115.55 10.0.1.26 44713 2105 6 1 52 1679479332 1679479354 REJECT OK
2 858966410158 eni-0f7ae9ee760bd16d2 162.142.125.183 10.0.1.176 6633 21268 6 1 44 1679479363 1679479366 REJECT OK
2 858966410158 eni-0f7ae9ee760bd16d2 202.95.12.14 10.0.1.176 38045 8151 6 1 44 1679479363 1679479366 REJECT OK
2 858966410158 eni-03ad9499cfe7dd531 95.208.248.138 10.0.1.26 45315 80 6 1 64 1679479362 1679479384 ACCEPT OK
2 858966410158 eni-03ad9499cfe7dd531 95.208.248.138 10.0.1.26 62326 80 6 2 128 1679479362 1679479384 ACCEPT OK
2 858966410158 eni-03ad9499cfe7dd531 95.208.248.138 10.0.1.26 55718 80 6 1 64 1679479362 1679479384 ACCEPT OK
2 858966410158 eni-03ad9499cfe7dd531 95.208.248.138 10.0.1.26 62279 80 6 1 64 1679479362 1679479384 ACCEPT OK
2 858966410158 eni-03ad9499cfe7dd531 95.208.248.138 10.0.1.26 55708 80 6 1 64 1679479362 1679479384 ACCEPT OK
2 858966410158 eni-03ad9499cfe7dd531 95.208.248.138 10.0.1.26 64303 80 6 3 192 1679479362 1679479384 ACCEPT OK
2 858966410158 eni-0e7aabe80d29089d5 - - - - - - - 1679479397 1679479428 - NODATA
2 858966410158 eni-0f7ae9ee760bd16d2 89.248.163.16 10.0.1.176 43290 10320 6 1 40 1679479420 1679479441 REJECT OK
2 858966410158 eni-0f7ae9ee760bd16d2 79.124.49.158 10.0.1.176 45154 35059 6 1 40 1679479420 1679479441 REJECT OK
2 858966410158 eni-0f7ae9ee760bd16d2 10.0.3.129 10.0.1.176 49695 123 17 1 76 1679479420 1679479441 REJECT OK
2 858966410158 eni-0f7ae9ee760bd16d2 89.248.163.16 10.0.1.176 43290 11763 6 1 40 1679479420 1679479441 REJECT OK
