version account-id interface-id srcaddr dstaddr srcport dstport protocol packets bytes start end action log-status
2 858966410158 eni-03ad9499cfe7dd531 89.248.163.200 10.0.1.26 56310 8443 6 1 40 1679479183 1679479205 REJECT OK
2 858966410158 eni-03ad9499cfe7dd531 162.62.191.231 10.0.1.26 19548 7443 6 1 52 1679479183 1679479205 REJECT OK
2 858966410158 eni-03ad9499cfe7dd531 194.26.29.169 10.0.1.26 47576 8062 6 1 40 1679479183 1679479205 REJECT OK
2 858966410158 eni-03ad9499cfe7dd531 64.62.197.28 10.0.1.26 10760 37810 17 1 29 1679479183 1679479205 REJECT OK
2 858966410158 eni-03ad9499cfe7dd531 183.136.225.42 10.0.1.26 8088 37778 6 1 44 1679479183 1679479205 REJECT OK
2 858966410158 eni-0f7ae9ee760bd16d2 162.142.125.179 10.0.1.176 43718 9309 6 1 44 1679479203 1679479209 REJECT OK
2 858966410158 eni-0f7ae9ee760bd16d2 89.248.165.189 10.0.1.176 45605 59156 6 1 40 1679479203 1679479209 REJECT OK
2 858966410158 eni-03ad9499cfe7dd531 222.185.162.66 10.0.1.26 1024 23 6 1 40 1679479209 1679479231 REJECT OK
2 858966410158 eni-03ad9499cfe7dd531 162.142.125.176 10.0.1.26 37048 3102 6 1 44 1679479209 1679479231 REJECT OK
2 858966410158 eni-03ad9499cfe7dd531 89.248.163.15 10.0.1.26 43282 14273 6 1 40 1679479209 1679479231 REJECT OK
2 858966410158 eni-03ad9499cfe7dd531 45.143.200.106 10.0.1.26 47681 8521 6 1 40 1679479209 1679479231 REJECT OK
2 858966410158 eni-0e7aabe80d29089d5 - - - - - - - 1679479217 1679479248 - NODATA
2 858966410158 eni-0f7ae9ee760bd16d2 23.90.160.141 10.0.1.176 25428 55554 6 1 40 1679479259 1679479260 REJECT OK
2 858966410158 eni-03ad9499cfe7dd531 107.170.228.24 10.0.1.26 50034 7777 6 1 40 1679479242 1679479267 REJECT OK
2 858966410158 eni-03ad9499cfe7dd531 89.248.163.74 10.0.1.26 43314 6705 6 1 40 1679479242 1679479267 REJECT OK
