version account-id interface-id srcaddr dstaddr srcport dstport protocol packets bytes start end action log-status
2 858966410158 eni-03ad9499cfe7dd531 162.142.125.184 10.0.1.26 10480 9704 6 1 44 1679479508 1679479518 REJECT OK
2 858966410158 eni-03ad9499cfe7dd531 154.89.5.92 10.0.1.26 58914 9100 6 1 44 1679479508 1679479518 REJECT OK
2 858966410158 eni-03ad9499cfe7dd531 89.248.163.74 10.0.1.26 43314 6925 6 1 40 1679479508 1679479518 REJECT OK
2 858966410158 eni-03ad9499cfe7dd531 89.248.163.200 10.0.1.26 59489 8181 6 1 40 1679479508 1679479518 REJECT OK
2 858966410158 eni-0e7aabe80d29089d5 - - - - - - - 1679479517 1679479548 - NODATA
2 858966410158 eni-0f7ae9ee760bd16d2 89.248.163.76 10.0.1.176 43307 11278 6 1 40 1679479511 1679479520 REJECT OK
2 858966410158 eni-0f7ae9ee760bd16d2 162.142.125.85 10.0.1.176 13740 32202 6 1 44 1679479511 1679479520 REJECT OK
2 858966410158 eni-0f7ae9ee760bd16d2 89.248.163.76 10.0.1.176 43307 7666 6 1 40 1679479511 1679479520 REJECT OK
2 858966410158 eni-0f7ae9ee760bd16d2 89.248.163.76 10.0.1.176 43307 8236 6 1 40 1679479511 1679479520 REJECT OK
2 858966410158 eni-03ad9499cfe7dd531 162.142.125.188 10.0.1.26 36383 18091 6 1 44 1679479543 1679479567 REJECT OK
2 858966410158 eni-03ad9499cfe7dd531 216.218.206.88 10.0.1.26 43870 5672 6 1 40 1679479543 1679479567 REJECT OK
2 858966410158 eni-03ad9499cfe7dd531 89.248.165.186 10.0.1.26 41277 47725 6 1 40 1679479543 1679479567 REJECT OK
2 858966410158 eni-03ad9499cfe7dd531 109.237.97.141 10.0.1.26 55282 2375 6 5 300 1679479543 1679479567 REJECT OK
2 858966410158 eni-03ad9499cfe7dd531 222.186.13.133 10.0.1.26 47764 853 6 1 40 1679479543 1679479567 REJECT OK
2 858966410158 eni-03ad9499cfe7dd531 78.128.113.250 10.0.1.26 47419 7520 6 1 40 1679479543 1679479567 REJECT OK
2 858966410158 eni-0f7ae9ee760bd16d2 192.241.192.21 10.0.1.176 57761 8001 6 1 40 1679479546 1679479553 REJECT OK
2 858966410158 eni-0f7ae9ee760bd16d2 185.254.196.238 10.0.1.176 59202 80 6 1 40 1679479546 1679479553 REJECT OK
2 858966410158 eni-0f7ae9ee760bd16d2 8.219.48.172 10.0.1.176 35650 6379 6 1 60 1679479546 1679479553 REJECT OK
2 858966410158 eni-0f7ae9ee760bd16d2 89.248.165.184 10.0.1.176 41119 29365 6 1 40 1679479546 1679479553 REJECT OK
2 858966410158 eni-0f7ae9ee760bd16d2 118.123.1.35 10.0.1.176 29880 8088 6 1 44 1679479546 1679479553 REJECT OK
2 858966410158 eni-0f7ae9ee760bd16d2 167.94.138.138 10.0.1.176 24714 5601 6 1 44 1679479546 1679479553 REJECT OK
