version account-id interface-id srcaddr dstaddr srcport dstport protocol packets bytes start end action log-status
2 858966410158 eni-0f7ae9ee760bd16d2 91.212.121.39 10.0.1.176 34342 8080 6 1 40 1679479564 1679479577 REJECT OK
2 858966410158 eni-0f7ae9ee760bd16d2 223.13.70.76 10.0.1.176 52496 60023 6 1 40 1679479564 1679479577 REJECT OK
2 858966410158 eni-0f7ae9ee760bd16d2 159.65.56.206 10.0.1.176 5068 5060 17 1 432 1679479564 1679479577 REJECT OK
2 858966410158 eni-03ad9499cfe7dd531 91.240.118.224 10.0.1.26 47904 1100 6 1 40 1679479572 1679479595 REJECT OK
2 858966410158 eni-03ad9499cfe7dd531 94.102.61.27 10.0.1.26 60247 2560 6 1 40 1679479572 1679479595 REJECT OK
2 858966410158 eni-03ad9499cfe7dd531 192.241.208.114 10.0.1.26 60379 8001 6 1 40 1679479572 1679479595 REJECT OK
2 858966410158 eni-03ad9499cfe7dd531 45.148.121.42 10.0.1.26 53025 123 17 1 220 1679479572 1679479595 REJECT OK
2 858966410158 eni-03ad9499cfe7dd531 109.237.97.141 10.0.1.26 55282 2375 6 1 60 1679479572 1679479595 REJECT OK
2 858966410158 eni-03ad9499cfe7dd531 89.248.165.186 10.0.1.26 41277 47055 6 1 40 1679479572 1679479595 REJECT OK
2 858966410158 eni-03ad9499cfe7dd531 89.248.163.74 10.0.1.26 43314 6782 6 1 40 1679479572 1679479595 REJECT OK
2 858966410158 eni-03ad9499cfe7dd531 162.142.125.189 10.0.1.26 50336 18028 6 1 44 1679479572 1679479595 REJECT OK
2 858966410158 eni-0e7aabe80d29089d5 - - - - - - - 1679479577 1679479608 - NODATA
2 858966410158 eni-03ad9499cfe7dd531 89.248.165.197 10.0.1.26 44357 15409 6 1 40 1679479601 1679479607 REJECT OK
2 858966410158 eni-03ad9499cfe7dd531 109.237.97.141 10.0.1.26 55282 2375 6 1 60 1679479601 1679479607 REJECT OK
2 858966410158 eni-0f7ae9ee760bd16d2 89.248.163.76 10.0.1.176 43307 7879 6 1 40 1679479601 1679479606 REJECT OK
2 858966410158 eni-0f7ae9ee760bd16d2 140.99.219.26 10.0.1.176 52301 8191 6 1 40 1679479601 1679479606 REJECT OK
2 858966410158 eni-03ad9499cfe7dd531 151.115.74.64 10.0.1.26 59331 445 6 1 40 1679479629 1679479632 REJECT OK
2 858966410158 eni-03ad9499cfe7dd531 192.241.218.24 10.0.1.26 52520 4786 6 1 40 1679479629 1679479632 REJECT OK
2 858966410158 eni-03ad9499cfe7dd531 1.70.125.90 10.0.1.26 1024 23 6 2 80 1679479629 1679479632 REJECT OK
2 858966410158 eni-0f7ae9ee760bd16d2 67.231.28.131 10.0.1.176 61000 5659 6 1 40 1679479640 1679479646 REJECT OK
2 858966410158 eni-0f7ae9ee760bd16d2 192.241.213.79 10.0.1.176 49467 4786 6 1 40 1679479640 1679479646 REJECT OK
2 858966410158 eni-0e7aabe80d29089d5 - - - - - - - 1679479637 1679479668 - NODATA
2 858966410158 eni-0f7ae9ee760bd16d2 162.142.125.188 10.0.1.176 36242 21284 6 1 44 1679479658 1679479675 REJECT OK
2 858966410158 eni-0f7ae9ee760bd16d2 89.248.163.16 10.0.1.176 43290 6521 6 1 40 1679479658 1679479675 REJECT OK
2 858966410158 eni-0f7ae9ee760bd16d2 185.254.196.238 10.0.1.176 59202 8080 6 1 40 1679479658 1679479675 REJECT OK
2 858966410158 eni-03ad9499cfe7dd531 162.142.125.90 10.0.1.26 9562 12577 6 1 44 1679479669 1679479686 REJECT OK
2 858966410158 eni-03ad9499cfe7dd531 113.90.54.75 10.0.1.26 30316 445 6 1 44 1679479669 1679479686 REJECT OK
2 858966410158 eni-0f7ae9ee760bd16d2 154.89.5.92 10.0.1.176 58914 4443 6 1 44 1679479686 1679479703 REJECT OK
2 858966410158 eni-0f7ae9ee760bd16d2 10.0.3.129 10.0.1.176 37549 123 17 1 76 1679479686 1679479703 REJECT OK
2 858966410158 eni-0f7ae9ee760bd16d2 162.142.125.186 10.0.1.176 14488 9045 6 1 44 1679479686 1679479703 REJECT OK
