version account-id interface-id srcaddr dstaddr srcport dstport protocol packets bytes start end action log-status
2 858966410158 eni-03ad9499cfe7dd531 162.142.125.190 10.0.1.26 38370 10034 6 1 44 1679479779 1679479805 REJECT OK
2 858966410158 eni-03ad9499cfe7dd531 121.42.10.239 10.0.1.26 59691 2375 6 1 40 1679479779 1679479805 REJECT OK
2 858966410158 eni-03ad9499cfe7dd531 162.142.125.190 10.0.1.26 17129 7171 6 1 44 1679479779 1679479805 REJECT OK
2 858966410158 eni-03ad9499cfe7dd531 89.248.165.253 10.0.1.26 46094 12871 6 1 40 1679479779 1679479805 REJECT OK
2 858966410158 eni-03ad9499cfe7dd531 154.89.5.92 10.0.1.26 58914 7000 6 1 44 1679479779 1679479805 REJECT OK
2 858966410158 eni-03ad9499cfe7dd531 154.89.5.92 10.0.1.26 58914 4567 6 1 44 1679479779 1679479805 REJECT OK
2 858966410158 eni-03ad9499cfe7dd531 74.82.47.49 10.0.1.26 56967 50075 6 1 40 1679479779 1679479805 REJECT OK
2 858966410158 eni-0f7ae9ee760bd16d2 104.152.52.105 10.0.1.176 59801 631 17 1 28 1679479801 1679479831 REJECT OK
2 858966410158 eni-0f7ae9ee760bd16d2 104.152.52.105 10.0.1.176 59801 660 6 1 40 1679479801 1679479831 REJECT OK
2 858966410158 eni-0f7ae9ee760bd16d2 104.152.52.105 10.0.1.176 59801 3478 6 1 40 1679479801 1679479831 REJECT OK
2 858966410158 eni-0f7ae9ee760bd16d2 104.152.52.105 10.0.1.176 59801 2049 17 1 28 1679479801 1679479831 REJECT OK
2 858966410158 eni-0f7ae9ee760bd16d2 104.152.52.105 10.0.1.176 59801 3283 6 1 40 1679479801 1679479831 REJECT OK
2 858966410158 eni-0f7ae9ee760bd16d2 104.152.52.105 10.0.1.176 59801 1718 17 1 28 1679479801 1679479831 REJECT OK
2 858966410158 eni-0f7ae9ee760bd16d2 104.152.52.105 10.0.1.176 59801 1311 6 1 40 1679479801 1679479831 REJECT OK
2 858966410158 eni-0f7ae9ee760bd16d2 104.152.52.105 10.0.1.176 59801 1701 17 1 28 1679479801 1679479831 REJECT OK
2 858966410158 eni-0f7ae9ee760bd16d2 104.152.52.105 10.0.1.176 59801 2727 6 1 40 1679479801 1679479831 REJECT OK
