version account-id interface-id srcaddr dstaddr srcport dstport protocol packets bytes start end action log-status
2 858966410158 eni-03ad9499cfe7dd531 95.208.248.138 10.0.1.26 64278 22 6 3 192 1679479836 1679479858 REJECT OK
2 858966410158 eni-03ad9499cfe7dd531 185.254.196.238 10.0.1.26 59202 80 6 1 40 1679479836 1679479858 ACCEPT OK
2 858966410158 eni-03ad9499cfe7dd531 95.208.248.138 10.0.1.26 45360 22 6 1 64 1679479836 1679479858 REJECT OK
2 858966410158 eni-03ad9499cfe7dd531 89.248.165.22 10.0.1.26 41749 40644 6 1 40 1679479836 1679479858 REJECT OK
2 858966410158 eni-03ad9499cfe7dd531 95.208.248.138 10.0.1.26 62300 22 6 1 64 1679479836 1679479858 REJECT OK
2 858966410158 eni-03ad9499cfe7dd531 95.208.248.138 10.0.1.26 45372 22 6 4 256 1679479836 1679479858 REJECT OK
2 858966410158 eni-03ad9499cfe7dd531 89.248.165.52 10.0.1.26 52236 8123 6 1 40 1679479836 1679479858 REJECT OK
2 858966410158 eni-0f7ae9ee760bd16d2 103.196.211.195 10.0.1.176 26296 23 6 1 40 1679479866 1679479878 REJECT OK
2 858966410158 eni-0f7ae9ee760bd16d2 170.187.163.114 10.0.1.176 39907 2082 6 1 44 1679479866 1679479878 REJECT OK
2 858966410158 eni-0e7aabe80d29089d5 - - - - - - - 1679479878 1679479908 - NODATA
2 858966410158 eni-0f7ae9ee760bd16d2 89.248.163.76 10.0.1.176 43307 8747 6 1 40 1679479906 1679479920 REJECT OK
2 858966410158 eni-0f7ae9ee760bd16d2 106.12.170.132 10.0.1.176 60600 6379 6 1 60 1679479906 1679479920 REJECT OK
2 858966410158 eni-03ad9499cfe7dd531 91.240.118.71 10.0.1.26 47937 2212 6 1 40 1679479906 1679479923 REJECT OK
2 858966410158 eni-03ad9499cfe7dd531 89.248.163.15 10.0.1.26 43282 11164 6 1 40 1679479906 1679479923 REJECT OK
2 858966410158 eni-03ad9499cfe7dd531 89.248.163.15 10.0.1.26 43282 13317 6 1 40 1679479906 1679479923 REJECT OK
