version account-id interface-id srcaddr dstaddr srcport dstport protocol packets bytes start end action log-status
2 858966410158 eni-03ad9499cfe7dd531 167.248.133.164 10.0.1.26 26234 12373 6 1 44 1679480411 1679480419 REJECT OK
2 858966410158 eni-03ad9499cfe7dd531 162.142.125.84 10.0.1.26 29415 18064 6 1 44 1679480411 1679480419 REJECT OK
2 858966410158 eni-03ad9499cfe7dd531 89.248.163.74 10.0.1.26 43314 7131 6 1 40 1679480411 1679480419 REJECT OK
2 858966410158 eni-03ad9499cfe7dd531 89.248.163.15 10.0.1.26 43282 10064 6 1 40 1679480411 1679480419 REJECT OK
2 858966410158 eni-03ad9499cfe7dd531 89.248.163.74 10.0.1.26 43314 9022 6 1 40 1679480411 1679480419 REJECT OK
2 858966410158 eni-0f7ae9ee760bd16d2 89.248.163.76 10.0.1.176 43307 10313 6 1 40 1679480481 1679480483 REJECT OK
2 858966410158 eni-0f7ae9ee760bd16d2 162.142.125.186 10.0.1.176 4767 7003 6 1 44 1679480481 1679480483 REJECT OK
2 858966410158 eni-0f7ae9ee760bd16d2 159.223.38.66 10.0.1.176 49637 443 6 1 44 1679480435 1679480460 REJECT OK
2 858966410158 eni-0f7ae9ee760bd16d2 162.142.125.180 10.0.1.176 50972 8910 6 1 44 1679480435 1679480460 REJECT OK
2 858966410158 eni-0f7ae9ee760bd16d2 89.248.163.76 10.0.1.176 43307 9056 6 1 40 1679480435 1679480460 REJECT OK
2 858966410158 eni-0f7ae9ee760bd16d2 10.0.3.129 10.0.1.176 51434 123 17 1 76 1679480435 1679480460 REJECT OK
2 858966410158 eni-0f7ae9ee760bd16d2 162.142.125.188 10.0.1.176 15734 2443 6 1 44 1679480435 1679480460 REJECT OK
2 858966410158 eni-0e7aabe80d29089d5 10.0.3.129 63.211.239.58 51434 123 17 1 76 1679480483 1679480484 ACCEPT OK
2 858966410158 eni-03ad9499cfe7dd531 69.164.214.243 10.0.1.26 58957 2082 6 1 44 1679480508 1679480526 REJECT OK
2 858966410158 eni-03ad9499cfe7dd531 89.248.165.194 10.0.1.26 49837 12456 6 1 40 1679480508 1679480526 REJECT OK
2 858966410158 eni-03ad9499cfe7dd531 167.94.146.25 10.0.1.26 35175 40426 6 1 44 1679480508 1679480526 REJECT OK
2 858966410158 eni-03ad9499cfe7dd531 198.199.117.136 10.0.1.26 54330 8081 6 1 40 1679480508 1679480526 REJECT OK
2 858966410158 eni-0f7ae9ee760bd16d2 113.57.111.119 10.0.1.176 36838 6379 6 1 60 1679480506 1679480511 REJECT OK
2 858966410158 eni-0f7ae9ee760bd16d2 162.142.125.188 10.0.1.176 37066 8019 6 1 44 1679480506 1679480511 REJECT OK
2 858966410158 eni-03ad9499cfe7dd531 184.105.247.248 10.0.1.26 53813 6080 6 1 40 1679480466 1679480484 REJECT OK
2 858966410158 eni-03ad9499cfe7dd531 198.199.82.205 10.0.1.26 60000 1919 6 1 40 1679480466 1679480484 REJECT OK
2 858966410158 eni-03ad9499cfe7dd531 45.143.200.106 10.0.1.26 47681 9990 6 1 40 1679480466 1679480484 REJECT OK
2 858966410158 eni-03ad9499cfe7dd531 180.110.80.5 10.0.1.26 37080 23 6 1 40 1679480466 1679480484 REJECT OK
2 858966410158 eni-03ad9499cfe7dd531 162.142.125.191 10.0.1.26 19313 21272 6 1 44 1679480466 1679480484 REJECT OK
2 858966410158 eni-03ad9499cfe7dd531 189.146.53.165 10.0.1.26 49321 81 6 1 52 1679480466 1679480484 REJECT OK
2 858966410158 eni-03ad9499cfe7dd531 162.142.125.190 10.0.1.26 46984 2323 6 1 44 1679480466 1679480484 REJECT OK
2 858966410158 eni-03ad9499cfe7dd531 154.89.5.92 10.0.1.26 58914 8020 6 1 44 1679480466 1679480484 REJECT OK
2 858966410158 eni-0f7ae9ee760bd16d2 84.237.141.108 10.0.1.176 42281 37215 6 1 40 1679480524 1679480533 REJECT OK
2 858966410158 eni-0f7ae9ee760bd16d2 89.248.165.154 10.0.1.176 41918 8545 6 1 44 1679480524 1679480533 REJECT OK
2 858966410158 eni-0f7ae9ee760bd16d2 58.82.128.73 10.0.1.176 13719 23 6 1 44 1679480524 1679480533 REJECT OK
2 858966410158 eni-0f7ae9ee760bd16d2 185.224.128.213 10.0.1.176 31369 80 6 1 89 1679480524 1679480533 REJECT OK
2 858966410158 eni-03ad9499cfe7dd531 45.157.128.242 10.0.1.26 57239 30005 6 1 40 1679480534 1679480557 REJECT OK
2 858966410158 eni-03ad9499cfe7dd531 162.142.125.191 10.0.1.26 16846 8070 6 1 44 1679480534 1679480557 REJECT OK
2 858966410158 eni-03ad9499cfe7dd531 162.142.125.190 10.0.1.26 14776 9096 6 1 44 1679480534 1679480557 REJECT OK
2 858966410158 eni-03ad9499cfe7dd531 45.157.128.242 10.0.1.26 57239 7170 6 1 40 1679480534 1679480557 REJECT OK
2 858966410158 eni-03ad9499cfe7dd531 194.26.29.152 10.0.1.26 47899 7873 6 1 40 1679480534 1679480557 REJECT OK
2 858966410158 eni-0f7ae9ee760bd16d2 89.248.163.76 10.0.1.176 43307 5743 6 1 40 1679480564 1679480571 REJECT OK
2 858966410158 eni-0f7ae9ee760bd16d2 39.99.222.5 10.0.1.176 55470 6379 6 1 60 1679480564 1679480571 REJECT OK
2 858966410158 eni-0f7ae9ee760bd16d2 89.248.163.16 10.0.1.176 43290 11759 6 1 40 1679480564 1679480571 REJECT OK
2 858966410158 eni-0f7ae9ee760bd16d2 162.142.125.183 10.0.1.176 1979 12354 6 1 44 1679480564 1679480571 REJECT OK
2 858966410158 eni-0f7ae9ee760bd16d2 144.91.82.211 10.0.1.176 61000 5444 6 1 40 1679480564 1679480571 REJECT OK
2 858966410158 eni-03ad9499cfe7dd531 167.248.133.158 10.0.1.26 58725 8621 6 1 44 1679480562 1679480563 REJECT OK
2 858966410158 eni-0e7aabe80d29089d5 - - - - - - - 1679480537 1679480568 - NODATA
2 858966410158 eni-0f7ae9ee760bd16d2 103.96.223.205 10.0.1.176 18883 23 6 1 44 1679480585 1679480610 REJECT OK
2 858966410158 eni-0f7ae9ee760bd16d2 162.142.125.188 10.0.1.176 36320 12208 6 1 44 1679480585 1679480610 REJECT OK
2 858966410158 eni-0f7ae9ee760bd16d2 119.23.108.22 10.0.1.176 10709 53 17 3 201 1679480585 1679480610 REJECT OK
2 858966410158 eni-0f7ae9ee760bd16d2 118.123.1.35 10.0.1.176 29880 8089 6 1 44 1679480585 1679480610 REJECT OK
2 858966410158 eni-0f7ae9ee760bd16d2 162.142.125.176 10.0.1.176 21401 12461 6 1 44 1679480585 1679480610 REJECT OK
2 858966410158 eni-0f7ae9ee760bd16d2 209.141.33.182 10.0.1.176 54248 5500 6 1 44 1679480585 1679480610 REJECT OK
2 858966410158 eni-0f7ae9ee760bd16d2 89.248.163.76 10.0.1.176 43307 6190 6 1 40 1679480585 1679480610 REJECT OK
2 858966410158 eni-03ad9499cfe7dd531 124.243.245.42 10.0.1.26 10435 22 6 1 40 1679480592 1679480608 REJECT OK
2 858966410158 eni-03ad9499cfe7dd531 89.248.163.74 10.0.1.26 43314 8566 6 1 40 1679480592 1679480608 REJECT OK
2 858966410158 eni-0e7aabe80d29089d5 - - - - - - - 1679480598 1679480628 - NODATA
2 858966410158 eni-0f7ae9ee760bd16d2 162.142.125.186 10.0.1.176 16165 9087 6 1 44 1679480612 1679480632 REJECT OK
2 858966410158 eni-0f7ae9ee760bd16d2 212.70.149.38 10.0.1.176 50413 7152 6 1 40 1679480612 1679480632 REJECT OK
2 858966410158 eni-0f7ae9ee760bd16d2 89.248.165.166 10.0.1.176 51628 3374 6 1 40 1679480612 1679480632 REJECT OK
2 858966410158 eni-0f7ae9ee760bd16d2 89.248.163.16 10.0.1.176 43290 12505 6 1 40 1679480612 1679480632 REJECT OK
2 858966410158 eni-0f7ae9ee760bd16d2 143.42.229.238 10.0.1.176 61000 2323 6 1 40 1679480612 1679480632 REJECT OK
2 858966410158 eni-03ad9499cfe7dd531 - - - - - - - 1679480616 1679480647 - NODATA
2 858966410158 eni-0f7ae9ee760bd16d2 193.163.125.87 10.0.1.176 39495 4567 6 1 44 1679480646 1679480647 REJECT OK
2 858966410158 eni-03ad9499cfe7dd531 222.105.241.141 10.0.1.26 38581 22 6 1 40 1679480654 1679480672 REJECT OK
2 858966410158 eni-03ad9499cfe7dd531 89.248.165.166 10.0.1.26 51628 3374 6 1 40 1679480654 1679480672 REJECT OK
2 858966410158 eni-03ad9499cfe7dd531 167.94.138.147 10.0.1.26 39814 9202 6 1 44 1679480654 1679480672 REJECT OK
2 858966410158 eni-03ad9499cfe7dd531 154.89.5.92 10.0.1.26 58914 9999 6 1 44 1679480654 1679480672 REJECT OK
2 858966410158 eni-03ad9499cfe7dd531 162.142.125.189 10.0.1.26 20288 18048 6 1 44 1679480654 1679480672 REJECT OK
2 858966410158 eni-03ad9499cfe7dd531 193.142.146.35 10.0.1.26 56451 80 6 1 40 1679480692 1679480699 ACCEPT OK
2 858966410158 eni-03ad9499cfe7dd531 119.23.108.22 10.0.1.26 10709 53 17 1 67 1679480692 1679480699 REJECT OK
2 858966410158 eni-03ad9499cfe7dd531 15.204.176.202 10.0.1.26 1234 60524 6 1 40 1679480692 1679480699 REJECT OK
2 858966410158 eni-0e7aabe80d29089d5 - - - - - - - 1679480657 1679480688 - NODATA
