version account-id interface-id srcaddr dstaddr srcport dstport protocol packets bytes start end action log-status
2 858966410158 eni-0f7ae9ee760bd16d2 92.118.39.82 10.0.1.176 60315 90 6 1 40 1679480732 1679480748 REJECT OK
2 858966410158 eni-0f7ae9ee760bd16d2 140.99.219.26 10.0.1.176 56571 53128 6 1 40 1679480732 1679480748 REJECT OK
2 858966410158 eni-0f7ae9ee760bd16d2 139.99.38.234 10.0.1.176 60000 22035 6 1 40 1679480732 1679480748 REJECT OK
2 858966410158 eni-0f7ae9ee760bd16d2 167.94.138.143 10.0.1.176 37375 9158 6 1 44 1679480732 1679480748 REJECT OK
2 858966410158 eni-0f7ae9ee760bd16d2 194.26.29.86 10.0.1.176 48220 5283 6 1 40 1679480732 1679480748 REJECT OK
2 858966410158 eni-0f7ae9ee760bd16d2 89.248.165.221 10.0.1.176 48495 56537 6 1 40 1679480732 1679480748 REJECT OK
2 858966410158 eni-03ad9499cfe7dd531 167.94.138.147 10.0.1.26 42179 11680 6 1 44 1679480783 1679480785 REJECT OK
2 858966410158 eni-03ad9499cfe7dd531 89.248.165.166 10.0.1.26 51628 3313 6 1 40 1679480783 1679480785 REJECT OK
2 858966410158 eni-03ad9499cfe7dd531 167.94.146.19 10.0.1.26 42305 39550 6 1 44 1679480783 1679480785 REJECT OK
2 858966410158 eni-0f7ae9ee760bd16d2 185.122.204.194 10.0.1.176 44962 3389 6 1 40 1679480787 1679480788 REJECT OK
2 858966410158 eni-0e7aabe80d29089d5 - - - - - - - 1679480777 1679480808 - NODATA
2 858966410158 eni-03ad9499cfe7dd531 143.42.182.21 10.0.1.26 61000 465 6 1 40 1679480796 1679480827 REJECT OK
2 858966410158 eni-03ad9499cfe7dd531 89.248.163.74 10.0.1.26 43314 11951 6 1 40 1679480796 1679480827 REJECT OK
2 858966410158 eni-03ad9499cfe7dd531 162.142.125.180 10.0.1.26 64173 7090 6 1 44 1679480796 1679480827 REJECT OK
2 858966410158 eni-03ad9499cfe7dd531 146.88.240.4 10.0.1.26 37522 37810 17 1 29 1679480796 1679480827 REJECT OK
2 858966410158 eni-0f7ae9ee760bd16d2 89.248.163.76 10.0.1.176 43307 9855 6 1 40 1679480797 1679480815 REJECT OK
2 858966410158 eni-0f7ae9ee760bd16d2 118.123.1.35 10.0.1.176 29880 9999 6 1 44 1679480797 1679480815 REJECT OK
2 858966410158 eni-03ad9499cfe7dd531 78.128.113.78 10.0.1.26 42328 3049 6 1 40 1679480833 1679480846 REJECT OK
2 858966410158 eni-03ad9499cfe7dd531 78.128.114.26 10.0.1.26 60000 443 6 1 44 1679480833 1679480846 REJECT OK
2 858966410158 eni-0e7aabe80d29089d5 - - - - - - - 1679480837 1679480868 - NODATA
2 858966410158 eni-03ad9499cfe7dd531 45.136.4.135 10.0.1.26 42606 6379 6 1 60 1679480863 1679480875 REJECT OK
2 858966410158 eni-03ad9499cfe7dd531 198.199.94.11 10.0.1.26 33955 5060 6 1 40 1679480863 1679480875 REJECT OK
2 858966410158 eni-0f7ae9ee760bd16d2 192.241.223.31 10.0.1.176 40242 8082 6 1 40 1679480824 1679480847 REJECT OK
2 858966410158 eni-0f7ae9ee760bd16d2 192.241.207.88 10.0.1.176 58468 5060 6 1 40 1679480824 1679480847 REJECT OK
2 858966410158 eni-0f7ae9ee760bd16d2 154.89.5.92 10.0.1.176 58914 2079 6 1 44 1679480824 1679480847 REJECT OK
2 858966410158 eni-0f7ae9ee760bd16d2 64.62.197.95 10.0.1.176 55668 8001 6 1 40 1679480824 1679480847 REJECT OK
