version account-id interface-id srcaddr dstaddr srcport dstport protocol packets bytes start end action log-status
2 858966410158 eni-03ad9499cfe7dd531 162.62.191.231 10.0.1.26 43641 7200 6 1 52 1679480978 1679481006 REJECT OK
2 858966410158 eni-03ad9499cfe7dd531 94.102.61.27 10.0.1.26 52252 2563 6 1 40 1679480978 1679481006 REJECT OK
2 858966410158 eni-03ad9499cfe7dd531 192.241.206.21 10.0.1.26 47650 8082 6 1 40 1679480978 1679481006 REJECT OK
2 858966410158 eni-03ad9499cfe7dd531 47.122.38.218 10.0.1.26 42186 6379 6 1 60 1679480978 1679481006 REJECT OK
2 858966410158 eni-03ad9499cfe7dd531 94.102.61.49 10.0.1.26 42055 5279 6 1 44 1679480978 1679481006 REJECT OK
2 858966410158 eni-03ad9499cfe7dd531 162.142.125.186 10.0.1.26 5897 12531 6 1 44 1679480978 1679481006 REJECT OK
2 858966410158 eni-0e7aabe80d29089d5 10.0.3.129 147.182.158.78 36660 123 17 1 76 1679480998 1679481010 ACCEPT OK
2 858966410158 eni-0e7aabe80d29089d5 10.0.3.129 64.142.54.12 49943 123 17 1 76 1679480998 1679481010 ACCEPT OK
2 858966410158 eni-0e7aabe80d29089d5 10.0.3.129 69.164.213.136 56426 123 17 1 76 1679480998 1679481010 ACCEPT OK
2 858966410158 eni-0e7aabe80d29089d5 10.0.3.129 38.229.54.9 51748 123 17 1 76 1679480998 1679481010 ACCEPT OK
2 858966410158 eni-03ad9499cfe7dd531 92.118.39.92 10.0.1.26 55514 17000 6 1 40 1679481016 1679481033 REJECT OK
2 858966410158 eni-03ad9499cfe7dd531 89.248.163.15 10.0.1.26 43282 8478 6 1 40 1679481016 1679481033 REJECT OK
2 858966410158 eni-03ad9499cfe7dd531 94.102.61.28 10.0.1.26 58369 28159 6 1 40 1679481016 1679481033 REJECT OK
2 858966410158 eni-0e7aabe80d29089d5 10.0.3.129 15.235.141.175 42687 123 17 1 76 1679481017 1679481022 ACCEPT OK
2 858966410158 eni-0e7aabe80d29089d5 10.0.3.129 72.30.35.89 33910 123 17 1 76 1679481017 1679481022 ACCEPT OK
2 858966410158 eni-0f7ae9ee760bd16d2 89.248.165.189 10.0.1.176 45605 62025 6 1 40 1679481006 1679481024 REJECT OK
2 858966410158 eni-0f7ae9ee760bd16d2 118.123.1.35 10.0.1.176 29880 6699 6 1 44 1679481006 1679481024 REJECT OK
2 858966410158 eni-0f7ae9ee760bd16d2 162.142.125.189 10.0.1.176 31487 179 6 1 44 1679481006 1679481024 REJECT OK
2 858966410158 eni-0f7ae9ee760bd16d2 121.40.61.157 10.0.1.176 58399 9 6 1 40 1679481006 1679481024 REJECT OK
