version account-id interface-id srcaddr dstaddr srcport dstport protocol packets bytes start end action log-status
2 858966410158 eni-03ad9499cfe7dd531 89.248.168.226 10.0.1.26 40774 6443 6 1 40 1679481039 1679481060 REJECT OK
2 858966410158 eni-03ad9499cfe7dd531 143.42.182.23 10.0.1.26 61000 8443 6 1 40 1679481039 1679481060 REJECT OK
2 858966410158 eni-03ad9499cfe7dd531 94.102.61.49 10.0.1.26 32782 5278 6 1 44 1679481039 1679481060 REJECT OK
2 858966410158 eni-03ad9499cfe7dd531 198.199.93.71 10.0.1.26 57827 5672 6 1 40 1679481039 1679481060 REJECT OK
2 858966410158 eni-0f7ae9ee760bd16d2 91.240.118.221 10.0.1.176 48137 3467 6 1 40 1679481034 1679481058 REJECT OK
2 858966410158 eni-0f7ae9ee760bd16d2 193.57.40.49 10.0.1.176 47473 3179 6 1 40 1679481034 1679481058 REJECT OK
2 858966410158 eni-0f7ae9ee760bd16d2 71.6.233.243 10.0.1.176 7549 7549 6 1 40 1679481034 1679481058 REJECT OK
2 858966410158 eni-0f7ae9ee760bd16d2 89.248.165.187 10.0.1.176 41171 33521 6 1 40 1679481034 1679481058 REJECT OK
2 858966410158 eni-0f7ae9ee760bd16d2 195.154.108.235 10.0.1.176 48261 8088 6 1 40 1679481066 1679481090 REJECT OK
2 858966410158 eni-0f7ae9ee760bd16d2 89.248.165.253 10.0.1.176 46094 3333 6 1 40 1679481066 1679481090 REJECT OK
2 858966410158 eni-0f7ae9ee760bd16d2 185.224.128.17 10.0.1.176 55567 1005 6 1 40 1679481066 1679481090 REJECT OK
2 858966410158 eni-0f7ae9ee760bd16d2 89.248.163.16 10.0.1.176 43290 5610 6 1 40 1679481066 1679481090 REJECT OK
2 858966410158 eni-0f7ae9ee760bd16d2 79.137.34.148 10.0.1.176 46082 30301 17 1 56 1679481066 1679481090 REJECT OK
2 858966410158 eni-0f7ae9ee760bd16d2 154.89.5.92 10.0.1.176 58914 9527 6 1 44 1679481066 1679481090 REJECT OK
2 858966410158 eni-0f7ae9ee760bd16d2 162.142.125.182 10.0.1.176 37299 5090 6 1 44 1679481066 1679481090 REJECT OK
2 858966410158 eni-0f7ae9ee760bd16d2 79.124.58.146 10.0.1.176 52774 6596 6 1 40 1679481066 1679481090 REJECT OK
2 858966410158 eni-0f7ae9ee760bd16d2 143.42.229.192 10.0.1.176 61000 25 6 1 40 1679481066 1679481090 REJECT OK
2 858966410158 eni-0f7ae9ee760bd16d2 85.217.145.45 10.0.1.176 48439 81 6 1 40 1679481091 1679481117 REJECT OK
2 858966410158 eni-0f7ae9ee760bd16d2 107.170.235.9 10.0.1.176 45829 5672 6 1 40 1679481091 1679481117 REJECT OK
2 858966410158 eni-0f7ae9ee760bd16d2 124.220.172.53 10.0.1.176 49330 38405 6 1 40 1679481091 1679481117 REJECT OK
2 858966410158 eni-0f7ae9ee760bd16d2 89.248.163.16 10.0.1.176 43290 9737 6 1 40 1679481091 1679481117 REJECT OK
2 858966410158 eni-0f7ae9ee760bd16d2 119.23.244.205 10.0.1.176 51012 6379 6 1 60 1679481091 1679481117 REJECT OK
2 858966410158 eni-0f7ae9ee760bd16d2 167.94.138.142 10.0.1.176 45087 887 6 1 44 1679481091 1679481117 REJECT OK
2 858966410158 eni-0f7ae9ee760bd16d2 64.62.197.137 10.0.1.176 56868 801 6 1 40 1679481091 1679481117 REJECT OK
2 858966410158 eni-0f7ae9ee760bd16d2 175.205.59.33 10.0.1.176 33204 27015 17 1 53 1679481091 1679481117 REJECT OK
2 858966410158 eni-0e7aabe80d29089d5 - - - - - - - 1679481078 1679481108 - NODATA
