version account-id interface-id srcaddr dstaddr srcport dstport protocol packets bytes start end action log-status
2 858966410158 eni-03ad9499cfe7dd531 104.131.144.23 10.0.1.26 60289 8090 6 1 40 1679481281 1679481306 REJECT OK
2 858966410158 eni-03ad9499cfe7dd531 193.32.162.176 10.0.1.26 6138 53 17 1 65 1679481281 1679481306 REJECT OK
2 858966410158 eni-03ad9499cfe7dd531 193.163.125.155 10.0.1.26 47374 5801 6 1 44 1679481281 1679481306 REJECT OK
2 858966410158 eni-03ad9499cfe7dd531 89.248.163.15 10.0.1.26 43282 8383 6 1 40 1679481281 1679481306 REJECT OK
2 858966410158 eni-03ad9499cfe7dd531 172.104.211.242 10.0.1.26 61000 143 6 1 40 1679481281 1679481306 REJECT OK
2 858966410158 eni-03ad9499cfe7dd531 143.42.78.130 10.0.1.26 52993 8080 6 1 40 1679481281 1679481306 REJECT OK
2 858966410158 eni-0f7ae9ee760bd16d2 71.6.232.26 10.0.1.176 41369 7001 6 1 44 1679481319 1679481331 REJECT OK
2 858966410158 eni-0f7ae9ee760bd16d2 162.142.125.181 10.0.1.176 60627 12216 6 1 44 1679481319 1679481331 REJECT OK
2 858966410158 eni-0f7ae9ee760bd16d2 91.240.118.71 10.0.1.176 47937 1018 6 1 40 1679481319 1679481331 REJECT OK
2 858966410158 eni-0f7ae9ee760bd16d2 89.248.163.16 10.0.1.176 43290 13697 6 1 40 1679481319 1679481331 REJECT OK
2 858966410158 eni-0f7ae9ee760bd16d2 143.42.229.213 10.0.1.176 61000 993 6 1 40 1679481319 1679481331 REJECT OK
2 858966410158 eni-03ad9499cfe7dd531 89.248.165.192 10.0.1.26 45124 25996 6 1 40 1679481310 1679481328 REJECT OK
2 858966410158 eni-03ad9499cfe7dd531 94.102.61.34 10.0.1.26 37457 5000 17 1 57 1679481310 1679481328 REJECT OK
2 858966410158 eni-03ad9499cfe7dd531 80.66.77.236 10.0.1.26 45126 34567 6 1 40 1679481310 1679481328 REJECT OK
2 858966410158 eni-03ad9499cfe7dd531 94.102.61.49 10.0.1.26 51891 5351 6 1 44 1679481310 1679481328 REJECT OK
2 858966410158 eni-03ad9499cfe7dd531 31.220.1.83 10.0.1.26 58670 23 6 1 40 1679481310 1679481328 REJECT OK
2 858966410158 eni-0e7aabe80d29089d5 - - - - - - - 1679481317 1679481348 - NODATA
2 858966410158 eni-0f7ae9ee760bd16d2 103.29.91.26 10.0.1.176 59661 445 6 1 40 1679481348 1679481359 REJECT OK
2 858966410158 eni-0f7ae9ee760bd16d2 91.240.118.77 10.0.1.176 48026 8061 6 1 40 1679481348 1679481359 REJECT OK
2 858966410158 eni-0f7ae9ee760bd16d2 143.42.182.7 10.0.1.176 61000 995 6 1 40 1679481348 1679481359 REJECT OK
