version account-id interface-id srcaddr dstaddr srcport dstport protocol packets bytes start end action log-status
2 858966410158 eni-0e7aabe80d29089d5 - - - - - - - 1679481377 1679481408 - NODATA
2 858966410158 eni-0f7ae9ee760bd16d2 89.248.165.195 10.0.1.176 45703 5946 6 1 40 1679481378 1679481388 REJECT OK
2 858966410158 eni-0f7ae9ee760bd16d2 193.163.125.74 10.0.1.176 40334 6244 6 1 44 1679481378 1679481388 REJECT OK
2 858966410158 eni-0f7ae9ee760bd16d2 162.142.125.191 10.0.1.176 27345 9304 6 1 44 1679481378 1679481388 REJECT OK
2 858966410158 eni-0f7ae9ee760bd16d2 192.241.223.42 10.0.1.176 56583 8090 6 1 40 1679481404 1679481417 REJECT OK
2 858966410158 eni-0f7ae9ee760bd16d2 162.142.125.186 10.0.1.176 12346 12246 6 1 44 1679481404 1679481417 REJECT OK
2 858966410158 eni-0f7ae9ee760bd16d2 162.142.125.179 10.0.1.176 54983 12400 6 1 44 1679481404 1679481417 REJECT OK
2 858966410158 eni-03ad9499cfe7dd531 94.102.61.49 10.0.1.26 60375 5353 6 1 44 1679481403 1679481408 REJECT OK
2 858966410158 eni-03ad9499cfe7dd531 89.248.163.15 10.0.1.26 43282 14673 6 1 40 1679481403 1679481408 REJECT OK
2 858966410158 eni-03ad9499cfe7dd531 38.110.42.253 10.0.1.26 0 0 1 1 30 1679481387 1679481388 REJECT OK
2 858966410158 eni-0f7ae9ee760bd16d2 185.167.97.179 10.0.1.176 48471 3389 6 1 40 1679481425 1679481445 REJECT OK
2 858966410158 eni-0f7ae9ee760bd16d2 118.123.1.35 10.0.1.176 29880 7777 6 1 44 1679481425 1679481445 REJECT OK
2 858966410158 eni-0f7ae9ee760bd16d2 162.142.125.247 10.0.1.176 2173 5205 6 1 44 1679481425 1679481445 REJECT OK
2 858966410158 eni-0f7ae9ee760bd16d2 59.1.226.250 10.0.1.176 49703 2222 6 1 40 1679481425 1679481445 REJECT OK
2 858966410158 eni-0f7ae9ee760bd16d2 89.248.163.16 10.0.1.176 43290 11955 6 1 40 1679481425 1679481445 REJECT OK
2 858966410158 eni-0f7ae9ee760bd16d2 90.1.18.79 10.0.1.176 62339 37215 6 1 40 1679481425 1679481445 REJECT OK
2 858966410158 eni-0f7ae9ee760bd16d2 107.170.246.19 10.0.1.176 39758 5061 6 1 40 1679481454 1679481462 REJECT OK
2 858966410158 eni-0f7ae9ee760bd16d2 193.163.125.102 10.0.1.176 52065 6161 6 1 44 1679481454 1679481462 REJECT OK
2 858966410158 eni-0f7ae9ee760bd16d2 162.142.125.185 10.0.1.176 8181 8445 6 1 44 1679481454 1679481462 REJECT OK
2 858966410158 eni-03ad9499cfe7dd531 88.126.229.107 10.0.1.26 11606 23 6 1 44 1679481429 1679481443 REJECT OK
2 858966410158 eni-03ad9499cfe7dd531 152.32.250.69 10.0.1.26 50116 52869 6 1 44 1679481429 1679481443 REJECT OK
2 858966410158 eni-03ad9499cfe7dd531 64.62.197.212 10.0.1.26 50994 808 6 1 40 1679481429 1679481443 REJECT OK
2 858966410158 eni-03ad9499cfe7dd531 89.248.163.15 10.0.1.26 43282 13697 6 1 40 1679481429 1679481443 REJECT OK
2 858966410158 eni-03ad9499cfe7dd531 175.11.215.151 10.0.1.26 16209 23 6 1 40 1679481473 1679481475 REJECT OK
2 858966410158 eni-03ad9499cfe7dd531 194.26.29.195 10.0.1.26 47809 44489 6 1 40 1679481473 1679481475 REJECT OK
2 858966410158 eni-03ad9499cfe7dd531 109.123.117.230 10.0.1.26 7549 7549 6 1 40 1679481473 1679481475 REJECT OK
2 858966410158 eni-0e7aabe80d29089d5 - - - - - - - 1679481437 1679481468 - NODATA
2 858966410158 eni-0f7ae9ee760bd16d2 10.0.3.129 10.0.1.176 47103 123 17 1 76 1679481480 1679481498 REJECT OK
2 858966410158 eni-0f7ae9ee760bd16d2 162.142.125.183 10.0.1.176 31992 12543 6 1 44 1679481480 1679481498 REJECT OK
2 858966410158 eni-0f7ae9ee760bd16d2 178.128.88.244 10.0.1.176 50325 26071 6 1 40 1679481480 1679481498 REJECT OK
2 858966410158 eni-0f7ae9ee760bd16d2 89.248.165.22 10.0.1.176 41749 44069 6 1 40 1679481480 1679481498 REJECT OK
2 858966410158 eni-0f7ae9ee760bd16d2 89.248.165.22 10.0.1.176 41749 43813 6 1 40 1679481480 1679481498 REJECT OK
2 858966410158 eni-03ad9499cfe7dd531 91.240.118.71 10.0.1.26 47937 8372 6 1 40 1679481494 1679481509 REJECT OK
2 858966410158 eni-03ad9499cfe7dd531 162.142.125.184 10.0.1.26 13998 12427 6 1 44 1679481494 1679481509 REJECT OK
2 858966410158 eni-03ad9499cfe7dd531 110.177.109.215 10.0.1.26 16481 60023 6 1 40 1679481494 1679481509 REJECT OK
2 858966410158 eni-0e7aabe80d29089d5 10.0.3.129 63.211.239.58 47103 123 17 1 76 1679481500 1679481500 ACCEPT OK
2 858966410158 eni-03ad9499cfe7dd531 154.89.5.92 10.0.1.26 58914 20202 6 1 44 1679481516 1679481543 REJECT OK
2 858966410158 eni-03ad9499cfe7dd531 79.124.58.146 10.0.1.26 52774 6549 6 1 40 1679481516 1679481543 REJECT OK
