version account-id interface-id srcaddr dstaddr srcport dstport protocol packets bytes start end action log-status
2 858966410158 eni-03ad9499cfe7dd531 45.33.66.9 10.0.1.26 61000 993 6 1 40 1679481582 1679481600 REJECT OK
2 858966410158 eni-03ad9499cfe7dd531 92.249.123.55 10.0.1.26 28130 23 6 1 40 1679481582 1679481600 REJECT OK
2 858966410158 eni-03ad9499cfe7dd531 89.248.165.192 10.0.1.26 45124 20701 6 1 40 1679481582 1679481600 REJECT OK
2 858966410158 eni-03ad9499cfe7dd531 222.120.180.206 10.0.1.26 34372 22 6 1 40 1679481582 1679481600 REJECT OK
2 858966410158 eni-03ad9499cfe7dd531 89.248.163.15 10.0.1.26 43282 13135 6 1 40 1679481582 1679481600 REJECT OK
2 858966410158 eni-0f7ae9ee760bd16d2 89.248.165.22 10.0.1.176 41749 39327 6 1 40 1679481608 1679481624 REJECT OK
2 858966410158 eni-0f7ae9ee760bd16d2 162.142.125.243 10.0.1.176 43169 55938 6 1 44 1679481608 1679481624 REJECT OK
2 858966410158 eni-0f7ae9ee760bd16d2 162.142.125.176 10.0.1.176 49518 10048 6 1 44 1679481608 1679481624 REJECT OK
2 858966410158 eni-03ad9499cfe7dd531 45.55.65.92 10.0.1.26 50007 26301 6 1 40 1679481608 1679481626 REJECT OK
2 858966410158 eni-03ad9499cfe7dd531 162.142.125.183 10.0.1.26 36508 9185 6 1 44 1679481608 1679481626 REJECT OK
2 858966410158 eni-03ad9499cfe7dd531 115.96.197.91 10.0.1.26 22554 23 6 1 40 1679481608 1679481626 REJECT OK
2 858966410158 eni-03ad9499cfe7dd531 109.248.6.78 10.0.1.26 59601 11211 17 1 28 1679481608 1679481626 REJECT OK
2 858966410158 eni-0e7aabe80d29089d5 - - - - - - - 1679481617 1679481648 - NODATA
2 858966410158 eni-0f7ae9ee760bd16d2 162.142.125.187 10.0.1.176 2015 16014 6 1 44 1679481644 1679481655 REJECT OK
2 858966410158 eni-0f7ae9ee760bd16d2 202.39.78.217 10.0.1.176 29615 23 6 1 40 1679481644 1679481655 REJECT OK
2 858966410158 eni-0f7ae9ee760bd16d2 23.147.230.11 10.0.1.176 50230 8088 6 1 40 1679481644 1679481655 REJECT OK
2 858966410158 eni-0f7ae9ee760bd16d2 118.123.1.35 10.0.1.176 29880 8090 6 1 44 1679481644 1679481655 REJECT OK
2 858966410158 eni-03ad9499cfe7dd531 162.142.125.181 10.0.1.26 17805 12405 6 1 44 1679481637 1679481657 REJECT OK
2 858966410158 eni-03ad9499cfe7dd531 184.105.139.109 10.0.1.26 58833 17 17 1 29 1679481637 1679481657 REJECT OK
2 858966410158 eni-03ad9499cfe7dd531 94.102.61.40 10.0.1.26 48667 37959 6 1 40 1679481637 1679481657 REJECT OK
2 858966410158 eni-03ad9499cfe7dd531 45.143.200.106 10.0.1.26 47681 9463 6 1 40 1679481637 1679481657 REJECT OK
2 858966410158 eni-03ad9499cfe7dd531 85.217.145.45 10.0.1.26 50384 81 6 1 40 1679481637 1679481657 REJECT OK
2 858966410158 eni-03ad9499cfe7dd531 89.248.163.15 10.0.1.26 43282 9659 6 1 40 1679481637 1679481657 REJECT OK
2 858966410158 eni-03ad9499cfe7dd531 79.124.58.146 10.0.1.26 52774 6504 6 1 40 1679481637 1679481657 REJECT OK
