version account-id interface-id srcaddr dstaddr srcport dstport protocol packets bytes start end action log-status
2 858966410158 eni-03ad9499cfe7dd531 89.248.163.15 10.0.1.26 43282 13931 6 1 40 1679481682 1679481692 REJECT OK
2 858966410158 eni-03ad9499cfe7dd531 94.102.61.40 10.0.1.26 42102 36693 6 1 40 1679481682 1679481692 REJECT OK
2 858966410158 eni-0e7aabe80d29089d5 - - - - - - - 1679481677 1679481708 - NODATA
2 858966410158 eni-0f7ae9ee760bd16d2 162.142.125.184 10.0.1.176 53513 18041 6 1 44 1679481662 1679481687 REJECT OK
2 858966410158 eni-0f7ae9ee760bd16d2 79.124.56.118 10.0.1.176 58054 62532 6 1 40 1679481662 1679481687 REJECT OK
2 858966410158 eni-0f7ae9ee760bd16d2 212.70.149.38 10.0.1.176 50413 7350 6 1 40 1679481662 1679481687 REJECT OK
2 858966410158 eni-0f7ae9ee760bd16d2 162.142.125.189 10.0.1.176 25724 8088 6 1 44 1679481662 1679481687 REJECT OK
2 858966410158 eni-0f7ae9ee760bd16d2 162.142.125.186 10.0.1.176 25460 8916 6 1 44 1679481662 1679481687 REJECT OK
2 858966410158 eni-0f7ae9ee760bd16d2 116.55.178.153 10.0.1.176 2717 23 6 1 40 1679481698 1679481706 REJECT OK
2 858966410158 eni-0f7ae9ee760bd16d2 185.156.73.154 10.0.1.176 41152 16141 6 1 40 1679481698 1679481706 REJECT OK
2 858966410158 eni-0f7ae9ee760bd16d2 192.241.213.72 10.0.1.176 40413 8099 6 1 40 1679481698 1679481706 REJECT OK
2 858966410158 eni-0f7ae9ee760bd16d2 162.142.125.181 10.0.1.176 32763 5010 6 1 44 1679481698 1679481706 REJECT OK
2 858966410158 eni-03ad9499cfe7dd531 167.94.146.22 10.0.1.26 2965 54036 6 1 44 1679481696 1679481721 REJECT OK
2 858966410158 eni-03ad9499cfe7dd531 162.142.125.178 10.0.1.26 20184 7004 6 1 44 1679481696 1679481721 REJECT OK
2 858966410158 eni-03ad9499cfe7dd531 45.143.200.106 10.0.1.26 47681 9506 6 1 40 1679481696 1679481721 REJECT OK
2 858966410158 eni-03ad9499cfe7dd531 89.248.163.15 10.0.1.26 43282 8204 6 1 40 1679481696 1679481721 REJECT OK
2 858966410158 eni-0f7ae9ee760bd16d2 117.194.87.226 10.0.1.176 59160 23 6 1 40 1679481728 1679481750 REJECT OK
2 858966410158 eni-0f7ae9ee760bd16d2 146.88.240.4 10.0.1.176 55540 3478 17 1 48 1679481728 1679481750 REJECT OK
2 858966410158 eni-0f7ae9ee760bd16d2 170.106.176.49 10.0.1.176 30745 50997 6 1 52 1679481728 1679481750 REJECT OK
2 858966410158 eni-0f7ae9ee760bd16d2 124.234.240.6 10.0.1.176 13199 23 6 1 40 1679481728 1679481750 REJECT OK
2 858966410158 eni-0f7ae9ee760bd16d2 89.248.163.76 10.0.1.176 43307 6276 6 1 40 1679481728 1679481750 REJECT OK
2 858966410158 eni-03ad9499cfe7dd531 143.42.229.139 10.0.1.26 61000 110 6 1 40 1679481728 1679481751 REJECT OK
2 858966410158 eni-03ad9499cfe7dd531 186.89.174.247 10.0.1.26 58712 23 6 1 40 1679481728 1679481751 REJECT OK
2 858966410158 eni-03ad9499cfe7dd531 66.240.205.34 10.0.1.26 20368 60129 6 1 44 1679481728 1679481751 REJECT OK
2 858966410158 eni-03ad9499cfe7dd531 162.142.125.184 10.0.1.26 28897 12422 6 1 44 1679481728 1679481751 REJECT OK
2 858966410158 eni-0f7ae9ee760bd16d2 149.18.73.155 10.0.1.176 5097 5060 17 1 437 1679481752 1679481757 REJECT OK
2 858966410158 eni-0f7ae9ee760bd16d2 162.55.78.115 10.0.1.176 443 45854 6 1 44 1679481752 1679481757 REJECT OK
2 858966410158 eni-0e7aabe80d29089d5 - - - - - - - 1679481737 1679481768 - NODATA
2 858966410158 eni-03ad9499cfe7dd531 89.248.163.74 10.0.1.26 43314 11413 6 1 40 1679481760 1679481781 REJECT OK
2 858966410158 eni-03ad9499cfe7dd531 89.248.163.15 10.0.1.26 43282 12597 6 1 40 1679481760 1679481781 REJECT OK
2 858966410158 eni-0f7ae9ee760bd16d2 208.115.230.98 10.0.1.176 0 0 1 1 34 1679481782 1679481794 REJECT OK
2 858966410158 eni-0f7ae9ee760bd16d2 89.248.163.16 10.0.1.176 43290 12209 6 1 40 1679481782 1679481794 REJECT OK
2 858966410158 eni-0f7ae9ee760bd16d2 54.144.56.9 10.0.1.176 0 0 47 1 164 1679481782 1679481794 REJECT OK
2 858966410158 eni-0f7ae9ee760bd16d2 47.89.71.150 10.0.1.176 0 0 1 1 36 1679481782 1679481794 REJECT OK
2 858966410158 eni-03ad9499cfe7dd531 162.243.135.9 10.0.1.26 52718 8099 6 1 40 1679481802 1679481816 REJECT OK
2 858966410158 eni-03ad9499cfe7dd531 23.147.230.11 10.0.1.26 45476 8088 6 1 40 1679481802 1679481816 REJECT OK
2 858966410158 eni-03ad9499cfe7dd531 206.189.57.162 10.0.1.26 32813 1234 6 1 40 1679481802 1679481816 REJECT OK
2 858966410158 eni-0e7aabe80d29089d5 - - - - - - - 1679481797 1679481828 - NODATA
2 858966410158 eni-0f7ae9ee760bd16d2 51.75.167.97 10.0.1.176 1234 10825 6 1 40 1679481816 1679481839 REJECT OK
2 858966410158 eni-0f7ae9ee760bd16d2 162.142.125.176 10.0.1.176 10200 7100 6 1 44 1679481816 1679481839 REJECT OK
2 858966410158 eni-0f7ae9ee760bd16d2 206.189.120.50 10.0.1.176 54859 1234 6 1 40 1679481816 1679481839 REJECT OK
2 858966410158 eni-0f7ae9ee760bd16d2 198.98.61.77 10.0.1.176 41787 36511 6 1 44 1679481816 1679481839 REJECT OK
2 858966410158 eni-03ad9499cfe7dd531 78.128.113.250 10.0.1.26 47419 4078 6 1 40 1679481818 1679481829 REJECT OK
2 858966410158 eni-03ad9499cfe7dd531 89.248.165.22 10.0.1.26 41749 41667 6 1 40 1679481818 1679481829 REJECT OK
2 858966410158 eni-03ad9499cfe7dd531 140.99.219.26 10.0.1.26 49508 53128 6 1 40 1679481818 1679481829 REJECT OK
2 858966410158 eni-0f7ae9ee760bd16d2 118.123.1.35 10.0.1.176 29880 9812 6 1 44 1679481853 1679481857 REJECT OK
2 858966410158 eni-0f7ae9ee760bd16d2 89.248.165.14 10.0.1.176 56999 39044 6 1 40 1679481853 1679481857 REJECT OK
2 858966410158 eni-03ad9499cfe7dd531 64.62.197.165 10.0.1.26 39489 83 6 1 40 1679481873 1679481873 REJECT OK
2 858966410158 eni-03ad9499cfe7dd531 118.123.105.86 10.0.1.26 45234 8025 6 1 40 1679481873 1679481873 REJECT OK
2 858966410158 eni-0e7aabe80d29089d5 - - - - - - - 1679481857 1679481888 - NODATA
