version account-id interface-id srcaddr dstaddr srcport dstport protocol packets bytes start end action log-status
2 858966410158 eni-0f7ae9ee760bd16d2 162.142.125.178 10.0.1.176 22428 7000 6 1 44 1679481972 1679481983 REJECT OK
2 858966410158 eni-0f7ae9ee760bd16d2 85.217.145.45 10.0.1.176 48649 81 6 1 40 1679481972 1679481983 REJECT OK
2 858966410158 eni-0f7ae9ee760bd16d2 89.248.165.187 10.0.1.176 41171 34447 6 1 40 1679481972 1679481983 REJECT OK
2 858966410158 eni-03ad9499cfe7dd531 89.248.163.15 10.0.1.26 43282 13549 6 1 40 1679481982 1679481995 REJECT OK
2 858966410158 eni-03ad9499cfe7dd531 162.142.125.187 10.0.1.26 48353 19080 6 1 44 1679481982 1679481995 REJECT OK
2 858966410158 eni-03ad9499cfe7dd531 162.142.125.181 10.0.1.26 59320 11002 6 1 44 1679481982 1679481995 REJECT OK
2 858966410158 eni-03ad9499cfe7dd531 89.248.165.189 10.0.1.26 45605 58592 6 1 40 1679481982 1679481995 REJECT OK
2 858966410158 eni-0e7aabe80d29089d5 - - - - - - - 1679481978 1679482008 - NODATA
2 858966410158 eni-0f7ae9ee760bd16d2 10.0.3.129 10.0.1.176 42336 123 17 1 76 1679481992 1679482014 REJECT OK
2 858966410158 eni-0f7ae9ee760bd16d2 89.248.163.76 10.0.1.176 43307 10893 6 1 40 1679481992 1679482014 REJECT OK
2 858966410158 eni-0f7ae9ee760bd16d2 10.0.3.129 10.0.1.176 50646 123 17 1 76 1679481992 1679482014 REJECT OK
2 858966410158 eni-0f7ae9ee760bd16d2 106.15.78.252 10.0.1.176 34900 6379 6 1 60 1679481992 1679482014 REJECT OK
2 858966410158 eni-0e7aabe80d29089d5 10.0.3.129 168.235.89.132 50646 123 17 1 76 1679482012 1679482014 ACCEPT OK
2 858966410158 eni-0e7aabe80d29089d5 10.0.3.129 147.182.158.78 42336 123 17 1 76 1679482012 1679482014 ACCEPT OK
2 858966410158 eni-0f7ae9ee760bd16d2 167.248.133.166 10.0.1.176 41950 9198 6 1 44 1679482020 1679482036 REJECT OK
2 858966410158 eni-0f7ae9ee760bd16d2 10.0.3.129 10.0.1.176 50622 123 17 1 76 1679482020 1679482036 REJECT OK
2 858966410158 eni-0f7ae9ee760bd16d2 10.0.3.129 10.0.1.176 59767 123 17 1 76 1679482020 1679482036 REJECT OK
2 858966410158 eni-0f7ae9ee760bd16d2 10.0.3.129 10.0.1.176 56947 123 17 1 76 1679482020 1679482036 REJECT OK
2 858966410158 eni-0f7ae9ee760bd16d2 152.32.205.253 10.0.1.176 45030 3128 6 1 60 1679482020 1679482036 REJECT OK
2 858966410158 eni-0f7ae9ee760bd16d2 144.91.82.211 10.0.1.176 61000 5352 6 1 40 1679482020 1679482036 REJECT OK
2 858966410158 eni-0f7ae9ee760bd16d2 10.0.3.129 10.0.1.176 50064 123 17 1 76 1679482020 1679482036 REJECT OK
2 858966410158 eni-03ad9499cfe7dd531 212.70.149.46 10.0.1.26 53831 8443 6 1 40 1679481998 1679482022 REJECT OK
2 858966410158 eni-03ad9499cfe7dd531 45.128.232.181 10.0.1.26 43939 8088 6 1 40 1679481998 1679482022 REJECT OK
2 858966410158 eni-03ad9499cfe7dd531 212.70.149.38 10.0.1.26 50413 7050 6 1 40 1679481998 1679482022 REJECT OK
2 858966410158 eni-03ad9499cfe7dd531 170.238.136.6 10.0.1.26 1434 1434 17 1 80 1679481998 1679482022 REJECT OK
2 858966410158 eni-03ad9499cfe7dd531 162.142.125.188 10.0.1.26 6069 42443 6 1 44 1679481998 1679482022 REJECT OK
2 858966410158 eni-03ad9499cfe7dd531 89.248.163.15 10.0.1.26 43282 10231 6 1 40 1679482063 1679482081 REJECT OK
2 858966410158 eni-03ad9499cfe7dd531 89.248.163.15 10.0.1.26 43282 5500 6 1 40 1679482063 1679482081 REJECT OK
2 858966410158 eni-03ad9499cfe7dd531 121.231.99.101 10.0.1.26 49535 23 6 1 40 1679482063 1679482081 REJECT OK
2 858966410158 eni-03ad9499cfe7dd531 89.248.163.15 10.0.1.26 43282 5002 6 1 40 1679482063 1679482081 REJECT OK
2 858966410158 eni-03ad9499cfe7dd531 209.141.33.182 10.0.1.26 57059 5500 6 1 44 1679482063 1679482081 REJECT OK
2 858966410158 eni-0e7aabe80d29089d5 10.0.3.129 72.30.35.89 50064 123 17 1 76 1679482040 1679482060 ACCEPT OK
2 858966410158 eni-0e7aabe80d29089d5 10.0.3.129 15.235.141.175 50622 123 17 1 76 1679482040 1679482060 ACCEPT OK
2 858966410158 eni-0e7aabe80d29089d5 10.0.3.129 38.229.54.9 59767 123 17 1 76 1679482040 1679482060 ACCEPT OK
2 858966410158 eni-0e7aabe80d29089d5 10.0.3.129 69.164.213.136 56947 123 17 1 76 1679482040 1679482060 ACCEPT OK
2 858966410158 eni-0f7ae9ee760bd16d2 198.199.93.71 10.0.1.176 51673 5692 6 1 40 1679482051 1679482063 REJECT OK
2 858966410158 eni-0f7ae9ee760bd16d2 118.123.1.35 10.0.1.176 29880 4499 6 1 44 1679482051 1679482063 REJECT OK
2 858966410158 eni-0f7ae9ee760bd16d2 66.152.175.163 10.0.1.176 61000 5885 6 1 40 1679482051 1679482063 REJECT OK
2 858966410158 eni-0f7ae9ee760bd16d2 109.248.6.78 10.0.1.176 59601 8081 17 1 123 1679482051 1679482063 REJECT OK
2 858966410158 eni-03ad9499cfe7dd531 139.144.135.15 10.0.1.26 61000 587 6 1 40 1679482035 1679482049 REJECT OK
2 858966410158 eni-03ad9499cfe7dd531 162.142.125.177 10.0.1.26 19308 5357 6 1 44 1679482035 1679482049 REJECT OK
2 858966410158 eni-0f7ae9ee760bd16d2 162.142.125.188 10.0.1.176 4750 1025 6 1 44 1679482089 1679482109 REJECT OK
2 858966410158 eni-0f7ae9ee760bd16d2 178.134.174.114 10.0.1.176 57609 23 6 1 40 1679482089 1679482109 REJECT OK
2 858966410158 eni-0f7ae9ee760bd16d2 207.90.244.5 10.0.1.176 26200 8243 6 1 44 1679482089 1679482109 REJECT OK
2 858966410158 eni-03ad9499cfe7dd531 89.248.163.74 10.0.1.26 43314 9866 6 1 40 1679482089 1679482105 REJECT OK
2 858966410158 eni-03ad9499cfe7dd531 31.44.254.157 10.0.1.26 49244 445 6 2 104 1679482089 1679482105 REJECT OK
2 858966410158 eni-03ad9499cfe7dd531 162.243.133.19 10.0.1.26 42609 5692 6 1 40 1679482089 1679482105 REJECT OK
2 858966410158 eni-0e7aabe80d29089d5 - - - - - - - 1679482097 1679482128 - NODATA
2 858966410158 eni-03ad9499cfe7dd531 167.94.138.134 10.0.1.26 62857 343 6 1 44 1679482118 1679482145 REJECT OK
2 858966410158 eni-03ad9499cfe7dd531 128.9.63.139 10.0.1.26 0 0 1 1 32 1679482118 1679482145 REJECT OK
2 858966410158 eni-03ad9499cfe7dd531 189.133.208.32 10.0.1.26 25339 23 6 1 44 1679482118 1679482145 REJECT OK
2 858966410158 eni-03ad9499cfe7dd531 89.248.163.74 10.0.1.26 43314 7445 6 1 40 1679482118 1679482145 REJECT OK
2 858966410158 eni-03ad9499cfe7dd531 162.142.125.180 10.0.1.26 34220 18018 6 1 44 1679482118 1679482145 REJECT OK
2 858966410158 eni-03ad9499cfe7dd531 195.169.125.251 10.0.1.26 0 0 1 1 32 1679482118 1679482145 REJECT OK
2 858966410158 eni-03ad9499cfe7dd531 128.9.29.131 10.0.1.26 0 0 1 1 32 1679482159 1679482175 REJECT OK
2 858966410158 eni-03ad9499cfe7dd531 192.241.212.26 10.0.1.26 36806 5222 6 1 40 1679482159 1679482175 REJECT OK
