version account-id interface-id srcaddr dstaddr srcport dstport protocol packets bytes start end action log-status
2 858966410158 eni-03ad9499cfe7dd531 89.248.163.74 10.0.1.26 43314 5924 6 1 40 1679481901 1679481904 REJECT OK
2 858966410158 eni-03ad9499cfe7dd531 212.70.149.38 10.0.1.26 50413 7443 6 1 40 1679481901 1679481904 REJECT OK
2 858966410158 eni-0f7ae9ee760bd16d2 167.94.145.27 10.0.1.176 14736 25145 6 1 44 1679481872 1679481901 REJECT OK
2 858966410158 eni-0f7ae9ee760bd16d2 193.32.162.176 10.0.1.176 16370 53 17 1 65 1679481872 1679481901 REJECT OK
2 858966410158 eni-0f7ae9ee760bd16d2 91.240.118.75 10.0.1.176 47988 8986 6 1 40 1679481872 1679481901 REJECT OK
2 858966410158 eni-0f7ae9ee760bd16d2 79.124.56.118 10.0.1.176 58054 55387 6 1 40 1679481872 1679481901 REJECT OK
2 858966410158 eni-0f7ae9ee760bd16d2 89.248.165.187 10.0.1.176 41171 35618 6 1 40 1679481905 1679481906 REJECT OK
2 858966410158 eni-03ad9499cfe7dd531 162.142.125.186 10.0.1.26 49331 8003 6 1 44 1679481917 1679481927 REJECT OK
2 858966410158 eni-03ad9499cfe7dd531 162.142.125.191 10.0.1.26 28558 444 6 1 44 1679481917 1679481927 REJECT OK
2 858966410158 eni-0f7ae9ee760bd16d2 154.89.5.92 10.0.1.176 58914 465 6 1 44 1679481934 1679481960 REJECT OK
2 858966410158 eni-0f7ae9ee760bd16d2 198.98.55.202 10.0.1.176 41844 36518 6 1 44 1679481934 1679481960 REJECT OK
2 858966410158 eni-0f7ae9ee760bd16d2 162.142.125.191 10.0.1.176 64566 12262 6 1 44 1679481934 1679481960 REJECT OK
2 858966410158 eni-0e7aabe80d29089d5 - - - - - - - 1679481917 1679481948 - NODATA
2 858966410158 eni-03ad9499cfe7dd531 89.248.163.15 10.0.1.26 43282 14677 6 1 40 1679481938 1679481953 REJECT OK
2 858966410158 eni-03ad9499cfe7dd531 45.33.78.70 10.0.1.26 58994 443 6 1 44 1679481938 1679481953 REJECT OK
2 858966410158 eni-03ad9499cfe7dd531 91.240.118.71 10.0.1.26 47937 2715 6 1 40 1679481938 1679481953 REJECT OK
