version account-id interface-id srcaddr dstaddr srcport dstport protocol packets bytes start end action log-status
2 858966410158 eni-0f7ae9ee760bd16d2 172.104.65.226 10.0.1.176 38843 3128 6 1 40 1679482262 1679482286 REJECT OK
2 858966410158 eni-0f7ae9ee760bd16d2 118.123.1.35 10.0.1.176 29880 669 6 1 44 1679482262 1679482286 REJECT OK
2 858966410158 eni-0f7ae9ee760bd16d2 198.98.55.202 10.0.1.176 42190 36516 6 1 44 1679482262 1679482286 REJECT OK
2 858966410158 eni-0f7ae9ee760bd16d2 8.208.94.160 10.0.1.176 41903 2375 6 1 40 1679482262 1679482286 REJECT OK
2 858966410158 eni-0f7ae9ee760bd16d2 162.243.147.18 10.0.1.176 34892 5222 6 1 40 1679482262 1679482286 REJECT OK
2 858966410158 eni-0f7ae9ee760bd16d2 162.142.125.178 10.0.1.176 33004 16400 6 1 44 1679482262 1679482286 REJECT OK
2 858966410158 eni-03ad9499cfe7dd531 218.98.6.201 10.0.1.26 0 0 1 1 36 1679482277 1679482285 REJECT OK
2 858966410158 eni-03ad9499cfe7dd531 109.123.117.235 10.0.1.26 8545 8545 6 1 40 1679482277 1679482285 REJECT OK
2 858966410158 eni-0f7ae9ee760bd16d2 193.142.146.35 10.0.1.176 38338 23 6 1 40 1679482208 1679482225 REJECT OK
2 858966410158 eni-0f7ae9ee760bd16d2 162.142.125.187 10.0.1.176 60854 12279 6 1 44 1679482208 1679482225 REJECT OK
2 858966410158 eni-0f7ae9ee760bd16d2 89.248.163.16 10.0.1.176 43290 14588 6 1 40 1679482208 1679482225 REJECT OK
2 858966410158 eni-0f7ae9ee760bd16d2 167.248.133.173 10.0.1.176 59647 44345 6 1 44 1679482291 1679482312 REJECT OK
2 858966410158 eni-0f7ae9ee760bd16d2 170.187.163.117 10.0.1.176 55768 80 6 1 44 1679482291 1679482312 REJECT OK
2 858966410158 eni-0f7ae9ee760bd16d2 109.104.161.176 10.0.1.176 45804 23 6 1 44 1679482291 1679482312 REJECT OK
2 858966410158 eni-0f7ae9ee760bd16d2 192.241.237.17 10.0.1.176 50218 8899 6 1 40 1679482291 1679482312 REJECT OK
2 858966410158 eni-0f7ae9ee760bd16d2 23.147.230.11 10.0.1.176 46282 8088 6 1 40 1679482291 1679482312 REJECT OK
2 858966410158 eni-0f7ae9ee760bd16d2 89.248.165.187 10.0.1.176 41171 38414 6 1 40 1679482291 1679482312 REJECT OK
2 858966410158 eni-0e7aabe80d29089d5 - - - - - - - 1679482277 1679482308 - NODATA
2 858966410158 eni-03ad9499cfe7dd531 94.102.61.49 10.0.1.26 37090 5433 6 1 44 1679482298 1679482319 REJECT OK
2 858966410158 eni-03ad9499cfe7dd531 31.220.1.83 10.0.1.26 50361 23 6 1 40 1679482298 1679482319 REJECT OK
2 858966410158 eni-03ad9499cfe7dd531 167.248.133.169 10.0.1.26 42549 60001 6 1 44 1679482298 1679482319 REJECT OK
2 858966410158 eni-03ad9499cfe7dd531 89.248.165.194 10.0.1.26 49837 8164 6 1 40 1679482298 1679482319 REJECT OK
2 858966410158 eni-03ad9499cfe7dd531 92.118.39.92 10.0.1.26 55776 7002 6 1 40 1679482298 1679482319 REJECT OK
2 858966410158 eni-03ad9499cfe7dd531 89.248.163.74 10.0.1.26 43314 5739 6 1 40 1679482337 1679482356 REJECT OK
2 858966410158 eni-03ad9499cfe7dd531 170.39.218.4 10.0.1.26 36148 7105 6 1 40 1679482337 1679482356 REJECT OK
2 858966410158 eni-03ad9499cfe7dd531 167.248.133.134 10.0.1.26 30021 2052 6 1 44 1679482337 1679482356 REJECT OK
2 858966410158 eni-0e7aabe80d29089d5 - - - - - - - 1679482337 1679482368 - NODATA
2 858966410158 eni-03ad9499cfe7dd531 107.173.130.197 10.0.1.26 61000 5089 6 1 40 1679482384 1679482385 REJECT OK
2 858966410158 eni-03ad9499cfe7dd531 89.248.163.74 10.0.1.26 43314 5818 6 1 40 1679482384 1679482385 REJECT OK
2 858966410158 eni-0f7ae9ee760bd16d2 183.136.225.42 10.0.1.176 8088 2332 6 1 44 1679482353 1679482366 REJECT OK
2 858966410158 eni-0f7ae9ee760bd16d2 195.154.108.235 10.0.1.176 47387 8088 6 1 40 1679482353 1679482366 REJECT OK
2 858966410158 eni-0f7ae9ee760bd16d2 162.142.125.185 10.0.1.176 6071 21305 6 1 44 1679482353 1679482366 REJECT OK
2 858966410158 eni-0f7ae9ee760bd16d2 162.142.125.182 10.0.1.176 47413 6060 6 1 44 1679482353 1679482366 REJECT OK
2 858966410158 eni-0f7ae9ee760bd16d2 177.43.63.98 10.0.1.176 53686 445 6 1 44 1679482353 1679482366 REJECT OK
2 858966410158 eni-0f7ae9ee760bd16d2 109.123.117.244 10.0.1.176 8545 8545 6 1 40 1679482353 1679482366 REJECT OK
2 858966410158 eni-0f7ae9ee760bd16d2 198.98.55.202 10.0.1.176 42338 7277 6 1 44 1679482402 1679482403 REJECT OK
2 858966410158 eni-0f7ae9ee760bd16d2 89.248.163.16 10.0.1.176 43290 9848 6 1 40 1679482340 1679482341 REJECT OK
2 858966410158 eni-03ad9499cfe7dd531 78.128.113.250 10.0.1.26 47419 6581 6 1 40 1679482387 1679482416 REJECT OK
2 858966410158 eni-03ad9499cfe7dd531 45.170.129.253 10.0.1.26 33274 23 6 1 44 1679482387 1679482416 REJECT OK
2 858966410158 eni-03ad9499cfe7dd531 46.101.146.252 10.0.1.26 41008 48550 6 1 40 1679482387 1679482416 REJECT OK
