version account-id interface-id srcaddr dstaddr srcport dstport protocol packets bytes start end action log-status
2 858966410158 eni-0f7ae9ee760bd16d2 64.62.197.74 10.0.1.176 42156 88 6 1 40 1679482562 1679482589 REJECT OK
2 858966410158 eni-0f7ae9ee760bd16d2 89.248.165.253 10.0.1.176 46094 33891 6 1 40 1679482562 1679482589 REJECT OK
2 858966410158 eni-0f7ae9ee760bd16d2 59.90.37.179 10.0.1.176 47083 60023 6 1 40 1679482562 1679482589 REJECT OK
2 858966410158 eni-0f7ae9ee760bd16d2 45.33.84.124 10.0.1.176 44125 443 6 1 44 1679482562 1679482589 REJECT OK
2 858966410158 eni-0f7ae9ee760bd16d2 194.26.29.37 10.0.1.176 47850 5176 6 1 40 1679482562 1679482589 REJECT OK
2 858966410158 eni-03ad9499cfe7dd531 143.42.229.139 10.0.1.26 61000 5060 6 1 40 1679482569 1679482588 REJECT OK
2 858966410158 eni-03ad9499cfe7dd531 223.15.23.238 10.0.1.26 48567 23 6 1 40 1679482569 1679482588 REJECT OK
2 858966410158 eni-03ad9499cfe7dd531 38.110.42.253 10.0.1.26 0 0 1 1 30 1679482569 1679482588 REJECT OK
2 858966410158 eni-03ad9499cfe7dd531 162.142.125.191 10.0.1.26 26107 12110 6 1 44 1679482569 1679482588 REJECT OK
2 858966410158 eni-0f7ae9ee760bd16d2 193.163.125.81 10.0.1.176 34084 47854 6 1 44 1679482595 1679482614 REJECT OK
2 858966410158 eni-0f7ae9ee760bd16d2 89.248.165.52 10.0.1.176 52236 17173 6 1 40 1679482595 1679482614 REJECT OK
2 858966410158 eni-0e7aabe80d29089d5 - - - - - - - 1679482577 1679482608 - NODATA
2 858966410158 eni-03ad9499cfe7dd531 85.217.145.45 10.0.1.26 51497 81 6 1 40 1679482599 1679482623 REJECT OK
2 858966410158 eni-03ad9499cfe7dd531 89.248.165.253 10.0.1.26 46094 1111 6 1 40 1679482599 1679482623 REJECT OK
2 858966410158 eni-03ad9499cfe7dd531 23.147.230.11 10.0.1.26 40354 8088 6 1 40 1679482599 1679482623 REJECT OK
2 858966410158 eni-03ad9499cfe7dd531 162.142.125.184 10.0.1.26 51156 8401 6 1 44 1679482599 1679482623 REJECT OK
2 858966410158 eni-03ad9499cfe7dd531 162.142.125.191 10.0.1.26 5081 23 6 1 44 1679482627 1679482650 REJECT OK
2 858966410158 eni-03ad9499cfe7dd531 167.248.133.144 10.0.1.26 3500 3560 6 1 44 1679482627 1679482650 REJECT OK
2 858966410158 eni-03ad9499cfe7dd531 119.23.108.22 10.0.1.26 10710 53 17 1 68 1679482627 1679482650 REJECT OK
2 858966410158 eni-03ad9499cfe7dd531 162.142.125.186 10.0.1.26 57459 448 6 1 44 1679482627 1679482650 REJECT OK
2 858966410158 eni-0e7aabe80d29089d5 - - - - - - - 1679482637 1679482668 - NODATA
2 858966410158 eni-03ad9499cfe7dd531 94.102.61.28 10.0.1.26 49969 30001 6 1 40 1679482671 1679482684 REJECT OK
2 858966410158 eni-03ad9499cfe7dd531 132.148.76.25 10.0.1.26 48016 3389 6 1 40 1679482671 1679482684 REJECT OK
2 858966410158 eni-03ad9499cfe7dd531 45.33.66.9 10.0.1.26 61000 992 6 1 40 1679482671 1679482684 REJECT OK
2 858966410158 eni-03ad9499cfe7dd531 45.33.78.24 10.0.1.26 37412 80 6 1 44 1679482671 1679482684 ACCEPT OK
2 858966410158 eni-0f7ae9ee760bd16d2 107.170.246.9 10.0.1.176 45926 5432 6 1 40 1679482655 1679482679 REJECT OK
2 858966410158 eni-0f7ae9ee760bd16d2 64.62.197.57 10.0.1.176 18469 123 17 1 40 1679482655 1679482679 REJECT OK
2 858966410158 eni-0f7ae9ee760bd16d2 31.132.95.93 10.0.1.176 58216 445 6 1 52 1679482655 1679482679 REJECT OK
2 858966410158 eni-0f7ae9ee760bd16d2 222.186.50.91 10.0.1.176 8081 4000 17 1 65 1679482655 1679482679 REJECT OK
2 858966410158 eni-0f7ae9ee760bd16d2 79.124.58.146 10.0.1.176 52774 6535 6 1 40 1679482655 1679482679 REJECT OK
2 858966410158 eni-0f7ae9ee760bd16d2 192.241.217.16 10.0.1.176 37403 9090 6 1 40 1679482655 1679482679 REJECT OK
2 858966410158 eni-0f7ae9ee760bd16d2 143.42.119.19 10.0.1.176 61000 994 6 1 40 1679482655 1679482679 REJECT OK
2 858966410158 eni-0f7ae9ee760bd16d2 89.248.165.184 10.0.1.176 41119 26971 6 1 40 1679482655 1679482679 REJECT OK
2 858966410158 eni-0f7ae9ee760bd16d2 92.63.197.157 10.0.1.176 47778 33402 6 1 40 1679482622 1679482647 REJECT OK
2 858966410158 eni-0f7ae9ee760bd16d2 162.142.125.250 10.0.1.176 29272 1000 6 1 44 1679482622 1679482647 REJECT OK
2 858966410158 eni-0f7ae9ee760bd16d2 144.91.82.211 10.0.1.176 61000 5529 6 1 40 1679482622 1679482647 REJECT OK
2 858966410158 eni-0f7ae9ee760bd16d2 91.240.118.75 10.0.1.176 47988 6487 6 1 40 1679482622 1679482647 REJECT OK
2 858966410158 eni-03ad9499cfe7dd531 162.142.125.181 10.0.1.26 1235 12111 6 1 44 1679482687 1679482709 REJECT OK
2 858966410158 eni-03ad9499cfe7dd531 107.170.243.27 10.0.1.26 49818 5432 6 1 40 1679482687 1679482709 REJECT OK
2 858966410158 eni-03ad9499cfe7dd531 89.248.165.166 10.0.1.26 51628 3337 6 1 40 1679482687 1679482709 REJECT OK
2 858966410158 eni-03ad9499cfe7dd531 120.48.75.148 10.0.1.26 40444 6379 6 1 60 1679482687 1679482709 REJECT OK
2 858966410158 eni-03ad9499cfe7dd531 154.89.5.92 10.0.1.26 58914 3389 6 1 44 1679482687 1679482709 REJECT OK
2 858966410158 eni-0e7aabe80d29089d5 - - - - - - - 1679482697 1679482728 - NODATA
