version account-id interface-id srcaddr dstaddr srcport dstport protocol packets bytes start end action log-status
2 858966410158 eni-0e7aabe80d29089d5 - - - - - - - 1679483417 1679483448 - NODATA
2 858966410158 eni-03ad9499cfe7dd531 162.142.125.179 10.0.1.26 11100 10043 6 1 44 1679483473 1679483483 REJECT OK
2 858966410158 eni-03ad9499cfe7dd531 162.142.125.185 10.0.1.26 49019 12477 6 1 44 1679483473 1679483483 REJECT OK
2 858966410158 eni-03ad9499cfe7dd531 193.163.125.176 10.0.1.26 32841 9100 6 1 44 1679483473 1679483483 REJECT OK
2 858966410158 eni-03ad9499cfe7dd531 85.217.145.45 10.0.1.26 46595 81 6 1 40 1679483473 1679483483 REJECT OK
2 858966410158 eni-0f7ae9ee760bd16d2 162.142.125.180 10.0.1.176 18946 50580 6 1 44 1679483462 1679483481 REJECT OK
2 858966410158 eni-0f7ae9ee760bd16d2 144.91.82.211 10.0.1.176 61000 5676 6 1 40 1679483462 1679483481 REJECT OK
2 858966410158 eni-0f7ae9ee760bd16d2 107.189.4.75 10.0.1.176 43436 36519 6 1 44 1679483462 1679483481 REJECT OK
2 858966410158 eni-0e7aabe80d29089d5 - - - - - - - 1679483477 1679483508 - NODATA
2 858966410158 eni-03ad9499cfe7dd531 185.224.128.17 10.0.1.26 49131 1111 6 1 40 1679483452 1679483463 REJECT OK
2 858966410158 eni-03ad9499cfe7dd531 162.142.125.188 10.0.1.26 8634 20440 6 1 44 1679483452 1679483463 REJECT OK
2 858966410158 eni-03ad9499cfe7dd531 162.142.125.176 10.0.1.26 25522 12410 6 1 44 1679483452 1679483463 REJECT OK
2 858966410158 eni-03ad9499cfe7dd531 162.142.125.176 10.0.1.26 36105 12123 6 1 44 1679483501 1679483502 REJECT OK
2 858966410158 eni-0f7ae9ee760bd16d2 162.142.125.190 10.0.1.176 14542 10000 6 1 44 1679483491 1679483501 REJECT OK
2 858966410158 eni-0f7ae9ee760bd16d2 89.248.163.16 10.0.1.176 43290 5647 6 1 40 1679483491 1679483501 REJECT OK
2 858966410158 eni-0f7ae9ee760bd16d2 162.142.125.182 10.0.1.176 18452 12265 6 1 44 1679483491 1679483501 REJECT OK
2 858966410158 eni-03ad9499cfe7dd531 37.187.88.37 10.0.1.26 51402 47773 6 1 40 1679483529 1679483552 REJECT OK
2 858966410158 eni-03ad9499cfe7dd531 146.88.240.4 10.0.1.26 45269 37833 17 1 48 1679483529 1679483552 REJECT OK
2 858966410158 eni-03ad9499cfe7dd531 162.142.125.191 10.0.1.26 33198 12555 6 1 44 1679483529 1679483552 REJECT OK
2 858966410158 eni-03ad9499cfe7dd531 222.211.72.121 10.0.1.26 54835 1433 6 1 40 1679483529 1679483552 REJECT OK
2 858966410158 eni-0f7ae9ee760bd16d2 162.142.125.182 10.0.1.176 64028 3121 6 1 44 1679483527 1679483546 REJECT OK
2 858966410158 eni-0f7ae9ee760bd16d2 1.14.246.118 10.0.1.176 47112 6379 6 1 60 1679483527 1679483546 REJECT OK
2 858966410158 eni-0f7ae9ee760bd16d2 118.123.1.35 10.0.1.176 29880 6688 6 1 44 1679483527 1679483546 REJECT OK
2 858966410158 eni-0f7ae9ee760bd16d2 162.243.128.17 10.0.1.176 43999 9999 6 1 40 1679483527 1679483546 REJECT OK
2 858966410158 eni-03ad9499cfe7dd531 162.142.125.177 10.0.1.26 31838 18081 6 1 44 1679483565 1679483575 REJECT OK
2 858966410158 eni-03ad9499cfe7dd531 89.248.163.74 10.0.1.26 43314 5884 6 1 40 1679483565 1679483575 REJECT OK
2 858966410158 eni-03ad9499cfe7dd531 128.9.29.128 10.0.1.26 0 0 1 1 32 1679483565 1679483575 REJECT OK
2 858966410158 eni-03ad9499cfe7dd531 185.167.97.179 10.0.1.26 48471 3389 6 1 40 1679483565 1679483575 REJECT OK
2 858966410158 eni-03ad9499cfe7dd531 35.219.99.27 10.0.1.26 40288 2376 6 1 40 1679483565 1679483575 REJECT OK
2 858966410158 eni-0e7aabe80d29089d5 10.0.3.129 63.211.239.58 35871 123 17 1 76 1679483593 1679483594 ACCEPT OK
2 858966410158 eni-0f7ae9ee760bd16d2 89.248.165.195 10.0.1.176 45703 6154 6 1 40 1679483557 1679483577 REJECT OK
2 858966410158 eni-0f7ae9ee760bd16d2 78.128.113.250 10.0.1.176 47419 6772 6 1 40 1679483557 1679483577 REJECT OK
2 858966410158 eni-0f7ae9ee760bd16d2 85.217.145.45 10.0.1.176 57388 81 6 1 40 1679483557 1679483577 REJECT OK
2 858966410158 eni-0f7ae9ee760bd16d2 185.254.196.238 10.0.1.176 42801 80 6 1 40 1679483557 1679483577 REJECT OK
2 858966410158 eni-0f7ae9ee760bd16d2 10.0.3.129 10.0.1.176 35871 123 17 1 76 1679483557 1679483577 REJECT OK
2 858966410158 eni-0e7aabe80d29089d5 - - - - - - - 1679483537 1679483568 - NODATA
2 858966410158 eni-03ad9499cfe7dd531 162.142.125.89 10.0.1.26 36697 16006 6 1 44 1679483605 1679483607 REJECT OK
2 858966410158 eni-03ad9499cfe7dd531 23.147.230.11 10.0.1.26 52154 8088 6 1 40 1679483605 1679483607 REJECT OK
2 858966410158 eni-0f7ae9ee760bd16d2 83.171.113.111 10.0.1.176 58397 445 6 1 52 1679483585 1679483606 REJECT OK
2 858966410158 eni-0f7ae9ee760bd16d2 183.136.225.42 10.0.1.176 8088 3001 6 1 44 1679483585 1679483606 REJECT OK
2 858966410158 eni-0f7ae9ee760bd16d2 89.248.163.76 10.0.1.176 43307 5960 6 1 40 1679483585 1679483606 REJECT OK
2 858966410158 eni-0f7ae9ee760bd16d2 89.248.163.16 10.0.1.176 43290 11918 6 1 40 1679483585 1679483606 REJECT OK
2 858966410158 eni-0f7ae9ee760bd16d2 45.150.243.128 10.0.1.176 0 0 1 1 34 1679483585 1679483606 REJECT OK
2 858966410158 eni-0f7ae9ee760bd16d2 162.142.125.189 10.0.1.176 51676 12367 6 1 44 1679483585 1679483606 REJECT OK
2 858966410158 eni-0e7aabe80d29089d5 - - - - - - - 1679483597 1679483628 - NODATA
2 858966410158 eni-03ad9499cfe7dd531 154.89.5.92 10.0.1.26 58914 1024 6 1 44 1679483616 1679483633 REJECT OK
2 858966410158 eni-03ad9499cfe7dd531 114.32.213.194 10.0.1.26 19977 23 6 1 40 1679483616 1679483633 REJECT OK
2 858966410158 eni-0f7ae9ee760bd16d2 92.118.39.92 10.0.1.176 50890 7002 6 1 40 1679483617 1679483631 REJECT OK
2 858966410158 eni-0f7ae9ee760bd16d2 193.3.19.73 10.0.1.176 46234 82 6 1 40 1679483617 1679483631 REJECT OK
2 858966410158 eni-0f7ae9ee760bd16d2 89.248.165.186 10.0.1.176 41277 48400 6 1 40 1679483617 1679483631 REJECT OK
2 858966410158 eni-0f7ae9ee760bd16d2 20.80.16.40 10.0.1.176 57022 443 6 1 40 1679483648 1679483649 REJECT OK
2 858966410158 eni-0f7ae9ee760bd16d2 89.248.163.76 10.0.1.176 43307 9185 6 1 40 1679483648 1679483649 REJECT OK
2 858966410158 eni-03ad9499cfe7dd531 92.63.197.157 10.0.1.26 47778 33223 6 1 40 1679483667 1679483669 REJECT OK
2 858966410158 eni-03ad9499cfe7dd531 162.142.125.183 10.0.1.26 64597 17776 6 1 44 1679483667 1679483669 REJECT OK
2 858966410158 eni-0e7aabe80d29089d5 - - - - - - - 1679483657 1679483688 - NODATA
2 858966410158 eni-0f7ae9ee760bd16d2 47.107.110.120 10.0.1.176 35740 6379 6 1 60 1679483672 1679483697 REJECT OK
2 858966410158 eni-0f7ae9ee760bd16d2 162.142.125.180 10.0.1.176 29459 16888 6 1 44 1679483672 1679483697 REJECT OK
2 858966410158 eni-0f7ae9ee760bd16d2 146.88.240.4 10.0.1.176 48450 37833 17 1 48 1679483672 1679483697 REJECT OK
2 858966410158 eni-0f7ae9ee760bd16d2 120.48.0.116 10.0.1.176 57132 6379 6 1 60 1679483672 1679483697 REJECT OK
2 858966410158 eni-0f7ae9ee760bd16d2 146.185.25.166 10.0.1.176 3790 3790 6 1 40 1679483672 1679483697 REJECT OK
2 858966410158 eni-0f7ae9ee760bd16d2 162.142.125.178 10.0.1.176 45939 51002 6 1 44 1679483672 1679483697 REJECT OK
