version account-id interface-id srcaddr dstaddr srcport dstport protocol packets bytes start end action log-status
2 858966410158 eni-03ad9499cfe7dd531 159.89.34.53 10.0.1.26 20000 80 6 1 44 1679483690 1679483703 ACCEPT OK
2 858966410158 eni-03ad9499cfe7dd531 94.102.61.45 10.0.1.26 42665 49161 6 1 44 1679483690 1679483703 REJECT OK
2 858966410158 eni-03ad9499cfe7dd531 192.241.235.19 10.0.1.26 34238 9999 6 1 40 1679483690 1679483703 REJECT OK
2 858966410158 eni-0f7ae9ee760bd16d2 170.187.164.8 10.0.1.176 61000 636 6 1 40 1679483705 1679483724 REJECT OK
2 858966410158 eni-0f7ae9ee760bd16d2 23.147.230.11 10.0.1.176 57011 8088 6 1 40 1679483705 1679483724 REJECT OK
2 858966410158 eni-0f7ae9ee760bd16d2 162.142.125.187 10.0.1.176 33940 25 6 1 44 1679483705 1679483724 REJECT OK
2 858966410158 eni-03ad9499cfe7dd531 162.142.125.176 10.0.1.26 50833 29799 6 1 44 1679483709 1679483721 REJECT OK
2 858966410158 eni-03ad9499cfe7dd531 162.142.125.181 10.0.1.26 2903 27017 6 1 44 1679483709 1679483721 REJECT OK
2 858966410158 eni-03ad9499cfe7dd531 162.142.125.184 10.0.1.26 56633 16028 6 1 44 1679483709 1679483721 REJECT OK
2 858966410158 eni-0e7aabe80d29089d5 - - - - - - - 1679483717 1679483748 - NODATA
