version account-id interface-id srcaddr dstaddr srcport dstport protocol packets bytes start end action log-status
2 858966410158 eni-0f7ae9ee760bd16d2 167.94.138.146 10.0.1.176 34595 18082 6 1 44 1679483731 1679483753 REJECT OK
2 858966410158 eni-0f7ae9ee760bd16d2 89.248.163.16 10.0.1.176 43290 13658 6 1 40 1679483731 1679483753 REJECT OK
2 858966410158 eni-0f7ae9ee760bd16d2 79.124.56.118 10.0.1.176 58054 32416 6 1 40 1679483731 1679483753 REJECT OK
2 858966410158 eni-0f7ae9ee760bd16d2 118.123.1.35 10.0.1.176 29880 4455 6 1 44 1679483731 1679483753 REJECT OK
2 858966410158 eni-0f7ae9ee760bd16d2 154.89.5.92 10.0.1.176 58914 8081 6 1 44 1679483731 1679483753 REJECT OK
2 858966410158 eni-0f7ae9ee760bd16d2 162.142.125.186 10.0.1.176 6583 12125 6 1 44 1679483731 1679483753 REJECT OK
2 858966410158 eni-0f7ae9ee760bd16d2 89.248.163.16 10.0.1.176 43290 9911 6 1 40 1679483765 1679483788 REJECT OK
2 858966410158 eni-0f7ae9ee760bd16d2 143.42.182.22 10.0.1.176 61000 992 6 1 40 1679483765 1679483788 REJECT OK
2 858966410158 eni-0f7ae9ee760bd16d2 89.248.163.76 10.0.1.176 43307 10063 6 1 40 1679483765 1679483788 REJECT OK
2 858966410158 eni-0f7ae9ee760bd16d2 162.142.125.190 10.0.1.176 28006 8999 6 1 44 1679483765 1679483788 REJECT OK
2 858966410158 eni-0f7ae9ee760bd16d2 183.136.225.42 10.0.1.176 8088 1026 6 1 44 1679483765 1679483788 REJECT OK
2 858966410158 eni-0f7ae9ee760bd16d2 167.94.145.19 10.0.1.176 38551 38802 6 1 44 1679483765 1679483788 REJECT OK
2 858966410158 eni-0f7ae9ee760bd16d2 92.118.39.91 10.0.1.176 38094 6001 6 1 40 1679483798 1679483799 REJECT OK
2 858966410158 eni-03ad9499cfe7dd531 162.142.125.176 10.0.1.26 65507 9138 6 1 44 1679483743 1679483765 REJECT OK
2 858966410158 eni-03ad9499cfe7dd531 62.204.41.80 10.0.1.26 48061 4340 6 1 40 1679483743 1679483765 REJECT OK
2 858966410158 eni-03ad9499cfe7dd531 71.6.233.23 10.0.1.26 3790 3790 6 1 40 1679483798 1679483813 REJECT OK
2 858966410158 eni-03ad9499cfe7dd531 85.217.144.148 10.0.1.26 43273 30477 6 1 40 1679483798 1679483813 REJECT OK
2 858966410158 eni-0e7aabe80d29089d5 - - - - - - - 1679483777 1679483808 - NODATA
2 858966410158 eni-03ad9499cfe7dd531 89.248.163.15 10.0.1.26 43282 6225 6 1 40 1679483771 1679483792 REJECT OK
2 858966410158 eni-03ad9499cfe7dd531 89.248.163.15 10.0.1.26 43282 12832 6 1 40 1679483771 1679483792 REJECT OK
2 858966410158 eni-03ad9499cfe7dd531 143.42.119.16 10.0.1.26 61000 995 6 1 40 1679483771 1679483792 REJECT OK
2 858966410158 eni-03ad9499cfe7dd531 38.110.42.253 10.0.1.26 0 0 1 1 30 1679483771 1679483792 REJECT OK
2 858966410158 eni-03ad9499cfe7dd531 119.1.125.136 10.0.1.26 49624 23 6 1 40 1679483828 1679483855 REJECT OK
2 858966410158 eni-03ad9499cfe7dd531 94.102.61.54 10.0.1.26 40636 8470 6 1 44 1679483828 1679483855 REJECT OK
2 858966410158 eni-03ad9499cfe7dd531 195.230.103.243 10.0.1.26 35894 2000 6 1 40 1679483828 1679483855 REJECT OK
2 858966410158 eni-03ad9499cfe7dd531 89.248.165.253 10.0.1.26 46094 5555 6 1 40 1679483828 1679483855 REJECT OK
2 858966410158 eni-0f7ae9ee760bd16d2 89.248.163.16 10.0.1.176 43290 10435 6 1 40 1679483829 1679483848 REJECT OK
2 858966410158 eni-0f7ae9ee760bd16d2 122.194.9.193 10.0.1.176 49280 37215 6 2 120 1679483829 1679483848 REJECT OK
2 858966410158 eni-0f7ae9ee760bd16d2 89.248.163.16 10.0.1.176 43290 5158 6 1 40 1679483829 1679483848 REJECT OK
2 858966410158 eni-0f7ae9ee760bd16d2 183.136.225.42 10.0.1.176 8088 1177 6 1 44 1679483829 1679483848 REJECT OK
2 858966410158 eni-0f7ae9ee760bd16d2 62.204.41.80 10.0.1.176 48061 7347 6 1 40 1679483829 1679483848 REJECT OK
2 858966410158 eni-0f7ae9ee760bd16d2 139.99.118.118 10.0.1.176 27015 27015 17 1 311 1679483829 1679483848 REJECT OK
2 858966410158 eni-0f7ae9ee760bd16d2 162.142.125.184 10.0.1.176 35241 17000 6 1 44 1679483829 1679483848 REJECT OK
2 858966410158 eni-0f7ae9ee760bd16d2 116.230.174.62 10.0.1.176 20001 445 6 1 52 1679483829 1679483848 REJECT OK
2 858966410158 eni-03ad9499cfe7dd531 162.142.125.177 10.0.1.26 61522 18062 6 1 44 1679483867 1679483878 REJECT OK
2 858966410158 eni-03ad9499cfe7dd531 162.142.125.187 10.0.1.26 42400 4002 6 1 44 1679483867 1679483878 REJECT OK
2 858966410158 eni-03ad9499cfe7dd531 183.136.225.42 10.0.1.26 8088 3128 6 1 44 1679483867 1679483878 REJECT OK
2 858966410158 eni-0e7aabe80d29089d5 - - - - - - - 1679483837 1679483868 - NODATA
2 858966410158 eni-0f7ae9ee760bd16d2 194.26.29.86 10.0.1.176 48220 7448 6 1 40 1679483853 1679483867 REJECT OK
2 858966410158 eni-0f7ae9ee760bd16d2 162.142.125.181 10.0.1.176 15965 12379 6 1 44 1679483853 1679483867 REJECT OK
2 858966410158 eni-0f7ae9ee760bd16d2 162.142.125.227 10.0.1.176 58254 1989 6 1 44 1679483853 1679483867 REJECT OK
2 858966410158 eni-0f7ae9ee760bd16d2 89.248.163.76 10.0.1.176 43307 9058 6 1 40 1679483853 1679483867 REJECT OK
2 858966410158 eni-0f7ae9ee760bd16d2 20.80.16.40 10.0.1.176 57022 80 6 1 40 1679483853 1679483867 REJECT OK
2 858966410158 eni-0f7ae9ee760bd16d2 79.124.56.118 10.0.1.176 58054 11978 6 1 40 1679483853 1679483867 REJECT OK
