version account-id interface-id srcaddr dstaddr srcport dstport protocol packets bytes start end action log-status
2 858966410158 eni-03ad9499cfe7dd531 89.248.163.15 10.0.1.26 43282 11772 6 1 40 1679483978 1679484005 REJECT OK
2 858966410158 eni-03ad9499cfe7dd531 183.136.225.32 10.0.1.26 8283 443 6 1 44 1679483978 1679484005 REJECT OK
2 858966410158 eni-03ad9499cfe7dd531 193.57.40.49 10.0.1.26 47473 3790 6 1 40 1679483978 1679484005 REJECT OK
2 858966410158 eni-03ad9499cfe7dd531 82.115.26.110 10.0.1.26 14310 6881 17 1 84 1679483978 1679484005 REJECT OK
2 858966410158 eni-03ad9499cfe7dd531 94.102.61.45 10.0.1.26 43169 49172 6 1 44 1679483978 1679484005 REJECT OK
2 858966410158 eni-03ad9499cfe7dd531 167.94.146.21 10.0.1.26 2437 55443 6 1 44 1679483978 1679484005 REJECT OK
2 858966410158 eni-03ad9499cfe7dd531 89.248.163.74 10.0.1.26 43314 12617 6 1 40 1679484009 1679484035 REJECT OK
2 858966410158 eni-03ad9499cfe7dd531 89.248.165.221 10.0.1.26 48495 52862 6 1 40 1679484009 1679484035 REJECT OK
2 858966410158 eni-03ad9499cfe7dd531 94.102.51.9 10.0.1.26 17828 80 6 1 40 1679484009 1679484035 ACCEPT OK
2 858966410158 eni-03ad9499cfe7dd531 162.142.125.176 10.0.1.26 48362 12464 6 1 44 1679484009 1679484035 REJECT OK
2 858966410158 eni-03ad9499cfe7dd531 162.142.125.184 10.0.1.26 55999 9206 6 1 44 1679484009 1679484035 REJECT OK
2 858966410158 eni-0f7ae9ee760bd16d2 89.248.163.76 10.0.1.176 43307 8003 6 1 40 1679484012 1679484031 REJECT OK
2 858966410158 eni-0f7ae9ee760bd16d2 104.248.157.218 10.0.1.176 42478 8080 6 1 40 1679484012 1679484031 REJECT OK
2 858966410158 eni-0f7ae9ee760bd16d2 121.233.222.13 10.0.1.176 14432 23 6 1 40 1679484012 1679484031 REJECT OK
2 858966410158 eni-0f7ae9ee760bd16d2 162.142.125.189 10.0.1.176 20675 30001 6 1 44 1679484012 1679484031 REJECT OK
2 858966410158 eni-0f7ae9ee760bd16d2 154.89.5.92 10.0.1.176 58914 520 17 1 52 1679484012 1679484031 REJECT OK
2 858966410158 eni-0e7aabe80d29089d5 - - - - - - - 1679484017 1679484048 - NODATA
2 858966410158 eni-0f7ae9ee760bd16d2 162.142.125.180 10.0.1.176 28437 10018 6 1 44 1679484050 1679484051 REJECT OK
2 858966410158 eni-03ad9499cfe7dd531 162.142.125.189 10.0.1.26 23705 9062 6 1 44 1679484043 1679484066 REJECT OK
2 858966410158 eni-03ad9499cfe7dd531 162.142.125.184 10.0.1.26 38004 8843 6 1 44 1679484043 1679484066 REJECT OK
2 858966410158 eni-03ad9499cfe7dd531 89.248.165.20 10.0.1.26 51583 3390 6 1 40 1679484043 1679484066 REJECT OK
2 858966410158 eni-03ad9499cfe7dd531 94.102.61.45 10.0.1.26 50839 49170 6 1 44 1679484043 1679484066 REJECT OK
2 858966410158 eni-03ad9499cfe7dd531 162.142.125.184 10.0.1.26 64354 12522 6 1 44 1679484043 1679484066 REJECT OK
