version account-id interface-id srcaddr dstaddr srcport dstport protocol packets bytes start end action log-status
2 858966410158 eni-0f7ae9ee760bd16d2 80.82.77.232 10.0.1.176 80 8899 6 1 44 1679484061 1679484085 REJECT OK
2 858966410158 eni-0f7ae9ee760bd16d2 10.0.3.129 10.0.1.176 48049 123 17 1 76 1679484061 1679484085 REJECT OK
2 858966410158 eni-0f7ae9ee760bd16d2 85.217.144.148 10.0.1.176 43273 10456 6 1 40 1679484061 1679484085 REJECT OK
2 858966410158 eni-03ad9499cfe7dd531 45.79.148.14 10.0.1.26 61000 636 6 1 40 1679484075 1679484085 REJECT OK
2 858966410158 eni-03ad9499cfe7dd531 162.142.125.187 10.0.1.26 9952 18071 6 1 44 1679484075 1679484085 REJECT OK
2 858966410158 eni-03ad9499cfe7dd531 89.248.165.192 10.0.1.26 45124 23892 6 1 40 1679484075 1679484085 REJECT OK
2 858966410158 eni-0f7ae9ee760bd16d2 10.0.3.129 10.0.1.176 44523 123 17 1 76 1679484093 1679484114 REJECT OK
2 858966410158 eni-0f7ae9ee760bd16d2 10.0.3.129 10.0.1.176 48111 123 17 1 76 1679484093 1679484114 REJECT OK
2 858966410158 eni-0f7ae9ee760bd16d2 10.0.3.129 10.0.1.176 48253 123 17 1 76 1679484093 1679484114 REJECT OK
2 858966410158 eni-0f7ae9ee760bd16d2 162.142.125.191 10.0.1.176 18948 18035 6 1 44 1679484093 1679484114 REJECT OK
2 858966410158 eni-0f7ae9ee760bd16d2 10.0.3.129 10.0.1.176 42869 123 17 1 76 1679484093 1679484114 REJECT OK
2 858966410158 eni-03ad9499cfe7dd531 220.196.32.202 10.0.1.26 3487 37215 6 1 44 1679484098 1679484124 REJECT OK
2 858966410158 eni-03ad9499cfe7dd531 162.142.125.190 10.0.1.26 10773 12247 6 1 44 1679484098 1679484124 REJECT OK
2 858966410158 eni-03ad9499cfe7dd531 162.142.125.180 10.0.1.26 8944 12434 6 1 44 1679484098 1679484124 REJECT OK
2 858966410158 eni-03ad9499cfe7dd531 162.142.125.240 10.0.1.26 27772 3127 6 1 44 1679484098 1679484124 REJECT OK
2 858966410158 eni-03ad9499cfe7dd531 89.248.163.74 10.0.1.26 43314 11937 6 1 40 1679484098 1679484124 REJECT OK
2 858966410158 eni-03ad9499cfe7dd531 89.248.163.15 10.0.1.26 43282 7789 6 1 40 1679484098 1679484124 REJECT OK
2 858966410158 eni-03ad9499cfe7dd531 89.248.163.15 10.0.1.26 43282 7336 6 1 40 1679484098 1679484124 REJECT OK
2 858966410158 eni-0e7aabe80d29089d5 10.0.3.129 44.4.53.2 44523 123 17 1 76 1679484123 1679484131 ACCEPT OK
2 858966410158 eni-0e7aabe80d29089d5 10.0.3.129 72.30.35.89 55876 123 17 1 76 1679484123 1679484131 ACCEPT OK
2 858966410158 eni-0e7aabe80d29089d5 10.0.3.129 69.164.213.136 48111 123 17 1 76 1679484123 1679484131 ACCEPT OK
2 858966410158 eni-0e7aabe80d29089d5 10.0.3.129 168.235.89.132 48049 123 17 1 76 1679484086 1679484086 ACCEPT OK
2 858966410158 eni-0f7ae9ee760bd16d2 10.0.3.129 10.0.1.176 55876 123 17 1 76 1679484122 1679484135 REJECT OK
2 858966410158 eni-0f7ae9ee760bd16d2 91.240.118.75 10.0.1.176 47988 33489 6 1 40 1679484122 1679484135 REJECT OK
2 858966410158 eni-0e7aabe80d29089d5 10.0.3.129 15.235.141.175 42869 123 17 1 76 1679484140 1679484144 ACCEPT OK
2 858966410158 eni-0e7aabe80d29089d5 10.0.3.129 38.229.54.9 48253 123 17 1 76 1679484140 1679484144 ACCEPT OK
2 858966410158 eni-0f7ae9ee760bd16d2 62.204.41.80 10.0.1.176 48061 2151 6 1 40 1679484152 1679484167 REJECT OK
2 858966410158 eni-0f7ae9ee760bd16d2 89.248.165.253 10.0.1.176 46094 4000 6 1 40 1679484152 1679484167 REJECT OK
2 858966410158 eni-0f7ae9ee760bd16d2 183.136.225.42 10.0.1.176 8088 49 6 1 44 1679484152 1679484167 REJECT OK
2 858966410158 eni-0f7ae9ee760bd16d2 118.123.1.35 10.0.1.176 29880 7798 6 1 44 1679484152 1679484167 REJECT OK
2 858966410158 eni-0f7ae9ee760bd16d2 89.248.163.76 10.0.1.176 43307 11350 6 1 40 1679484152 1679484167 REJECT OK
2 858966410158 eni-03ad9499cfe7dd531 167.94.138.147 10.0.1.26 31375 15000 6 1 44 1679484128 1679484153 REJECT OK
2 858966410158 eni-03ad9499cfe7dd531 113.228.253.131 10.0.1.26 45092 23 6 1 40 1679484128 1679484153 REJECT OK
2 858966410158 eni-03ad9499cfe7dd531 194.26.29.86 10.0.1.26 48220 6344 6 1 40 1679484128 1679484153 REJECT OK
2 858966410158 eni-03ad9499cfe7dd531 89.248.163.74 10.0.1.26 43314 8598 6 1 40 1679484169 1679484181 REJECT OK
2 858966410158 eni-03ad9499cfe7dd531 94.102.61.45 10.0.1.26 51749 49189 6 1 44 1679484169 1679484181 REJECT OK
2 858966410158 eni-03ad9499cfe7dd531 91.240.118.77 10.0.1.26 48026 2477 6 1 40 1679484169 1679484181 REJECT OK
2 858966410158 eni-03ad9499cfe7dd531 212.70.149.46 10.0.1.26 46483 8443 6 1 40 1679484169 1679484181 REJECT OK
2 858966410158 eni-0f7ae9ee760bd16d2 45.143.200.106 10.0.1.176 47681 9087 6 1 40 1679484183 1679484209 REJECT OK
2 858966410158 eni-0f7ae9ee760bd16d2 203.32.106.1 10.0.1.176 43281 1433 6 1 44 1679484183 1679484209 REJECT OK
2 858966410158 eni-0f7ae9ee760bd16d2 89.248.165.192 10.0.1.176 45124 23736 6 1 40 1679484183 1679484209 REJECT OK
2 858966410158 eni-0e7aabe80d29089d5 - - - - - - - 1679484197 1679484228 - NODATA
2 858966410158 eni-0f7ae9ee760bd16d2 89.248.163.16 10.0.1.176 43290 12020 6 1 40 1679484212 1679484219 REJECT OK
2 858966410158 eni-0f7ae9ee760bd16d2 8.26.182.38 10.0.1.176 42060 443 6 1 40 1679484212 1679484219 REJECT OK
2 858966410158 eni-03ad9499cfe7dd531 89.248.165.192 10.0.1.26 45124 23324 6 1 40 1679484219 1679484246 REJECT OK
2 858966410158 eni-03ad9499cfe7dd531 202.169.53.11 10.0.1.26 52528 7631 6 1 40 1679484219 1679484246 REJECT OK
2 858966410158 eni-03ad9499cfe7dd531 198.199.96.173 10.0.1.26 40569 541 6 1 40 1679484219 1679484246 REJECT OK
2 858966410158 eni-03ad9499cfe7dd531 78.128.113.250 10.0.1.26 47419 5349 6 1 40 1679484219 1679484246 REJECT OK
2 858966410158 eni-0f7ae9ee760bd16d2 45.128.232.181 10.0.1.176 51030 8088 6 1 40 1679484249 1679484267 REJECT OK
2 858966410158 eni-0f7ae9ee760bd16d2 80.66.77.236 10.0.1.176 40680 34567 6 1 40 1679484249 1679484267 REJECT OK
2 858966410158 eni-0f7ae9ee760bd16d2 162.243.152.21 10.0.1.176 59418 5901 6 1 40 1679484249 1679484267 REJECT OK
2 858966410158 eni-03ad9499cfe7dd531 183.136.225.42 10.0.1.26 8088 23456 6 1 44 1679484197 1679484198 REJECT OK
2 858966410158 eni-03ad9499cfe7dd531 162.142.125.183 10.0.1.26 24859 12178 6 1 44 1679484250 1679484258 REJECT OK
2 858966410158 eni-03ad9499cfe7dd531 45.128.232.181 10.0.1.26 52510 8088 6 1 40 1679484250 1679484258 REJECT OK
2 858966410158 eni-0f7ae9ee760bd16d2 192.241.213.72 10.0.1.176 52352 10001 6 1 40 1679484276 1679484290 REJECT OK
2 858966410158 eni-0f7ae9ee760bd16d2 85.217.145.45 10.0.1.176 51036 81 6 1 40 1679484276 1679484290 REJECT OK
2 858966410158 eni-0f7ae9ee760bd16d2 89.248.163.76 10.0.1.176 43307 5605 6 1 40 1679484276 1679484290 REJECT OK
2 858966410158 eni-0f7ae9ee760bd16d2 162.142.125.178 10.0.1.176 2300 21357 6 1 44 1679484276 1679484290 REJECT OK
2 858966410158 eni-0f7ae9ee760bd16d2 185.56.80.40 10.0.1.176 40245 8089 6 1 40 1679484276 1679484290 REJECT OK
2 858966410158 eni-0f7ae9ee760bd16d2 62.233.50.217 10.0.1.176 48102 9214 6 1 40 1679484276 1679484290 REJECT OK
2 858966410158 eni-0e7aabe80d29089d5 - - - - - - - 1679484257 1679484288 - NODATA
