version account-id interface-id srcaddr dstaddr srcport dstport protocol packets bytes start end action log-status
2 858966410158 eni-03ad9499cfe7dd531 89.248.165.193 10.0.1.26 40080 6356 6 1 40 1679484278 1679484306 REJECT OK
2 858966410158 eni-03ad9499cfe7dd531 162.142.125.177 10.0.1.26 4041 18027 6 1 44 1679484278 1679484306 REJECT OK
2 858966410158 eni-03ad9499cfe7dd531 154.89.5.92 10.0.1.26 58914 8082 6 1 44 1679484278 1679484306 REJECT OK
2 858966410158 eni-03ad9499cfe7dd531 162.142.125.187 10.0.1.26 37503 8106 6 1 44 1679484278 1679484306 REJECT OK
2 858966410158 eni-03ad9499cfe7dd531 89.248.163.74 10.0.1.26 43314 5997 6 1 40 1679484278 1679484306 REJECT OK
2 858966410158 eni-03ad9499cfe7dd531 195.154.108.235 10.0.1.26 54743 8088 6 1 40 1679484278 1679484306 REJECT OK
2 858966410158 eni-03ad9499cfe7dd531 206.189.57.162 10.0.1.26 57604 8888 6 1 40 1679484278 1679484306 REJECT OK
2 858966410158 eni-03ad9499cfe7dd531 161.97.139.253 10.0.1.26 61000 5196 6 1 40 1679484278 1679484306 REJECT OK
2 858966410158 eni-03ad9499cfe7dd531 94.102.61.45 10.0.1.26 34599 49162 6 1 44 1679484278 1679484306 REJECT OK
2 858966410158 eni-0f7ae9ee760bd16d2 194.26.29.152 10.0.1.176 47899 6443 6 1 40 1679484305 1679484315 REJECT OK
2 858966410158 eni-0f7ae9ee760bd16d2 106.8.46.228 10.0.1.176 44133 2376 6 1 40 1679484305 1679484315 REJECT OK
2 858966410158 eni-0f7ae9ee760bd16d2 91.240.118.77 10.0.1.176 48026 6273 6 1 40 1679484305 1679484315 REJECT OK
2 858966410158 eni-03ad9499cfe7dd531 218.239.222.147 10.0.1.26 11259 23 6 1 40 1679484309 1679484333 REJECT OK
2 858966410158 eni-03ad9499cfe7dd531 80.252.0.252 10.0.1.26 443 33834 6 2 96 1679484309 1679484333 REJECT OK
2 858966410158 eni-03ad9499cfe7dd531 94.102.61.45 10.0.1.26 33414 49188 6 1 44 1679484309 1679484333 REJECT OK
2 858966410158 eni-03ad9499cfe7dd531 167.94.146.65 10.0.1.26 45772 22222 6 1 44 1679484309 1679484333 REJECT OK
2 858966410158 eni-03ad9499cfe7dd531 140.99.219.26 10.0.1.26 57905 8123 6 1 40 1679484309 1679484333 REJECT OK
2 858966410158 eni-03ad9499cfe7dd531 172.104.138.223 10.0.1.26 23866 65252 6 1 40 1679484309 1679484333 REJECT OK
2 858966410158 eni-03ad9499cfe7dd531 119.56.145.34 10.0.1.26 18753 23 6 1 40 1679484309 1679484333 REJECT OK
2 858966410158 eni-0f7ae9ee760bd16d2 10.0.3.129 10.0.1.176 56506 123 17 1 76 1679484332 1679484347 REJECT OK
2 858966410158 eni-0f7ae9ee760bd16d2 162.142.125.179 10.0.1.176 37795 9067 6 1 44 1679484332 1679484347 REJECT OK
2 858966410158 eni-0f7ae9ee760bd16d2 212.70.149.38 10.0.1.176 50413 7281 6 1 40 1679484332 1679484347 REJECT OK
2 858966410158 eni-0e7aabe80d29089d5 10.0.3.129 209.51.161.238 56506 123 17 1 76 1679484352 1679484353 ACCEPT OK
2 858966410158 eni-0e7aabe80d29089d5 - - - - - - - 1679484318 1679484348 - NODATA
2 858966410158 eni-03ad9499cfe7dd531 91.212.121.39 10.0.1.26 47423 8080 6 1 40 1679484338 1679484364 REJECT OK
2 858966410158 eni-03ad9499cfe7dd531 162.142.125.187 10.0.1.26 40960 10027 6 1 44 1679484338 1679484364 REJECT OK
2 858966410158 eni-03ad9499cfe7dd531 170.106.115.253 10.0.1.26 40258 55554 6 1 52 1679484338 1679484364 REJECT OK
2 858966410158 eni-03ad9499cfe7dd531 2.57.122.214 10.0.1.26 8080 8083 17 1 121 1679484338 1679484364 REJECT OK
2 858966410158 eni-03ad9499cfe7dd531 64.62.197.203 10.0.1.26 13397 111 17 1 68 1679484338 1679484364 REJECT OK
2 858966410158 eni-03ad9499cfe7dd531 162.142.125.177 10.0.1.26 26864 12484 6 1 44 1679484338 1679484364 REJECT OK
2 858966410158 eni-03ad9499cfe7dd531 107.170.231.20 10.0.1.26 41743 5901 6 1 40 1679484338 1679484364 REJECT OK
