version account-id interface-id srcaddr dstaddr srcport dstport protocol packets bytes start end action log-status
2 858966410158 eni-03ad9499cfe7dd531 194.26.29.86 10.0.1.26 48220 2910 6 1 40 1679484382 1679484383 REJECT OK
2 858966410158 eni-0e7aabe80d29089d5 - - - - - - - 1679484377 1679484408 - NODATA
2 858966410158 eni-0f7ae9ee760bd16d2 192.241.199.57 10.0.1.176 44462 541 6 1 40 1679484363 1679484390 REJECT OK
2 858966410158 eni-0f7ae9ee760bd16d2 154.89.5.92 10.0.1.176 58914 9020 6 1 44 1679484363 1679484390 REJECT OK
2 858966410158 eni-0f7ae9ee760bd16d2 167.94.146.26 10.0.1.176 14506 58106 6 1 44 1679484363 1679484390 REJECT OK
2 858966410158 eni-0f7ae9ee760bd16d2 45.92.142.226 10.0.1.176 43048 5038 6 1 40 1679484363 1679484390 REJECT OK
2 858966410158 eni-0f7ae9ee760bd16d2 202.100.240.226 10.0.1.176 59988 6379 6 1 60 1679484363 1679484390 REJECT OK
2 858966410158 eni-0f7ae9ee760bd16d2 118.123.1.35 10.0.1.176 29880 88 6 1 44 1679484363 1679484390 REJECT OK
2 858966410158 eni-0f7ae9ee760bd16d2 45.79.148.108 10.0.1.176 61000 990 6 1 40 1679484363 1679484390 REJECT OK
2 858966410158 eni-03ad9499cfe7dd531 194.26.29.86 10.0.1.26 48220 9461 6 1 40 1679484417 1679484422 REJECT OK
2 858966410158 eni-03ad9499cfe7dd531 8.26.182.38 10.0.1.26 42060 443 6 1 40 1679484417 1679484422 REJECT OK
2 858966410158 eni-03ad9499cfe7dd531 89.248.165.187 10.0.1.26 41171 38843 6 1 40 1679484417 1679484422 REJECT OK
2 858966410158 eni-0f7ae9ee760bd16d2 43.129.39.176 10.0.1.176 50711 22222 6 1 52 1679484429 1679484450 REJECT OK
2 858966410158 eni-0f7ae9ee760bd16d2 187.152.132.34 10.0.1.176 45078 445 6 1 40 1679484429 1679484450 REJECT OK
2 858966410158 eni-0f7ae9ee760bd16d2 89.248.163.76 10.0.1.176 43307 7964 6 1 40 1679484429 1679484450 REJECT OK
2 858966410158 eni-0f7ae9ee760bd16d2 89.248.163.16 10.0.1.176 43290 8247 6 1 40 1679484429 1679484450 REJECT OK
2 858966410158 eni-0f7ae9ee760bd16d2 162.142.125.191 10.0.1.176 33643 21288 6 1 44 1679484429 1679484450 REJECT OK
2 858966410158 eni-03ad9499cfe7dd531 139.196.7.76 10.0.1.26 44260 6379 6 1 60 1679484432 1679484450 REJECT OK
2 858966410158 eni-03ad9499cfe7dd531 92.118.39.91 10.0.1.26 48789 6001 6 1 40 1679484432 1679484450 REJECT OK
2 858966410158 eni-03ad9499cfe7dd531 223.12.188.17 10.0.1.26 43629 23 6 1 40 1679484432 1679484450 REJECT OK
2 858966410158 eni-03ad9499cfe7dd531 192.241.225.22 10.0.1.26 35681 10001 6 1 40 1679484432 1679484450 REJECT OK
2 858966410158 eni-03ad9499cfe7dd531 45.143.200.106 10.0.1.26 47681 9499 6 1 40 1679484432 1679484450 REJECT OK
2 858966410158 eni-0e7aabe80d29089d5 - - - - - - - 1679484437 1679484468 - NODATA
2 858966410158 eni-03ad9499cfe7dd531 78.128.113.78 10.0.1.26 42328 3051 6 1 40 1679484494 1679484502 REJECT OK
2 858966410158 eni-03ad9499cfe7dd531 89.248.163.15 10.0.1.26 43282 5165 6 1 40 1679484494 1679484502 REJECT OK
2 858966410158 eni-03ad9499cfe7dd531 162.142.125.135 10.0.1.26 41854 49502 6 1 44 1679484494 1679484502 REJECT OK
