version account-id interface-id srcaddr dstaddr srcport dstport protocol packets bytes start end action log-status
2 858966410158 eni-03ad9499cfe7dd531 143.198.172.201 10.0.1.26 32870 2000 6 1 44 1679484591 1679484606 REJECT OK
2 858966410158 eni-03ad9499cfe7dd531 193.142.146.214 10.0.1.26 36982 81 6 1 40 1679484591 1679484606 REJECT OK
2 858966410158 eni-03ad9499cfe7dd531 64.62.197.26 10.0.1.26 6274 3478 17 1 48 1679484591 1679484606 REJECT OK
2 858966410158 eni-03ad9499cfe7dd531 162.142.125.189 10.0.1.26 44067 3108 6 1 44 1679484591 1679484606 REJECT OK
2 858966410158 eni-0f7ae9ee760bd16d2 91.240.118.77 10.0.1.176 48026 7205 6 1 40 1679484605 1679484626 REJECT OK
2 858966410158 eni-0f7ae9ee760bd16d2 167.94.138.138 10.0.1.176 11422 4438 6 1 44 1679484605 1679484626 REJECT OK
2 858966410158 eni-0f7ae9ee760bd16d2 10.0.3.129 10.0.1.176 40672 123 17 1 76 1679484605 1679484626 REJECT OK
2 858966410158 eni-03ad9499cfe7dd531 162.142.125.190 10.0.1.26 60060 12234 6 1 44 1679484610 1679484637 REJECT OK
2 858966410158 eni-03ad9499cfe7dd531 80.82.77.234 10.0.1.26 40207 2162 6 1 40 1679484610 1679484637 REJECT OK
2 858966410158 eni-03ad9499cfe7dd531 27.207.25.242 10.0.1.26 1900 8080 17 1 47 1679484610 1679484637 REJECT OK
2 858966410158 eni-03ad9499cfe7dd531 89.248.163.15 10.0.1.26 43282 6685 6 1 40 1679484610 1679484637 REJECT OK
2 858966410158 eni-03ad9499cfe7dd531 185.142.236.35 10.0.1.26 32335 264 6 1 44 1679484610 1679484637 REJECT OK
2 858966410158 eni-03ad9499cfe7dd531 5.135.141.188 10.0.1.26 60000 4100 6 1 40 1679484610 1679484637 REJECT OK
2 858966410158 eni-03ad9499cfe7dd531 183.136.225.42 10.0.1.26 8088 1521 6 1 44 1679484610 1679484637 REJECT OK
2 858966410158 eni-03ad9499cfe7dd531 79.124.58.146 10.0.1.26 52774 6572 6 1 40 1679484610 1679484637 REJECT OK
2 858966410158 eni-0e7aabe80d29089d5 10.0.3.129 63.211.239.58 40672 123 17 1 76 1679484635 1679484636 ACCEPT OK
2 858966410158 eni-0f7ae9ee760bd16d2 89.248.163.76 10.0.1.176 43307 10406 6 1 40 1679484630 1679484648 REJECT OK
2 858966410158 eni-0f7ae9ee760bd16d2 162.142.125.191 10.0.1.176 61635 9040 6 1 44 1679484630 1679484648 REJECT OK
2 858966410158 eni-03ad9499cfe7dd531 89.248.163.15 10.0.1.26 43282 12601 6 1 40 1679484647 1679484665 REJECT OK
2 858966410158 eni-03ad9499cfe7dd531 89.248.163.74 10.0.1.26 43314 10435 6 1 40 1679484647 1679484665 REJECT OK
2 858966410158 eni-03ad9499cfe7dd531 89.248.163.15 10.0.1.26 43282 9764 6 1 40 1679484647 1679484665 REJECT OK
