version account-id interface-id srcaddr dstaddr srcport dstport protocol packets bytes start end action log-status
2 858966410158 eni-0f7ae9ee760bd16d2 - - - - - - - 1679484870 1679484901 - NODATA
2 858966410158 eni-0f7ae9ee760bd16d2 162.142.125.178 10.0.1.176 1291 8890 6 1 44 1679484910 1679484929 REJECT OK
2 858966410158 eni-0f7ae9ee760bd16d2 162.142.125.183 10.0.1.176 23648 9020 6 1 44 1679484910 1679484929 REJECT OK
2 858966410158 eni-0f7ae9ee760bd16d2 89.248.163.16 10.0.1.176 43290 7008 6 1 40 1679484910 1679484929 REJECT OK
2 858966410158 eni-03ad9499cfe7dd531 94.102.61.47 10.0.1.26 36419 4148 6 1 44 1679484908 1679484935 REJECT OK
2 858966410158 eni-03ad9499cfe7dd531 89.248.163.74 10.0.1.26 43314 14344 6 1 40 1679484908 1679484935 REJECT OK
2 858966410158 eni-0e7aabe80d29089d5 - - - - - - - 1679484917 1679484948 - NODATA
2 858966410158 eni-0f7ae9ee760bd16d2 162.142.125.177 10.0.1.176 6959 8095 6 1 44 1679484941 1679484942 REJECT OK
2 858966410158 eni-03ad9499cfe7dd531 212.70.149.38 10.0.1.26 50413 7404 6 1 40 1679484945 1679484963 REJECT OK
2 858966410158 eni-03ad9499cfe7dd531 66.42.60.149 10.0.1.26 44291 3389 6 1 40 1679484945 1679484963 REJECT OK
