version account-id interface-id srcaddr dstaddr srcport dstport protocol packets bytes start end action log-status
2 858966410158 eni-03ad9499cfe7dd531 89.248.163.15 10.0.1.26 43282 14051 6 1 40 1679484968 1679484989 REJECT OK
2 858966410158 eni-03ad9499cfe7dd531 162.142.125.191 10.0.1.26 41901 8082 6 1 44 1679484968 1679484989 REJECT OK
2 858966410158 eni-03ad9499cfe7dd531 38.110.42.253 10.0.1.26 0 0 1 1 30 1679484968 1679484989 REJECT OK
2 858966410158 eni-03ad9499cfe7dd531 89.248.165.186 10.0.1.26 41277 46497 6 1 40 1679484968 1679484989 REJECT OK
2 858966410158 eni-0e7aabe80d29089d5 - - - - - - - 1679484977 1679485008 - NODATA
2 858966410158 eni-03ad9499cfe7dd531 80.66.77.236 10.0.1.26 54498 34567 6 1 40 1679485003 1679485016 REJECT OK
2 858966410158 eni-03ad9499cfe7dd531 193.57.40.49 10.0.1.26 47473 2698 6 1 40 1679485003 1679485016 REJECT OK
2 858966410158 eni-03ad9499cfe7dd531 89.248.163.74 10.0.1.26 43314 14579 6 1 40 1679485003 1679485016 REJECT OK
2 858966410158 eni-03ad9499cfe7dd531 89.248.165.166 10.0.1.26 51628 3343 6 1 40 1679485003 1679485016 REJECT OK
2 858966410158 eni-0f7ae9ee760bd16d2 89.248.163.16 10.0.1.176 43290 14012 6 1 40 1679484984 1679484989 REJECT OK
2 858966410158 eni-0f7ae9ee760bd16d2 118.123.1.35 10.0.1.176 29880 8022 6 1 44 1679484984 1679484989 REJECT OK
2 858966410158 eni-0f7ae9ee760bd16d2 162.19.170.45 10.0.1.176 25565 51481 6 1 40 1679485008 1679485012 REJECT OK
2 858966410158 eni-0f7ae9ee760bd16d2 132.148.76.25 10.0.1.176 48016 3389 6 1 40 1679485008 1679485012 REJECT OK
2 858966410158 eni-0f7ae9ee760bd16d2 104.250.52.153 10.0.1.176 50081 30025 6 1 52 1679485023 1679485032 REJECT OK
2 858966410158 eni-0f7ae9ee760bd16d2 195.230.103.243 10.0.1.176 43103 2000 6 1 40 1679485023 1679485032 REJECT OK
2 858966410158 eni-0e7aabe80d29089d5 - - - - - - - 1679485038 1679485068 - NODATA
2 858966410158 eni-0f7ae9ee760bd16d2 118.151.210.130 10.0.1.176 41632 6379 6 1 60 1679485067 1679485070 REJECT OK
2 858966410158 eni-0f7ae9ee760bd16d2 107.170.233.19 10.0.1.176 43909 5903 6 1 40 1679485067 1679485070 REJECT OK
2 858966410158 eni-03ad9499cfe7dd531 162.243.128.22 10.0.1.26 41253 8080 6 1 40 1679485065 1679485086 REJECT OK
2 858966410158 eni-03ad9499cfe7dd531 5.119.50.52 10.0.1.26 17695 443 6 4 240 1679485065 1679485086 REJECT OK
2 858966410158 eni-03ad9499cfe7dd531 146.88.240.4 10.0.1.26 36370 10001 17 1 32 1679485065 1679485086 REJECT OK
2 858966410158 eni-03ad9499cfe7dd531 5.119.50.52 10.0.1.26 17694 443 6 4 240 1679485065 1679485086 REJECT OK
2 858966410158 eni-03ad9499cfe7dd531 5.119.50.52 10.0.1.26 17691 443 6 4 240 1679485065 1679485086 REJECT OK
2 858966410158 eni-03ad9499cfe7dd531 89.248.163.15 10.0.1.26 43282 12968 6 1 40 1679485065 1679485086 REJECT OK
2 858966410158 eni-03ad9499cfe7dd531 5.119.50.52 10.0.1.26 17692 443 6 4 240 1679485065 1679485086 REJECT OK
2 858966410158 eni-03ad9499cfe7dd531 5.119.50.52 10.0.1.26 17693 443 6 4 240 1679485065 1679485086 REJECT OK
2 858966410158 eni-03ad9499cfe7dd531 20.80.16.40 10.0.1.26 57022 80 6 1 40 1679485065 1679485086 ACCEPT OK
2 858966410158 eni-03ad9499cfe7dd531 162.142.125.177 10.0.1.26 53942 50999 6 1 44 1679485065 1679485086 REJECT OK
2 858966410158 eni-03ad9499cfe7dd531 94.102.61.45 10.0.1.26 51170 49999 6 1 44 1679485026 1679485049 REJECT OK
2 858966410158 eni-03ad9499cfe7dd531 223.12.191.117 10.0.1.26 46380 23 6 1 40 1679485026 1679485049 REJECT OK
2 858966410158 eni-03ad9499cfe7dd531 119.191.58.66 10.0.1.26 59850 6379 6 1 60 1679485094 1679485115 REJECT OK
2 858966410158 eni-03ad9499cfe7dd531 5.119.50.52 10.0.1.26 17697 443 6 3 180 1679485094 1679485115 REJECT OK
2 858966410158 eni-03ad9499cfe7dd531 5.119.50.52 10.0.1.26 17696 443 6 1 60 1679485094 1679485115 REJECT OK
2 858966410158 eni-03ad9499cfe7dd531 5.119.50.52 10.0.1.26 17697 443 6 1 60 1679485118 1679485141 REJECT OK
2 858966410158 eni-03ad9499cfe7dd531 192.241.192.9 10.0.1.26 45859 5903 6 1 40 1679485118 1679485141 REJECT OK
2 858966410158 eni-03ad9499cfe7dd531 167.94.146.26 10.0.1.26 41210 33339 6 1 44 1679485118 1679485141 REJECT OK
2 858966410158 eni-03ad9499cfe7dd531 162.142.125.189 10.0.1.26 59028 7070 6 1 44 1679485118 1679485141 REJECT OK
2 858966410158 eni-03ad9499cfe7dd531 162.142.125.190 10.0.1.26 11356 3105 6 1 44 1679485118 1679485141 REJECT OK
2 858966410158 eni-03ad9499cfe7dd531 5.119.50.52 10.0.1.26 17698 443 6 1 60 1679485118 1679485141 REJECT OK
2 858966410158 eni-0f7ae9ee760bd16d2 162.142.125.254 10.0.1.176 24246 44009 6 1 44 1679485080 1679485107 REJECT OK
2 858966410158 eni-0f7ae9ee760bd16d2 85.217.145.45 10.0.1.176 46090 81 6 1 40 1679485080 1679485107 REJECT OK
2 858966410158 eni-0f7ae9ee760bd16d2 162.142.125.178 10.0.1.176 4536 21292 6 1 44 1679485080 1679485107 REJECT OK
2 858966410158 eni-0f7ae9ee760bd16d2 162.142.125.229 10.0.1.176 54170 1453 6 1 44 1679485080 1679485107 REJECT OK
2 858966410158 eni-0f7ae9ee760bd16d2 38.110.42.254 10.0.1.176 0 0 1 1 30 1679485080 1679485107 REJECT OK
2 858966410158 eni-0e7aabe80d29089d5 10.0.3.129 44.4.53.2 38114 123 17 1 76 1679485141 1679485154 ACCEPT OK
2 858966410158 eni-0e7aabe80d29089d5 10.0.3.129 38.229.54.9 45743 123 17 1 76 1679485141 1679485154 ACCEPT OK
2 858966410158 eni-0e7aabe80d29089d5 10.0.3.129 168.235.89.132 57775 123 17 1 76 1679485121 1679485122 ACCEPT OK
2 858966410158 eni-0f7ae9ee760bd16d2 185.224.128.213 10.0.1.176 31585 80 6 1 89 1679485111 1679485139 REJECT OK
2 858966410158 eni-0f7ae9ee760bd16d2 154.89.5.92 10.0.1.176 58914 20202 6 1 44 1679485111 1679485139 REJECT OK
2 858966410158 eni-0f7ae9ee760bd16d2 122.194.11.103 10.0.1.176 2773 80 6 2 120 1679485111 1679485139 REJECT OK
2 858966410158 eni-0f7ae9ee760bd16d2 10.0.3.129 10.0.1.176 38114 123 17 1 76 1679485111 1679485139 REJECT OK
2 858966410158 eni-0f7ae9ee760bd16d2 10.0.3.129 10.0.1.176 45743 123 17 1 76 1679485111 1679485139 REJECT OK
2 858966410158 eni-0f7ae9ee760bd16d2 10.0.3.129 10.0.1.176 57775 123 17 1 76 1679485111 1679485139 REJECT OK
2 858966410158 eni-03ad9499cfe7dd531 62.233.50.217 10.0.1.26 48102 9374 6 1 40 1679485163 1679485171 REJECT OK
2 858966410158 eni-03ad9499cfe7dd531 89.248.163.74 10.0.1.26 43314 11831 6 1 40 1679485163 1679485171 REJECT OK
2 858966410158 eni-03ad9499cfe7dd531 168.80.174.4 10.0.1.26 44354 9100 6 1 40 1679485163 1679485171 REJECT OK
2 858966410158 eni-03ad9499cfe7dd531 89.248.165.195 10.0.1.26 45703 6228 6 1 40 1679485187 1679485188 REJECT OK
2 858966410158 eni-0e7aabe80d29089d5 10.0.3.129 72.30.35.89 56370 123 17 1 76 1679485173 1679485182 ACCEPT OK
2 858966410158 eni-0e7aabe80d29089d5 10.0.3.129 15.235.141.175 45544 123 17 1 76 1679485173 1679485182 ACCEPT OK
2 858966410158 eni-0e7aabe80d29089d5 10.0.3.129 69.164.213.136 56453 123 17 1 76 1679485173 1679485182 ACCEPT OK
2 858966410158 eni-0f7ae9ee760bd16d2 182.61.40.82 10.0.1.176 38346 6379 6 1 60 1679485141 1679485166 REJECT OK
2 858966410158 eni-0f7ae9ee760bd16d2 10.0.3.129 10.0.1.176 56453 123 17 1 76 1679485141 1679485166 REJECT OK
2 858966410158 eni-0f7ae9ee760bd16d2 195.154.231.55 10.0.1.176 5097 5070 17 1 442 1679485141 1679485166 REJECT OK
2 858966410158 eni-0f7ae9ee760bd16d2 10.0.3.129 10.0.1.176 56370 123 17 1 76 1679485141 1679485166 REJECT OK
2 858966410158 eni-0f7ae9ee760bd16d2 10.0.3.129 10.0.1.176 45544 123 17 1 76 1679485141 1679485166 REJECT OK
2 858966410158 eni-0f7ae9ee760bd16d2 193.163.125.80 10.0.1.176 34022 6068 6 1 44 1679485141 1679485166 REJECT OK
2 858966410158 eni-0f7ae9ee760bd16d2 91.240.118.77 10.0.1.176 48026 5507 6 1 40 1679485141 1679485166 REJECT OK
2 858966410158 eni-0f7ae9ee760bd16d2 198.98.55.202 10.0.1.176 43585 1080 6 1 44 1679485141 1679485166 REJECT OK
