version account-id interface-id srcaddr dstaddr srcport dstport protocol packets bytes start end action log-status
2 858966410158 eni-0f7ae9ee760bd16d2 71.104.27.123 10.0.1.176 55908 1433 6 1 40 1679485184 1679485200 REJECT OK
2 858966410158 eni-0f7ae9ee760bd16d2 212.227.108.249 10.0.1.176 36178 8110 6 5 300 1679485184 1679485200 REJECT OK
2 858966410158 eni-0f7ae9ee760bd16d2 118.123.1.35 10.0.1.176 29880 8033 6 1 44 1679485184 1679485200 REJECT OK
2 858966410158 eni-0f7ae9ee760bd16d2 194.55.224.104 10.0.1.176 46822 5555 6 1 40 1679485184 1679485200 REJECT OK
2 858966410158 eni-0f7ae9ee760bd16d2 162.19.170.56 10.0.1.176 25565 57868 6 1 40 1679485184 1679485200 REJECT OK
2 858966410158 eni-0f7ae9ee760bd16d2 159.203.165.156 10.0.1.176 44618 2538 6 1 40 1679485203 1679485223 REJECT OK
2 858966410158 eni-0f7ae9ee760bd16d2 89.248.163.76 10.0.1.176 43307 13374 6 1 40 1679485203 1679485223 REJECT OK
2 858966410158 eni-0e7aabe80d29089d5 - - - - - - - 1679485217 1679485248 - NODATA
2 858966410158 eni-03ad9499cfe7dd531 162.142.125.227 10.0.1.26 59155 3523 6 1 44 1679485238 1679485265 REJECT OK
2 858966410158 eni-03ad9499cfe7dd531 5.120.173.149 10.0.1.26 4026 443 6 3 180 1679485238 1679485265 REJECT OK
2 858966410158 eni-03ad9499cfe7dd531 5.120.173.149 10.0.1.26 4025 443 6 1 60 1679485238 1679485265 REJECT OK
2 858966410158 eni-03ad9499cfe7dd531 184.105.247.252 10.0.1.26 40174 177 17 1 35 1679485238 1679485265 REJECT OK
2 858966410158 eni-0f7ae9ee760bd16d2 162.142.125.179 10.0.1.176 5889 8818 6 1 44 1679485250 1679485250 REJECT OK
