version account-id interface-id srcaddr dstaddr srcport dstport protocol packets bytes start end action log-status
2 858966410158 eni-0f7ae9ee760bd16d2 89.248.163.76 10.0.1.176 43307 9147 6 1 40 1679485571 1679485582 REJECT OK
2 858966410158 eni-0f7ae9ee760bd16d2 94.102.49.193 10.0.1.176 28821 1521 6 1 44 1679485571 1679485582 REJECT OK
2 858966410158 eni-0f7ae9ee760bd16d2 162.142.125.179 10.0.1.176 43999 12241 6 1 44 1679485571 1679485582 REJECT OK
2 858966410158 eni-03ad9499cfe7dd531 10.0.1.26 52.94.177.137 53444 443 6 48 23738 1679485566 1679485596 ACCEPT OK
2 858966410158 eni-03ad9499cfe7dd531 10.0.1.26 52.94.177.130 46546 443 6 31 16223 1679485566 1679485596 ACCEPT OK
2 858966410158 eni-03ad9499cfe7dd531 162.142.125.245 10.0.1.26 14721 52952 6 1 44 1679485566 1679485596 REJECT OK
2 858966410158 eni-03ad9499cfe7dd531 218.29.134.154 10.0.1.26 5679 37215 6 1 40 1679485566 1679485596 REJECT OK
2 858966410158 eni-03ad9499cfe7dd531 5.120.173.149 10.0.1.26 4757 443 6 4 240 1679485566 1679485596 REJECT OK
2 858966410158 eni-03ad9499cfe7dd531 5.120.173.149 10.0.1.26 4760 443 6 4 240 1679485566 1679485596 REJECT OK
2 858966410158 eni-03ad9499cfe7dd531 52.94.177.137 10.0.1.26 443 53444 6 43 13211 1679485566 1679485596 ACCEPT OK
2 858966410158 eni-03ad9499cfe7dd531 5.120.173.149 10.0.1.26 4756 443 6 4 240 1679485566 1679485596 REJECT OK
2 858966410158 eni-03ad9499cfe7dd531 5.120.173.149 10.0.1.26 4759 443 6 2 120 1679485566 1679485596 REJECT OK
2 858966410158 eni-03ad9499cfe7dd531 52.94.177.130 10.0.1.26 443 46546 6 24 5156 1679485566 1679485596 ACCEPT OK
2 858966410158 eni-03ad9499cfe7dd531 5.120.173.149 10.0.1.26 4758 443 6 1 60 1679485566 1679485596 REJECT OK
2 858966410158 eni-03ad9499cfe7dd531 5.120.173.149 10.0.1.26 4761 443 6 1 60 1679485566 1679485596 REJECT OK
2 858966410158 eni-0e7aabe80d29089d5 - - - - - - - 1679485577 1679485608 - NODATA
2 858966410158 eni-03ad9499cfe7dd531 51.159.95.106 10.0.1.26 5100 5060 17 1 430 1679485598 1679485626 REJECT OK
2 858966410158 eni-03ad9499cfe7dd531 193.163.125.176 10.0.1.26 46198 49383 6 1 44 1679485598 1679485626 REJECT OK
2 858966410158 eni-03ad9499cfe7dd531 167.94.138.105 10.0.1.26 25558 51200 6 1 44 1679485598 1679485626 REJECT OK
2 858966410158 eni-03ad9499cfe7dd531 94.102.61.45 10.0.1.26 42744 50759 6 1 44 1679485598 1679485626 REJECT OK
2 858966410158 eni-03ad9499cfe7dd531 162.142.125.178 10.0.1.26 57840 6060 6 1 44 1679485598 1679485626 REJECT OK
2 858966410158 eni-03ad9499cfe7dd531 194.26.29.86 10.0.1.26 48220 9041 6 1 40 1679485598 1679485626 REJECT OK
