version account-id interface-id srcaddr dstaddr srcport dstport protocol packets bytes start end action log-status
2 858966410158 eni-03ad9499cfe7dd531 162.142.125.188 10.0.1.26 27469 10000 6 1 44 1679485814 1679485829 REJECT OK
2 858966410158 eni-03ad9499cfe7dd531 52.94.177.133 10.0.1.26 443 54536 6 16 6776 1679485814 1679485829 ACCEPT OK
2 858966410158 eni-03ad9499cfe7dd531 89.248.163.15 10.0.1.26 43282 11063 6 1 40 1679485814 1679485829 REJECT OK
2 858966410158 eni-03ad9499cfe7dd531 10.0.1.26 52.94.177.133 54536 443 6 12 3074 1679485814 1679485829 ACCEPT OK
2 858966410158 eni-0f7ae9ee760bd16d2 162.142.125.178 10.0.1.176 55756 12170 6 1 44 1679485804 1679485827 REJECT OK
2 858966410158 eni-0f7ae9ee760bd16d2 192.241.203.18 10.0.1.176 54402 5984 6 1 40 1679485804 1679485827 REJECT OK
2 858966410158 eni-0f7ae9ee760bd16d2 111.67.205.226 10.0.1.176 41880 3326 6 1 40 1679485804 1679485827 REJECT OK
2 858966410158 eni-0f7ae9ee760bd16d2 193.35.18.216 10.0.1.176 41791 8009 6 1 40 1679485804 1679485827 REJECT OK
2 858966410158 eni-0f7ae9ee760bd16d2 162.142.125.143 10.0.1.176 4507 2083 6 1 44 1679485804 1679485827 REJECT OK
2 858966410158 eni-0f7ae9ee760bd16d2 162.142.125.185 10.0.1.176 45273 16011 6 1 44 1679485804 1679485827 REJECT OK
2 858966410158 eni-0f7ae9ee760bd16d2 79.11.191.187 10.0.1.176 23076 23 6 1 44 1679485804 1679485827 REJECT OK
2 858966410158 eni-0e7aabe80d29089d5 - - - - - - - 1679485817 1679485848 - NODATA
2 858966410158 eni-03ad9499cfe7dd531 10.0.1.26 52.94.177.136 60764 443 6 15 7039 1679485840 1679485861 ACCEPT OK
2 858966410158 eni-03ad9499cfe7dd531 10.0.1.26 52.119.171.48 52178 443 6 15 3132 1679485840 1679485861 ACCEPT OK
2 858966410158 eni-03ad9499cfe7dd531 52.94.177.133 10.0.1.26 443 57006 6 45 13291 1679485840 1679485861 ACCEPT OK
2 858966410158 eni-03ad9499cfe7dd531 111.63.21.98 10.0.1.26 51946 445 6 1 40 1679485840 1679485861 REJECT OK
2 858966410158 eni-03ad9499cfe7dd531 52.94.177.136 10.0.1.26 443 53448 6 48 13442 1679485840 1679485861 ACCEPT OK
2 858966410158 eni-03ad9499cfe7dd531 10.0.1.26 52.94.177.136 53448 443 6 51 23889 1679485840 1679485861 ACCEPT OK
2 858966410158 eni-03ad9499cfe7dd531 52.119.171.48 10.0.1.26 443 52178 6 19 6695 1679485840 1679485861 ACCEPT OK
2 858966410158 eni-03ad9499cfe7dd531 10.0.1.26 52.94.177.133 57006 443 6 48 23738 1679485840 1679485861 ACCEPT OK
2 858966410158 eni-03ad9499cfe7dd531 52.94.177.136 10.0.1.26 443 60764 6 11 2256 1679485840 1679485861 ACCEPT OK
2 858966410158 eni-0f7ae9ee760bd16d2 167.248.133.142 10.0.1.176 3726 3306 6 1 44 1679485836 1679485857 REJECT OK
2 858966410158 eni-0f7ae9ee760bd16d2 162.142.125.186 10.0.1.176 39848 18084 6 1 44 1679485836 1679485857 REJECT OK
2 858966410158 eni-0f7ae9ee760bd16d2 43.133.102.2 10.0.1.176 58098 22 6 1 44 1679485836 1679485857 REJECT OK
2 858966410158 eni-0f7ae9ee760bd16d2 162.142.125.187 10.0.1.176 21772 14084 6 1 44 1679485836 1679485857 REJECT OK
