version account-id interface-id srcaddr dstaddr srcport dstport protocol packets bytes start end action log-status
2 858966410158 eni-03ad9499cfe7dd531 52.94.177.133 10.0.1.26 443 54536 6 29 6546 1679485871 1679485890 ACCEPT OK
2 858966410158 eni-03ad9499cfe7dd531 192.241.213.67 10.0.1.26 43418 5601 6 1 40 1679485871 1679485890 REJECT OK
2 858966410158 eni-03ad9499cfe7dd531 115.200.46.238 10.0.1.26 36210 23 6 1 40 1679485871 1679485890 REJECT OK
2 858966410158 eni-03ad9499cfe7dd531 10.0.1.26 52.94.177.133 54536 443 6 39 20815 1679485871 1679485890 ACCEPT OK
2 858966410158 eni-03ad9499cfe7dd531 10.0.1.26 52.94.177.133 49358 443 6 37 16890 1679485871 1679485890 ACCEPT OK
2 858966410158 eni-03ad9499cfe7dd531 52.94.177.133 10.0.1.26 443 49358 6 34 11066 1679485871 1679485890 ACCEPT OK
2 858966410158 eni-03ad9499cfe7dd531 80.66.77.236 10.0.1.26 56704 34567 6 1 40 1679485871 1679485890 REJECT OK
2 858966410158 eni-0e7aabe80d29089d5 - - - - - - - 1679485877 1679485908 - NODATA
2 858966410158 eni-03ad9499cfe7dd531 183.145.42.2 10.0.1.26 41643 445 6 1 40 1679485902 1679485921 REJECT OK
2 858966410158 eni-03ad9499cfe7dd531 162.142.125.185 10.0.1.26 35682 3104 6 1 44 1679485902 1679485921 REJECT OK
2 858966410158 eni-03ad9499cfe7dd531 10.0.1.26 52.94.177.131 54090 443 6 42 19226 1679485902 1679485921 ACCEPT OK
2 858966410158 eni-03ad9499cfe7dd531 10.0.1.26 52.94.177.133 57006 443 6 3 151 1679485902 1679485921 ACCEPT OK
2 858966410158 eni-03ad9499cfe7dd531 52.94.177.131 10.0.1.26 443 54090 6 37 11781 1679485902 1679485921 ACCEPT OK
2 858966410158 eni-03ad9499cfe7dd531 10.0.1.26 52.94.177.131 41468 443 6 51 23889 1679485902 1679485921 ACCEPT OK
2 858966410158 eni-03ad9499cfe7dd531 52.94.177.131 10.0.1.26 443 41468 6 45 13322 1679485902 1679485921 ACCEPT OK
2 858966410158 eni-03ad9499cfe7dd531 52.94.177.133 10.0.1.26 443 57006 6 2 111 1679485902 1679485921 ACCEPT OK
2 858966410158 eni-0f7ae9ee760bd16d2 89.248.163.16 10.0.1.176 43290 14215 6 1 40 1679485880 1679485882 REJECT OK
2 858966410158 eni-0f7ae9ee760bd16d2 89.248.163.76 10.0.1.176 43307 8992 6 1 40 1679485880 1679485882 REJECT OK
2 858966410158 eni-0f7ae9ee760bd16d2 89.248.165.197 10.0.1.176 44357 18395 6 1 40 1679485880 1679485882 REJECT OK
2 858966410158 eni-0f7ae9ee760bd16d2 193.57.40.49 10.0.1.176 47473 7851 6 1 40 1679485891 1679485914 REJECT OK
2 858966410158 eni-0f7ae9ee760bd16d2 162.142.125.191 10.0.1.176 14849 44444 6 1 44 1679485891 1679485914 REJECT OK
2 858966410158 eni-0f7ae9ee760bd16d2 89.248.163.76 10.0.1.176 43307 8448 6 1 40 1679485920 1679485950 REJECT OK
2 858966410158 eni-0f7ae9ee760bd16d2 162.142.125.178 10.0.1.176 36581 7444 6 1 44 1679485920 1679485950 REJECT OK
2 858966410158 eni-0f7ae9ee760bd16d2 162.142.125.180 10.0.1.176 27926 28818 6 1 44 1679485920 1679485950 REJECT OK
2 858966410158 eni-0f7ae9ee760bd16d2 192.241.224.23 10.0.1.176 45960 5601 6 1 40 1679485920 1679485950 REJECT OK
2 858966410158 eni-0f7ae9ee760bd16d2 45.128.232.126 10.0.1.176 46429 9034 17 1 129 1679485920 1679485950 REJECT OK
2 858966410158 eni-0f7ae9ee760bd16d2 185.94.111.1 10.0.1.176 57077 4786 6 1 40 1679485920 1679485950 REJECT OK
2 858966410158 eni-0f7ae9ee760bd16d2 89.248.163.76 10.0.1.176 43307 12740 6 1 40 1679485920 1679485950 REJECT OK
2 858966410158 eni-0f7ae9ee760bd16d2 165.232.159.145 10.0.1.176 38150 6379 6 1 60 1679485956 1679485978 REJECT OK
2 858966410158 eni-0f7ae9ee760bd16d2 198.98.55.202 10.0.1.176 45406 3128 6 1 44 1679485956 1679485978 REJECT OK
2 858966410158 eni-0f7ae9ee760bd16d2 85.217.144.52 10.0.1.176 51115 5555 6 1 40 1679485956 1679485978 REJECT OK
2 858966410158 eni-0f7ae9ee760bd16d2 89.248.163.16 10.0.1.176 43290 8861 6 1 40 1679485956 1679485978 REJECT OK
2 858966410158 eni-0f7ae9ee760bd16d2 162.142.125.183 10.0.1.176 62234 4445 6 1 44 1679485956 1679485978 REJECT OK
2 858966410158 eni-0f7ae9ee760bd16d2 183.136.170.173 10.0.1.176 53580 22 6 2 120 1679485956 1679485978 REJECT OK
2 858966410158 eni-0e7aabe80d29089d5 - - - - - - - 1679485937 1679485968 - NODATA
2 858966410158 eni-03ad9499cfe7dd531 10.0.1.26 52.94.177.130 44544 443 6 20 7666 1679485931 1679485953 ACCEPT OK
2 858966410158 eni-03ad9499cfe7dd531 10.0.1.26 52.94.177.133 49358 443 6 15 7039 1679485931 1679485953 ACCEPT OK
2 858966410158 eni-03ad9499cfe7dd531 89.248.163.74 10.0.1.26 43314 11672 6 1 40 1679485931 1679485953 REJECT OK
2 858966410158 eni-03ad9499cfe7dd531 52.94.177.133 10.0.1.26 443 49358 6 13 2336 1679485931 1679485953 ACCEPT OK
2 858966410158 eni-03ad9499cfe7dd531 107.170.234.21 10.0.1.26 34448 5984 6 1 40 1679485931 1679485953 REJECT OK
2 858966410158 eni-03ad9499cfe7dd531 52.94.177.130 10.0.1.26 443 44544 6 22 8206 1679485931 1679485953 ACCEPT OK
2 858966410158 eni-03ad9499cfe7dd531 10.0.1.26 45.79.111.167 56667 123 17 1 76 1679485961 1679485984 ACCEPT OK
2 858966410158 eni-03ad9499cfe7dd531 52.94.185.42 10.0.1.26 443 50882 6 31 10351 1679485961 1679485984 ACCEPT OK
2 858966410158 eni-03ad9499cfe7dd531 10.0.1.26 73.193.62.250 47015 123 17 1 76 1679485961 1679485984 ACCEPT OK
2 858966410158 eni-03ad9499cfe7dd531 10.0.1.26 52.94.185.42 50882 443 6 32 14554 1679485961 1679485984 ACCEPT OK
2 858966410158 eni-03ad9499cfe7dd531 120.57.222.17 10.0.1.26 50434 23 6 1 40 1679485961 1679485984 REJECT OK
2 858966410158 eni-03ad9499cfe7dd531 45.79.111.167 10.0.1.26 123 56667 17 1 76 1679485961 1679485984 ACCEPT OK
2 858966410158 eni-03ad9499cfe7dd531 167.94.138.144 10.0.1.26 55638 12451 6 1 44 1679485961 1679485984 REJECT OK
2 858966410158 eni-03ad9499cfe7dd531 10.0.1.26 52.94.177.131 54090 443 6 11 4743 1679485961 1679485984 ACCEPT OK
2 858966410158 eni-03ad9499cfe7dd531 73.193.62.250 10.0.1.26 123 47015 17 1 76 1679485961 1679485984 ACCEPT OK
2 858966410158 eni-03ad9499cfe7dd531 52.94.177.131 10.0.1.26 443 54090 6 8 1541 1679485961 1679485984 ACCEPT OK
2 858966410158 eni-03ad9499cfe7dd531 52.94.177.130 10.0.1.26 443 44544 6 23 5116 1679485991 1679486005 ACCEPT OK
2 858966410158 eni-03ad9499cfe7dd531 62.204.41.80 10.0.1.26 48061 9803 6 1 40 1679485991 1679486005 REJECT OK
2 858966410158 eni-03ad9499cfe7dd531 10.0.1.26 52.94.185.30 48596 443 6 48 23738 1679485991 1679486005 ACCEPT OK
2 858966410158 eni-03ad9499cfe7dd531 10.0.1.26 52.94.177.130 44544 443 6 31 16223 1679485991 1679486005 ACCEPT OK
2 858966410158 eni-03ad9499cfe7dd531 23.147.230.11 10.0.1.26 33089 8088 6 1 40 1679485991 1679486005 REJECT OK
2 858966410158 eni-03ad9499cfe7dd531 52.94.185.30 10.0.1.26 443 48596 6 44 13251 1679485991 1679486005 ACCEPT OK
2 858966410158 eni-0e7aabe80d29089d5 - - - - - - - 1679485998 1679486028 - NODATA
2 858966410158 eni-03ad9499cfe7dd531 65.49.20.106 10.0.1.26 48468 449 6 1 40 1679486017 1679486046 REJECT OK
2 858966410158 eni-03ad9499cfe7dd531 64.227.162.4 10.0.1.26 29826 23 6 1 40 1679486017 1679486046 REJECT OK
2 858966410158 eni-03ad9499cfe7dd531 10.0.1.26 52.94.176.106 34390 443 6 51 23889 1679486017 1679486046 ACCEPT OK
2 858966410158 eni-03ad9499cfe7dd531 162.142.125.180 10.0.1.26 30351 446 6 1 44 1679486017 1679486046 REJECT OK
2 858966410158 eni-03ad9499cfe7dd531 10.0.1.26 52.94.185.42 50882 443 6 19 9335 1679486017 1679486046 ACCEPT OK
2 858966410158 eni-03ad9499cfe7dd531 10.0.1.26 52.119.167.123 50792 443 6 15 3327 1679486017 1679486046 ACCEPT OK
2 858966410158 eni-03ad9499cfe7dd531 10.0.1.26 104.167.241.253 0 0 1 1 104 1679486017 1679486046 ACCEPT OK
2 858966410158 eni-03ad9499cfe7dd531 10.0.1.26 52.94.176.106 43712 443 6 28 12258 1679486017 1679486046 ACCEPT OK
2 858966410158 eni-03ad9499cfe7dd531 52.94.185.42 10.0.1.26 443 50882 6 14 2971 1679486017 1679486046 ACCEPT OK
2 858966410158 eni-03ad9499cfe7dd531 52.94.176.106 10.0.1.26 443 34390 6 48 13442 1679486017 1679486046 ACCEPT OK
2 858966410158 eni-03ad9499cfe7dd531 52.94.176.106 10.0.1.26 443 43712 6 29 9676 1679486017 1679486046 ACCEPT OK
2 858966410158 eni-03ad9499cfe7dd531 52.119.167.123 10.0.1.26 443 50792 6 19 6678 1679486017 1679486046 ACCEPT OK
2 858966410158 eni-0f7ae9ee760bd16d2 89.248.163.16 10.0.1.176 43290 11768 6 1 40 1679486018 1679486041 REJECT OK
2 858966410158 eni-0f7ae9ee760bd16d2 162.142.125.182 10.0.1.176 30135 18068 6 1 44 1679486018 1679486041 REJECT OK
2 858966410158 eni-0f7ae9ee760bd16d2 85.217.145.45 10.0.1.176 37833 81 6 1 40 1679486018 1679486041 REJECT OK
2 858966410158 eni-0f7ae9ee760bd16d2 140.99.219.26 10.0.1.176 48451 6666 6 1 40 1679486018 1679486041 REJECT OK
2 858966410158 eni-0f7ae9ee760bd16d2 162.142.125.179 10.0.1.176 33830 21318 6 1 44 1679485997 1679486002 REJECT OK
2 858966410158 eni-0f7ae9ee760bd16d2 10.0.1.176 137.184.81.69 49803 123 17 1 76 1679485997 1679486002 ACCEPT OK
2 858966410158 eni-0f7ae9ee760bd16d2 64.62.194.188 10.0.1.176 123 37958 17 1 76 1679485997 1679486002 ACCEPT OK
2 858966410158 eni-0f7ae9ee760bd16d2 31.220.1.83 10.0.1.176 51631 23 6 1 40 1679485997 1679486002 REJECT OK
2 858966410158 eni-0f7ae9ee760bd16d2 10.0.1.176 64.62.194.188 37958 123 17 1 76 1679485997 1679486002 ACCEPT OK
2 858966410158 eni-0f7ae9ee760bd16d2 137.184.81.69 10.0.1.176 123 49803 17 1 76 1679485997 1679486002 ACCEPT OK
2 858966410158 eni-0f7ae9ee760bd16d2 71.6.233.110 10.0.1.176 8984 8984 6 1 40 1679485997 1679486002 REJECT OK
2 858966410158 eni-0f7ae9ee760bd16d2 162.62.191.220 10.0.1.176 24949 8336 6 1 52 1679486050 1679486071 REJECT OK
2 858966410158 eni-0f7ae9ee760bd16d2 79.124.58.146 10.0.1.176 52774 6530 6 1 40 1679486050 1679486071 REJECT OK
2 858966410158 eni-0f7ae9ee760bd16d2 162.142.125.248 10.0.1.176 56283 2340 6 1 44 1679486050 1679486071 REJECT OK
2 858966410158 eni-0f7ae9ee760bd16d2 180.76.232.1 10.0.1.176 51634 6379 6 1 60 1679486050 1679486071 REJECT OK
2 858966410158 eni-0f7ae9ee760bd16d2 89.248.163.76 10.0.1.176 43307 9364 6 1 40 1679486050 1679486071 REJECT OK
2 858966410158 eni-03ad9499cfe7dd531 104.167.241.253 10.0.1.26 123 46238 17 1 76 1679486051 1679486076 ACCEPT OK
2 858966410158 eni-03ad9499cfe7dd531 10.0.1.26 52.94.185.30 48596 443 6 3 151 1679486051 1679486076 ACCEPT OK
2 858966410158 eni-03ad9499cfe7dd531 43.155.118.219 10.0.1.26 42852 80 6 4 216 1679486051 1679486076 ACCEPT OK
2 858966410158 eni-03ad9499cfe7dd531 10.0.1.26 52.94.177.130 48110 443 6 51 23889 1679486051 1679486076 ACCEPT OK
2 858966410158 eni-03ad9499cfe7dd531 45.56.108.128 10.0.1.26 62183 3000 6 1 40 1679486051 1679486076 REJECT OK
2 858966410158 eni-03ad9499cfe7dd531 10.0.1.26 104.167.241.253 46238 123 17 1 76 1679486051 1679486076 ACCEPT OK
2 858966410158 eni-03ad9499cfe7dd531 10.0.1.26 43.155.118.219 80 42852 6 2 112 1679486051 1679486076 ACCEPT OK
2 858966410158 eni-03ad9499cfe7dd531 52.94.177.130 10.0.1.26 443 48110 6 48 13442 1679486051 1679486076 ACCEPT OK
2 858966410158 eni-03ad9499cfe7dd531 52.94.185.30 10.0.1.26 443 48596 6 3 151 1679486051 1679486076 ACCEPT OK
2 858966410158 eni-03ad9499cfe7dd531 71.6.233.101 10.0.1.26 8984 8984 6 1 40 1679486051 1679486076 REJECT OK
2 858966410158 eni-03ad9499cfe7dd531 62.204.41.80 10.0.1.26 48061 5151 6 1 40 1679486051 1679486076 REJECT OK
2 858966410158 eni-0e7aabe80d29089d5 - - - - - - - 1679486057 1679486088 - NODATA
2 858966410158 eni-03ad9499cfe7dd531 52.94.176.106 10.0.1.26 443 43712 6 17 3686 1679486077 1679486099 ACCEPT OK
2 858966410158 eni-03ad9499cfe7dd531 162.142.125.180 10.0.1.26 64200 12562 6 1 44 1679486077 1679486099 REJECT OK
2 858966410158 eni-03ad9499cfe7dd531 52.94.185.28 10.0.1.26 443 41448 6 38 11821 1679486077 1679486099 ACCEPT OK
2 858966410158 eni-03ad9499cfe7dd531 10.0.1.26 52.94.185.28 41448 443 6 40 19146 1679486077 1679486099 ACCEPT OK
2 858966410158 eni-03ad9499cfe7dd531 10.0.1.26 52.94.176.106 43712 443 6 23 11631 1679486077 1679486099 ACCEPT OK
