version account-id interface-id srcaddr dstaddr srcport dstport protocol packets bytes start end action log-status
2 858966410158 eni-03ad9499cfe7dd531 52.94.177.137 10.0.1.26 443 52970 6 45 13322 1679486436 1679486457 ACCEPT OK
2 858966410158 eni-03ad9499cfe7dd531 194.26.29.195 10.0.1.26 47809 2391 6 1 40 1679486436 1679486457 REJECT OK
2 858966410158 eni-03ad9499cfe7dd531 10.0.1.26 52.94.177.131 56906 443 6 39 20815 1679486436 1679486457 ACCEPT OK
2 858966410158 eni-03ad9499cfe7dd531 89.248.165.166 10.0.1.26 51628 3365 6 1 40 1679486436 1679486457 REJECT OK
2 858966410158 eni-03ad9499cfe7dd531 52.119.167.123 10.0.1.26 443 50864 6 18 6646 1679486436 1679486457 ACCEPT OK
2 858966410158 eni-03ad9499cfe7dd531 89.248.165.166 10.0.1.26 51628 3354 6 1 40 1679486436 1679486457 REJECT OK
2 858966410158 eni-03ad9499cfe7dd531 52.94.177.137 10.0.1.26 443 40782 6 43 13211 1679486436 1679486457 ACCEPT OK
2 858966410158 eni-03ad9499cfe7dd531 10.0.1.26 52.94.177.137 40782 443 6 48 23738 1679486436 1679486457 ACCEPT OK
2 858966410158 eni-03ad9499cfe7dd531 89.248.163.74 10.0.1.26 43314 11406 6 1 40 1679486436 1679486457 REJECT OK
2 858966410158 eni-03ad9499cfe7dd531 52.94.177.131 10.0.1.26 443 56906 6 29 6546 1679486436 1679486457 ACCEPT OK
2 858966410158 eni-03ad9499cfe7dd531 10.0.1.26 52.94.177.137 52970 443 6 51 23889 1679486436 1679486457 ACCEPT OK
2 858966410158 eni-03ad9499cfe7dd531 10.0.1.26 52.119.167.123 50864 443 6 17 3212 1679486436 1679486457 ACCEPT OK
2 858966410158 eni-0f7ae9ee760bd16d2 44.190.40.123 10.0.1.176 123 52045 17 1 76 1679486471 1679486490 ACCEPT OK
2 858966410158 eni-0f7ae9ee760bd16d2 79.124.56.118 10.0.1.176 58054 56107 6 1 40 1679486471 1679486490 REJECT OK
2 858966410158 eni-0f7ae9ee760bd16d2 198.199.106.234 10.0.1.176 48465 7473 6 1 40 1679486471 1679486490 REJECT OK
2 858966410158 eni-0f7ae9ee760bd16d2 10.0.1.176 44.190.40.123 52045 123 17 1 76 1679486471 1679486490 ACCEPT OK
2 858966410158 eni-03ad9499cfe7dd531 52.94.177.128 10.0.1.26 443 50260 6 47 13402 1679486483 1679486496 ACCEPT OK
2 858966410158 eni-03ad9499cfe7dd531 162.142.125.189 10.0.1.26 8573 9065 6 1 44 1679486483 1679486496 REJECT OK
2 858966410158 eni-03ad9499cfe7dd531 89.248.163.74 10.0.1.26 43314 6518 6 1 40 1679486483 1679486496 REJECT OK
2 858966410158 eni-03ad9499cfe7dd531 10.0.1.26 52.94.177.128 50260 443 6 51 23889 1679486483 1679486496 ACCEPT OK
2 858966410158 eni-03ad9499cfe7dd531 185.167.97.38 10.0.1.26 32956 8094 6 1 40 1679486483 1679486496 REJECT OK
2 858966410158 eni-03ad9499cfe7dd531 119.23.216.140 10.0.1.26 57304 61003 6 1 40 1679486483 1679486496 REJECT OK
2 858966410158 eni-03ad9499cfe7dd531 5.120.173.149 10.0.1.26 4766 443 6 3 180 1679486483 1679486496 REJECT OK
2 858966410158 eni-03ad9499cfe7dd531 94.102.61.47 10.0.1.26 55680 4150 6 1 44 1679486483 1679486496 REJECT OK
2 858966410158 eni-03ad9499cfe7dd531 45.63.54.13 10.0.1.26 123 40638 17 1 76 1679486497 1679486527 ACCEPT OK
2 858966410158 eni-03ad9499cfe7dd531 10.0.1.26 52.94.177.137 40782 443 6 3 151 1679486497 1679486527 ACCEPT OK
2 858966410158 eni-03ad9499cfe7dd531 162.243.129.16 10.0.1.26 57463 21 6 1 40 1679486497 1679486527 REJECT OK
2 858966410158 eni-03ad9499cfe7dd531 52.94.177.128 10.0.1.26 443 47042 6 45 13322 1679486497 1679486527 ACCEPT OK
2 858966410158 eni-03ad9499cfe7dd531 5.120.173.149 10.0.1.26 4767 443 6 2 120 1679486497 1679486527 REJECT OK
2 858966410158 eni-03ad9499cfe7dd531 10.0.1.26 45.63.54.13 40638 123 17 1 76 1679486497 1679486527 ACCEPT OK
2 858966410158 eni-03ad9499cfe7dd531 5.120.173.149 10.0.1.26 4769 443 6 1 60 1679486497 1679486527 REJECT OK
2 858966410158 eni-03ad9499cfe7dd531 45.92.142.226 10.0.1.26 43046 5038 6 1 40 1679486497 1679486527 REJECT OK
2 858966410158 eni-03ad9499cfe7dd531 154.89.5.92 10.0.1.26 58914 18080 6 1 44 1679486497 1679486527 REJECT OK
2 858966410158 eni-03ad9499cfe7dd531 52.94.177.128 10.0.1.26 443 33356 6 45 13322 1679486497 1679486527 ACCEPT OK
2 858966410158 eni-03ad9499cfe7dd531 10.0.1.26 52.94.177.128 47042 443 6 51 23889 1679486497 1679486527 ACCEPT OK
2 858966410158 eni-03ad9499cfe7dd531 52.94.177.137 10.0.1.26 443 40782 6 2 111 1679486497 1679486527 ACCEPT OK
2 858966410158 eni-03ad9499cfe7dd531 5.120.173.149 10.0.1.26 4768 443 6 1 60 1679486497 1679486527 REJECT OK
2 858966410158 eni-03ad9499cfe7dd531 10.0.1.26 52.94.177.128 33356 443 6 51 23889 1679486497 1679486527 ACCEPT OK
2 858966410158 eni-0e7aabe80d29089d5 - - - - - - - 1679486477 1679486508 - NODATA
2 858966410158 eni-0f7ae9ee760bd16d2 79.124.49.158 10.0.1.176 45154 7007 6 1 40 1679486492 1679486509 REJECT OK
2 858966410158 eni-0f7ae9ee760bd16d2 85.217.145.45 10.0.1.176 51834 81 6 1 40 1679486492 1679486509 REJECT OK
2 858966410158 eni-0f7ae9ee760bd16d2 222.105.96.30 10.0.1.176 13107 3389 6 1 40 1679486492 1679486509 REJECT OK
