version account-id interface-id srcaddr dstaddr srcport dstport protocol packets bytes start end action log-status
2 858966410158 eni-03ad9499cfe7dd531 89.248.163.74 10.0.1.26 43314 12043 6 1 40 1679486378 1679486405 REJECT OK
2 858966410158 eni-03ad9499cfe7dd531 167.94.138.149 10.0.1.26 2339 18002 6 1 44 1679486378 1679486405 REJECT OK
2 858966410158 eni-03ad9499cfe7dd531 52.94.177.132 10.0.1.26 443 49328 6 45 13322 1679486378 1679486405 ACCEPT OK
2 858966410158 eni-03ad9499cfe7dd531 89.248.163.15 10.0.1.26 43282 10401 6 1 40 1679486378 1679486405 REJECT OK
2 858966410158 eni-03ad9499cfe7dd531 10.0.1.26 52.94.177.131 42166 443 6 51 23889 1679486378 1679486405 ACCEPT OK
2 858966410158 eni-03ad9499cfe7dd531 10.0.1.26 52.94.177.132 49328 443 6 51 23889 1679486378 1679486405 ACCEPT OK
2 858966410158 eni-03ad9499cfe7dd531 10.0.1.26 52.94.177.131 56906 443 6 13 3114 1679486378 1679486405 ACCEPT OK
2 858966410158 eni-03ad9499cfe7dd531 52.94.177.131 10.0.1.26 443 56906 6 16 6776 1679486378 1679486405 ACCEPT OK
2 858966410158 eni-03ad9499cfe7dd531 52.94.177.131 10.0.1.26 443 42166 6 47 13402 1679486378 1679486405 ACCEPT OK
2 858966410158 eni-0f7ae9ee760bd16d2 18.236.135.177 10.0.1.176 46552 53 17 1 96 1679486402 1679486429 REJECT OK
2 858966410158 eni-0f7ae9ee760bd16d2 10.0.3.129 10.0.1.176 35766 123 17 1 76 1679486402 1679486429 REJECT OK
2 858966410158 eni-0f7ae9ee760bd16d2 62.204.41.80 10.0.1.176 48061 9803 6 1 40 1679486402 1679486429 REJECT OK
2 858966410158 eni-0f7ae9ee760bd16d2 154.89.5.92 10.0.1.176 58914 554 6 1 44 1679486402 1679486429 REJECT OK
2 858966410158 eni-0f7ae9ee760bd16d2 219.73.81.25 10.0.1.176 43148 23 6 1 40 1679486402 1679486429 REJECT OK
2 858966410158 eni-03ad9499cfe7dd531 10.0.1.26 185.254.196.238 80 46402 6 1 44 1679486407 1679486436 ACCEPT OK
2 858966410158 eni-03ad9499cfe7dd531 185.254.196.238 10.0.1.26 46402 80 6 2 80 1679486407 1679486436 ACCEPT OK
2 858966410158 eni-03ad9499cfe7dd531 212.70.149.46 10.0.1.26 51552 8443 6 1 40 1679486407 1679486436 REJECT OK
2 858966410158 eni-03ad9499cfe7dd531 162.142.125.181 10.0.1.26 13374 12305 6 1 44 1679486407 1679486436 REJECT OK
2 858966410158 eni-0f7ae9ee760bd16d2 118.123.105.86 10.0.1.176 37477 6606 6 1 40 1679486437 1679486458 REJECT OK
2 858966410158 eni-0f7ae9ee760bd16d2 89.248.163.76 10.0.1.176 43307 11501 6 1 40 1679486437 1679486458 REJECT OK
2 858966410158 eni-0f7ae9ee760bd16d2 167.248.133.133 10.0.1.176 56415 1433 6 1 44 1679486437 1679486458 REJECT OK
2 858966410158 eni-0f7ae9ee760bd16d2 89.248.165.184 10.0.1.176 41119 30331 6 1 40 1679486437 1679486458 REJECT OK
2 858966410158 eni-0e7aabe80d29089d5 10.0.3.129 209.51.161.238 35766 123 17 1 76 1679486431 1679486432 ACCEPT OK
