version account-id interface-id srcaddr dstaddr srcport dstport protocol packets bytes start end action log-status
2 858966410158 eni-0f7ae9ee760bd16d2 162.142.125.180 10.0.1.176 22707 5001 6 1 44 1679486734 1679486755 REJECT OK
2 858966410158 eni-0f7ae9ee760bd16d2 162.142.125.189 10.0.1.176 4357 8111 6 1 44 1679486734 1679486755 REJECT OK
2 858966410158 eni-0f7ae9ee760bd16d2 89.248.163.76 10.0.1.176 43307 9579 6 1 40 1679486734 1679486755 REJECT OK
2 858966410158 eni-03ad9499cfe7dd531 10.0.1.26 52.94.181.231 46472 443 6 51 23889 1679486768 1679486793 ACCEPT OK
2 858966410158 eni-03ad9499cfe7dd531 52.94.181.231 10.0.1.26 443 37568 6 47 13402 1679486768 1679486793 ACCEPT OK
2 858966410158 eni-03ad9499cfe7dd531 89.248.163.74 10.0.1.26 43314 5838 6 1 40 1679486768 1679486793 REJECT OK
2 858966410158 eni-03ad9499cfe7dd531 52.94.181.231 10.0.1.26 443 55950 6 14 2971 1679486768 1679486793 ACCEPT OK
2 858966410158 eni-03ad9499cfe7dd531 175.194.2.24 10.0.1.26 22517 27015 17 1 53 1679486768 1679486793 REJECT OK
2 858966410158 eni-03ad9499cfe7dd531 89.248.163.15 10.0.1.26 43282 7862 6 1 40 1679486768 1679486793 REJECT OK
2 858966410158 eni-03ad9499cfe7dd531 52.94.184.187 10.0.1.26 443 37408 6 48 13442 1679486768 1679486793 ACCEPT OK
2 858966410158 eni-03ad9499cfe7dd531 52.94.181.231 10.0.1.26 443 46472 6 45 13322 1679486768 1679486793 ACCEPT OK
2 858966410158 eni-03ad9499cfe7dd531 10.0.1.26 52.94.181.231 37568 443 6 51 23889 1679486768 1679486793 ACCEPT OK
2 858966410158 eni-03ad9499cfe7dd531 10.0.1.26 52.94.181.231 55950 443 6 19 9335 1679486768 1679486793 ACCEPT OK
2 858966410158 eni-03ad9499cfe7dd531 132.145.207.100 10.0.1.26 14184 5901 6 1 48 1679486768 1679486793 REJECT OK
2 858966410158 eni-03ad9499cfe7dd531 10.0.1.26 52.94.184.187 37408 443 6 52 23929 1679486768 1679486793 ACCEPT OK
2 858966410158 eni-0f7ae9ee760bd16d2 162.142.125.237 10.0.1.176 51448 8912 6 1 44 1679486760 1679486790 REJECT OK
2 858966410158 eni-0f7ae9ee760bd16d2 167.94.145.19 10.0.1.176 64101 61456 6 1 44 1679486760 1679486790 REJECT OK
2 858966410158 eni-0f7ae9ee760bd16d2 193.57.40.49 10.0.1.176 47473 4178 6 1 40 1679486760 1679486790 REJECT OK
2 858966410158 eni-0f7ae9ee760bd16d2 80.82.77.234 10.0.1.176 40207 3122 6 1 40 1679486760 1679486790 REJECT OK
2 858966410158 eni-0f7ae9ee760bd16d2 35.199.171.139 10.0.1.176 51039 9200 6 1 40 1679486760 1679486790 REJECT OK
2 858966410158 eni-0f7ae9ee760bd16d2 89.248.165.195 10.0.1.176 45703 6034 6 1 40 1679486760 1679486790 REJECT OK
2 858966410158 eni-0e7aabe80d29089d5 - - - - - - - 1679486777 1679486808 - NODATA
2 858966410158 eni-0f7ae9ee760bd16d2 185.254.196.238 10.0.1.176 46402 8080 6 1 40 1679486793 1679486808 REJECT OK
2 858966410158 eni-0f7ae9ee760bd16d2 89.248.163.76 10.0.1.176 43307 10096 6 1 40 1679486793 1679486808 REJECT OK
2 858966410158 eni-0f7ae9ee760bd16d2 194.26.29.37 10.0.1.176 47850 9933 6 1 40 1679486793 1679486808 REJECT OK
2 858966410158 eni-03ad9499cfe7dd531 18.236.135.177 10.0.1.26 46810 5353 17 1 96 1679486807 1679486825 REJECT OK
2 858966410158 eni-03ad9499cfe7dd531 10.0.1.26 52.94.184.187 49386 443 6 24 9962 1679486807 1679486825 ACCEPT OK
2 858966410158 eni-03ad9499cfe7dd531 18.236.135.177 10.0.1.26 56359 53 17 1 96 1679486807 1679486825 REJECT OK
2 858966410158 eni-03ad9499cfe7dd531 52.94.184.187 10.0.1.26 443 49386 6 25 8921 1679486807 1679486825 ACCEPT OK
2 858966410158 eni-03ad9499cfe7dd531 79.124.49.158 10.0.1.26 45154 7883 6 1 40 1679486807 1679486825 REJECT OK
2 858966410158 eni-03ad9499cfe7dd531 52.94.184.187 10.0.1.26 443 57902 6 45 13322 1679486829 1679486829 ACCEPT OK
2 858966410158 eni-03ad9499cfe7dd531 10.0.1.26 52.94.184.187 57902 443 6 51 23889 1679486829 1679486829 ACCEPT OK
2 858966410158 eni-0e7aabe80d29089d5 - - - - - - - 1679486837 1679486868 - NODATA
2 858966410158 eni-0f7ae9ee760bd16d2 79.124.56.118 10.0.1.176 58054 20599 6 1 40 1679486853 1679486879 REJECT OK
2 858966410158 eni-0f7ae9ee760bd16d2 89.248.163.76 10.0.1.176 43307 9470 6 1 40 1679486853 1679486879 REJECT OK
2 858966410158 eni-0f7ae9ee760bd16d2 121.151.75.159 10.0.1.176 43655 10001 6 1 40 1679486853 1679486879 REJECT OK
2 858966410158 eni-0f7ae9ee760bd16d2 202.95.12.43 10.0.1.176 58654 12253 6 1 44 1679486853 1679486879 REJECT OK
2 858966410158 eni-03ad9499cfe7dd531 52.94.181.229 10.0.1.26 443 60166 6 28 9636 1679486867 1679486877 ACCEPT OK
2 858966410158 eni-03ad9499cfe7dd531 89.248.165.197 10.0.1.26 44357 17830 6 1 40 1679486867 1679486877 REJECT OK
2 858966410158 eni-03ad9499cfe7dd531 10.0.1.26 52.94.184.187 49386 443 6 27 13927 1679486867 1679486877 ACCEPT OK
2 858966410158 eni-03ad9499cfe7dd531 128.9.29.128 10.0.1.26 0 0 1 1 32 1679486867 1679486877 REJECT OK
2 858966410158 eni-03ad9499cfe7dd531 10.0.1.26 52.94.181.229 60166 443 6 28 12258 1679486867 1679486877 ACCEPT OK
2 858966410158 eni-03ad9499cfe7dd531 52.94.184.187 10.0.1.26 443 49386 6 20 4401 1679486867 1679486877 ACCEPT OK
2 858966410158 eni-0f7ae9ee760bd16d2 192.241.211.13 10.0.1.176 41557 9200 6 1 40 1679486823 1679486844 REJECT OK
2 858966410158 eni-0f7ae9ee760bd16d2 106.58.222.2 10.0.1.176 44181 6379 6 1 60 1679486823 1679486844 REJECT OK
2 858966410158 eni-0f7ae9ee760bd16d2 162.142.125.183 10.0.1.176 41798 12585 6 1 44 1679486823 1679486844 REJECT OK
2 858966410158 eni-0f7ae9ee760bd16d2 162.243.132.7 10.0.1.176 38723 9200 6 1 40 1679486823 1679486844 REJECT OK
2 858966410158 eni-0f7ae9ee760bd16d2 65.20.137.123 10.0.1.176 16950 23 6 1 40 1679486823 1679486844 REJECT OK
2 858966410158 eni-0f7ae9ee760bd16d2 193.163.125.102 10.0.1.176 43780 587 6 1 44 1679486823 1679486844 REJECT OK
2 858966410158 eni-03ad9499cfe7dd531 89.248.165.14 10.0.1.26 56999 39044 6 1 40 1679486886 1679486890 REJECT OK
2 858966410158 eni-03ad9499cfe7dd531 52.94.181.229 10.0.1.26 443 38186 6 45 13322 1679486886 1679486890 ACCEPT OK
2 858966410158 eni-03ad9499cfe7dd531 10.0.1.26 52.94.181.229 38186 443 6 51 23889 1679486886 1679486890 ACCEPT OK
2 858966410158 eni-0e7aabe80d29089d5 - - - - - - - 1679486897 1679486928 - NODATA
2 858966410158 eni-03ad9499cfe7dd531 52.94.181.229 10.0.1.26 443 60166 6 19 3766 1679486925 1679486945 ACCEPT OK
2 858966410158 eni-03ad9499cfe7dd531 52.94.181.231 10.0.1.26 443 39524 6 46 13362 1679486925 1679486945 ACCEPT OK
2 858966410158 eni-03ad9499cfe7dd531 10.0.1.26 52.94.181.229 60166 443 6 23 11631 1679486925 1679486945 ACCEPT OK
2 858966410158 eni-03ad9499cfe7dd531 10.0.1.26 52.94.181.231 39524 443 6 51 23889 1679486925 1679486945 ACCEPT OK
2 858966410158 eni-03ad9499cfe7dd531 52.119.172.239 10.0.1.26 443 41318 6 19 6669 1679486925 1679486945 ACCEPT OK
