version account-id interface-id srcaddr dstaddr srcport dstport protocol packets bytes start end action log-status
2 858966410158 eni-0f7ae9ee760bd16d2 154.89.5.92 10.0.1.176 58914 135 6 1 44 1679486672 1679486700 REJECT OK
2 858966410158 eni-0f7ae9ee760bd16d2 85.217.144.231 10.0.1.176 40193 9001 6 1 40 1679486672 1679486700 REJECT OK
2 858966410158 eni-0f7ae9ee760bd16d2 10.0.3.129 10.0.1.176 49569 123 17 1 76 1679486672 1679486700 REJECT OK
2 858966410158 eni-0f7ae9ee760bd16d2 89.248.163.16 10.0.1.176 43290 11995 6 1 40 1679486672 1679486700 REJECT OK
2 858966410158 eni-0f7ae9ee760bd16d2 146.88.240.4 10.0.1.176 35692 21025 17 1 53 1679486672 1679486700 REJECT OK
2 858966410158 eni-0f7ae9ee760bd16d2 194.26.29.37 10.0.1.176 47850 9497 6 1 40 1679486672 1679486700 REJECT OK
2 858966410158 eni-0f7ae9ee760bd16d2 207.90.244.6 10.0.1.176 26200 9050 6 1 44 1679486672 1679486700 REJECT OK
2 858966410158 eni-0e7aabe80d29089d5 10.0.3.129 63.211.239.58 49569 123 17 1 76 1679486709 1679486710 ACCEPT OK
2 858966410158 eni-03ad9499cfe7dd531 162.142.125.187 10.0.1.26 38520 24510 6 1 44 1679486677 1679486701 REJECT OK
2 858966410158 eni-03ad9499cfe7dd531 52.94.185.42 10.0.1.26 443 60668 6 44 13251 1679486677 1679486701 ACCEPT OK
2 858966410158 eni-03ad9499cfe7dd531 52.119.171.48 10.0.1.26 443 52476 6 19 6678 1679486677 1679486701 ACCEPT OK
2 858966410158 eni-03ad9499cfe7dd531 10.0.1.26 52.94.185.42 60668 443 6 48 23738 1679486677 1679486701 ACCEPT OK
2 858966410158 eni-03ad9499cfe7dd531 10.0.1.26 52.94.185.42 48684 443 6 19 9335 1679486677 1679486701 ACCEPT OK
2 858966410158 eni-03ad9499cfe7dd531 10.0.1.26 52.94.177.132 59848 443 6 23 11631 1679486677 1679486701 ACCEPT OK
2 858966410158 eni-03ad9499cfe7dd531 52.94.177.132 10.0.1.26 443 59848 6 17 3686 1679486677 1679486701 ACCEPT OK
2 858966410158 eni-03ad9499cfe7dd531 10.0.1.26 52.119.171.48 52476 443 6 16 3367 1679486677 1679486701 ACCEPT OK
2 858966410158 eni-03ad9499cfe7dd531 52.94.185.42 10.0.1.26 443 48684 6 17 3091 1679486677 1679486701 ACCEPT OK
2 858966410158 eni-03ad9499cfe7dd531 10.0.1.26 52.94.181.231 55950 443 6 32 14554 1679486707 1679486734 ACCEPT OK
2 858966410158 eni-03ad9499cfe7dd531 85.217.145.45 10.0.1.26 40537 81 6 1 40 1679486707 1679486734 REJECT OK
2 858966410158 eni-03ad9499cfe7dd531 10.0.1.26 40.84.222.228 80 45808 6 3 132 1679486707 1679486734 ACCEPT OK
2 858966410158 eni-03ad9499cfe7dd531 45.143.200.106 10.0.1.26 47681 9732 6 1 40 1679486707 1679486734 REJECT OK
2 858966410158 eni-03ad9499cfe7dd531 10.0.1.26 52.94.185.42 41150 443 6 51 23889 1679486707 1679486734 ACCEPT OK
2 858966410158 eni-03ad9499cfe7dd531 89.248.163.74 10.0.1.26 43314 13994 6 1 40 1679486707 1679486734 REJECT OK
2 858966410158 eni-03ad9499cfe7dd531 52.94.181.231 10.0.1.26 443 55950 6 32 10391 1679486707 1679486734 ACCEPT OK
2 858966410158 eni-03ad9499cfe7dd531 52.94.185.42 10.0.1.26 443 41150 6 48 13442 1679486707 1679486734 ACCEPT OK
2 858966410158 eni-0f7ae9ee760bd16d2 162.142.125.190 10.0.1.176 22729 18017 6 1 44 1679486704 1679486719 REJECT OK
2 858966410158 eni-0f7ae9ee760bd16d2 193.163.125.89 10.0.1.176 36170 50806 6 1 44 1679486704 1679486719 REJECT OK
2 858966410158 eni-0f7ae9ee760bd16d2 91.240.118.224 10.0.1.176 47904 3804 6 1 40 1679486704 1679486719 REJECT OK
2 858966410158 eni-0f7ae9ee760bd16d2 139.59.93.31 10.0.1.176 16892 23 6 1 40 1679486704 1679486719 REJECT OK
2 858966410158 eni-0f7ae9ee760bd16d2 207.229.167.36 10.0.1.176 37788 22 6 1 40 1679486704 1679486719 REJECT OK
2 858966410158 eni-0e7aabe80d29089d5 - - - - - - - 1679486717 1679486748 - NODATA
2 858966410158 eni-03ad9499cfe7dd531 52.94.185.42 10.0.1.26 443 60668 6 2 111 1679486737 1679486738 ACCEPT OK
2 858966410158 eni-03ad9499cfe7dd531 10.0.1.26 52.94.185.42 60668 443 6 3 151 1679486737 1679486738 ACCEPT OK
