version account-id interface-id srcaddr dstaddr srcport dstport protocol packets bytes start end action log-status
2 858966410158 eni-0f7ae9ee760bd16d2 62.233.50.217 10.0.1.176 48102 5649 6 1 40 1679487034 1679487054 REJECT OK
2 858966410158 eni-0f7ae9ee760bd16d2 91.240.118.75 10.0.1.176 47988 3331 6 1 40 1679487034 1679487054 REJECT OK
2 858966410158 eni-0f7ae9ee760bd16d2 97.107.141.150 10.0.1.176 53317 22 6 1 44 1679487034 1679487054 REJECT OK
2 858966410158 eni-0f7ae9ee760bd16d2 89.248.163.16 10.0.1.176 43290 12346 6 1 40 1679487034 1679487054 REJECT OK
2 858966410158 eni-0f7ae9ee760bd16d2 198.199.94.6 10.0.1.176 32993 9200 6 1 40 1679487034 1679487054 REJECT OK
2 858966410158 eni-0f7ae9ee760bd16d2 73.53.178.41 10.0.1.176 53939 23 6 1 40 1679487034 1679487054 REJECT OK
2 858966410158 eni-0f7ae9ee760bd16d2 162.142.125.183 10.0.1.176 2753 3101 6 1 44 1679487034 1679487054 REJECT OK
2 858966410158 eni-0f7ae9ee760bd16d2 89.248.163.76 10.0.1.176 43307 9060 6 1 40 1679487071 1679487072 REJECT OK
2 858966410158 eni-03ad9499cfe7dd531 10.0.1.26 52.94.210.188 47214 443 6 19 9335 1679487077 1679487094 ACCEPT OK
2 858966410158 eni-03ad9499cfe7dd531 52.94.177.131 10.0.1.26 443 39994 6 38 11821 1679487077 1679487094 ACCEPT OK
2 858966410158 eni-03ad9499cfe7dd531 107.170.251.5 10.0.1.26 38293 9200 6 1 40 1679487077 1679487094 REJECT OK
2 858966410158 eni-03ad9499cfe7dd531 183.136.225.32 10.0.1.26 42201 80 6 1 44 1679487077 1679487094 ACCEPT OK
2 858966410158 eni-03ad9499cfe7dd531 10.0.1.26 52.94.177.131 42038 443 6 29 12298 1679487077 1679487094 ACCEPT OK
2 858966410158 eni-03ad9499cfe7dd531 10.0.1.26 52.94.177.131 39994 443 6 40 19146 1679487077 1679487094 ACCEPT OK
2 858966410158 eni-03ad9499cfe7dd531 52.94.177.131 10.0.1.26 443 42038 6 28 9636 1679487077 1679487094 ACCEPT OK
2 858966410158 eni-03ad9499cfe7dd531 47.108.211.34 10.0.1.26 42292 6379 6 1 60 1679487077 1679487094 REJECT OK
2 858966410158 eni-03ad9499cfe7dd531 10.0.1.26 38.17.55.196 51636 123 17 1 76 1679487077 1679487094 ACCEPT OK
2 858966410158 eni-03ad9499cfe7dd531 52.94.210.188 10.0.1.26 443 47214 6 14 2971 1679487077 1679487094 ACCEPT OK
2 858966410158 eni-03ad9499cfe7dd531 89.248.165.197 10.0.1.26 44357 15873 6 1 40 1679487077 1679487094 REJECT OK
2 858966410158 eni-03ad9499cfe7dd531 38.17.55.196 10.0.1.26 123 51636 17 1 76 1679487077 1679487094 ACCEPT OK
2 858966410158 eni-03ad9499cfe7dd531 10.0.1.26 183.136.225.32 80 42201 6 6 264 1679487077 1679487094 ACCEPT OK
2 858966410158 eni-0e7aabe80d29089d5 - - - - - - - 1679487077 1679487108 - NODATA
2 858966410158 eni-0f7ae9ee760bd16d2 167.248.133.175 10.0.1.176 40015 14524 6 1 44 1679487113 1679487115 REJECT OK
2 858966410158 eni-0f7ae9ee760bd16d2 92.63.197.157 10.0.1.176 47778 33716 6 1 40 1679487113 1679487115 REJECT OK
2 858966410158 eni-03ad9499cfe7dd531 10.0.1.26 52.94.210.188 43232 443 6 39 20815 1679487099 1679487123 ACCEPT OK
2 858966410158 eni-03ad9499cfe7dd531 120.57.211.239 10.0.1.26 40000 23 6 1 40 1679487099 1679487123 REJECT OK
2 858966410158 eni-03ad9499cfe7dd531 89.248.163.74 10.0.1.26 43314 11975 6 1 40 1679487099 1679487123 REJECT OK
2 858966410158 eni-03ad9499cfe7dd531 52.94.210.188 10.0.1.26 443 43232 6 29 6546 1679487099 1679487123 ACCEPT OK
2 858966410158 eni-03ad9499cfe7dd531 192.241.220.25 10.0.1.26 43139 9200 6 1 40 1679487128 1679487155 REJECT OK
2 858966410158 eni-03ad9499cfe7dd531 10.0.1.26 52.94.177.131 60584 443 6 52 23929 1679487128 1679487155 ACCEPT OK
2 858966410158 eni-03ad9499cfe7dd531 52.94.184.188 10.0.1.26 443 56882 6 22 8206 1679487128 1679487155 ACCEPT OK
2 858966410158 eni-03ad9499cfe7dd531 52.94.184.188 10.0.1.26 443 52278 6 45 13291 1679487128 1679487155 ACCEPT OK
2 858966410158 eni-03ad9499cfe7dd531 52.94.177.131 10.0.1.26 443 42038 6 21 3846 1679487128 1679487155 ACCEPT OK
