version account-id interface-id srcaddr dstaddr srcport dstport protocol packets bytes start end action log-status
2 858966410158 eni-03ad9499cfe7dd531 10.0.1.26 52.94.181.231 39716 443 6 35 18519 1679486984 1679487001 ACCEPT OK
2 858966410158 eni-03ad9499cfe7dd531 10.0.1.26 52.94.177.129 32892 443 6 51 23889 1679486984 1679487001 ACCEPT OK
2 858966410158 eni-03ad9499cfe7dd531 165.154.51.129 10.0.1.26 48192 8091 6 1 60 1679486984 1679487001 REJECT OK
2 858966410158 eni-03ad9499cfe7dd531 34.222.221.6 10.0.1.26 46907 3389 6 1 40 1679486984 1679487001 REJECT OK
2 858966410158 eni-03ad9499cfe7dd531 52.94.177.129 10.0.1.26 443 32892 6 46 13362 1679486984 1679487001 ACCEPT OK
2 858966410158 eni-03ad9499cfe7dd531 154.89.5.92 10.0.1.26 58914 1723 6 1 44 1679486984 1679487001 REJECT OK
2 858966410158 eni-03ad9499cfe7dd531 52.94.181.231 10.0.1.26 443 39716 6 26 5831 1679486984 1679487001 ACCEPT OK
2 858966410158 eni-03ad9499cfe7dd531 183.136.225.42 10.0.1.26 8088 9080 6 1 44 1679486984 1679487001 REJECT OK
2 858966410158 eni-0f7ae9ee760bd16d2 222.188.174.3 10.0.1.176 24943 23 6 1 40 1679487008 1679487018 REJECT OK
2 858966410158 eni-0f7ae9ee760bd16d2 10.0.1.176 137.184.81.69 60204 123 17 1 76 1679487008 1679487018 ACCEPT OK
2 858966410158 eni-0f7ae9ee760bd16d2 10.0.1.176 64.62.194.188 34232 123 17 1 76 1679487008 1679487018 ACCEPT OK
2 858966410158 eni-0f7ae9ee760bd16d2 64.62.194.188 10.0.1.176 123 34232 17 1 76 1679487008 1679487018 ACCEPT OK
2 858966410158 eni-0f7ae9ee760bd16d2 137.184.81.69 10.0.1.176 123 60204 17 1 76 1679487008 1679487018 ACCEPT OK
2 858966410158 eni-0f7ae9ee760bd16d2 154.89.5.92 10.0.1.176 58914 5357 6 1 44 1679487008 1679487018 REJECT OK
2 858966410158 eni-03ad9499cfe7dd531 73.193.62.250 10.0.1.26 123 44816 17 1 76 1679487009 1679487031 ACCEPT OK
2 858966410158 eni-03ad9499cfe7dd531 10.0.1.26 73.193.62.250 44816 123 17 1 76 1679487009 1679487031 ACCEPT OK
2 858966410158 eni-03ad9499cfe7dd531 52.94.210.188 10.0.1.26 443 47214 6 33 10431 1679487009 1679487031 ACCEPT OK
2 858966410158 eni-03ad9499cfe7dd531 52.94.177.129 10.0.1.26 443 45814 6 45 13322 1679487009 1679487031 ACCEPT OK
2 858966410158 eni-03ad9499cfe7dd531 10.0.1.26 45.79.111.167 56737 123 17 1 76 1679487009 1679487031 ACCEPT OK
2 858966410158 eni-03ad9499cfe7dd531 45.79.111.167 10.0.1.26 123 56737 17 1 76 1679487009 1679487031 ACCEPT OK
2 858966410158 eni-03ad9499cfe7dd531 89.248.165.195 10.0.1.26 45703 6071 6 1 40 1679487009 1679487031 REJECT OK
2 858966410158 eni-03ad9499cfe7dd531 10.0.1.26 52.94.210.188 47214 443 6 32 14554 1679487009 1679487031 ACCEPT OK
2 858966410158 eni-03ad9499cfe7dd531 162.142.125.184 10.0.1.26 61603 8585 6 1 44 1679487009 1679487031 REJECT OK
2 858966410158 eni-03ad9499cfe7dd531 154.89.5.92 10.0.1.26 58914 55555 6 1 44 1679487009 1679487031 REJECT OK
2 858966410158 eni-03ad9499cfe7dd531 10.0.1.26 52.94.177.129 45814 443 6 52 23929 1679487009 1679487031 ACCEPT OK
2 858966410158 eni-03ad9499cfe7dd531 89.248.165.197 10.0.1.26 44357 13736 6 1 40 1679487009 1679487031 REJECT OK
2 858966410158 eni-03ad9499cfe7dd531 52.94.210.188 10.0.1.26 443 43232 6 16 6776 1679487037 1679487048 ACCEPT OK
2 858966410158 eni-03ad9499cfe7dd531 52.119.172.239 10.0.1.26 443 59928 6 19 6695 1679487037 1679487048 ACCEPT OK
2 858966410158 eni-03ad9499cfe7dd531 52.94.177.129 10.0.1.26 443 59140 6 46 13362 1679487037 1679487048 ACCEPT OK
2 858966410158 eni-03ad9499cfe7dd531 10.0.1.26 52.94.210.188 43232 443 6 12 3074 1679487037 1679487048 ACCEPT OK
2 858966410158 eni-03ad9499cfe7dd531 10.0.1.26 52.119.172.239 59928 443 6 15 3132 1679487037 1679487048 ACCEPT OK
2 858966410158 eni-03ad9499cfe7dd531 10.0.1.26 52.94.177.129 59140 443 6 51 23889 1679487037 1679487048 ACCEPT OK
2 858966410158 eni-0e7aabe80d29089d5 - - - - - - - 1679487017 1679487048 - NODATA
