version account-id interface-id srcaddr dstaddr srcport dstport protocol packets bytes start end action log-status
2 858966410158 eni-0e7aabe80d29089d5 - - - - - - - 1679487377 1679487408 - NODATA
2 858966410158 eni-03ad9499cfe7dd531 52.94.177.131 10.0.1.26 443 39494 6 45 13322 1679487370 1679487388 ACCEPT OK
2 858966410158 eni-03ad9499cfe7dd531 52.94.177.133 10.0.1.26 443 36708 6 43 13211 1679487370 1679487388 ACCEPT OK
2 858966410158 eni-03ad9499cfe7dd531 121.151.29.47 10.0.1.26 32631 23 6 1 40 1679487370 1679487388 REJECT OK
2 858966410158 eni-03ad9499cfe7dd531 10.0.1.26 52.94.177.131 39494 443 6 51 23889 1679487370 1679487388 ACCEPT OK
2 858966410158 eni-03ad9499cfe7dd531 10.0.1.26 52.94.177.133 36708 443 6 48 23738 1679487370 1679487388 ACCEPT OK
2 858966410158 eni-03ad9499cfe7dd531 10.0.1.26 52.94.177.131 43886 443 6 31 16223 1679487370 1679487388 ACCEPT OK
2 858966410158 eni-03ad9499cfe7dd531 38.110.42.253 10.0.1.26 0 0 1 1 30 1679487370 1679487388 REJECT OK
2 858966410158 eni-03ad9499cfe7dd531 162.142.125.189 10.0.1.26 55043 12207 6 1 44 1679487370 1679487388 REJECT OK
2 858966410158 eni-03ad9499cfe7dd531 162.142.125.177 10.0.1.26 10258 8125 6 1 44 1679487370 1679487388 REJECT OK
2 858966410158 eni-03ad9499cfe7dd531 52.94.177.131 10.0.1.26 443 43886 6 23 5116 1679487370 1679487388 ACCEPT OK
2 858966410158 eni-03ad9499cfe7dd531 170.64.166.1 10.0.1.26 39732 8000 6 1 44 1679487370 1679487388 REJECT OK
2 858966410158 eni-03ad9499cfe7dd531 10.0.1.26 52.94.177.132 40204 443 6 51 23889 1679487398 1679487426 ACCEPT OK
2 858966410158 eni-03ad9499cfe7dd531 121.151.29.47 10.0.1.26 32631 23 6 3 120 1679487398 1679487426 REJECT OK
2 858966410158 eni-03ad9499cfe7dd531 162.142.125.182 10.0.1.26 53806 7011 6 1 44 1679487398 1679487426 REJECT OK
2 858966410158 eni-03ad9499cfe7dd531 52.94.177.133 10.0.1.26 443 37044 6 46 13362 1679487398 1679487426 ACCEPT OK
2 858966410158 eni-03ad9499cfe7dd531 52.94.177.132 10.0.1.26 443 40204 6 45 13322 1679487398 1679487426 ACCEPT OK
2 858966410158 eni-03ad9499cfe7dd531 10.0.1.26 52.94.177.133 37044 443 6 51 23889 1679487398 1679487426 ACCEPT OK
2 858966410158 eni-03ad9499cfe7dd531 195.169.125.251 10.0.1.26 0 0 1 1 32 1679487398 1679487426 REJECT OK
2 858966410158 eni-03ad9499cfe7dd531 128.9.63.139 10.0.1.26 0 0 1 1 32 1679487398 1679487426 REJECT OK
2 858966410158 eni-03ad9499cfe7dd531 52.94.177.134 10.0.1.26 443 47876 6 26 5236 1679487283 1679487300 ACCEPT OK
2 858966410158 eni-03ad9499cfe7dd531 167.94.145.20 10.0.1.26 38425 43260 6 1 44 1679487283 1679487300 REJECT OK
2 858966410158 eni-03ad9499cfe7dd531 167.94.138.102 10.0.1.26 61551 888 6 1 44 1679487283 1679487300 REJECT OK
2 858966410158 eni-03ad9499cfe7dd531 5.120.173.149 10.0.1.26 5508 443 6 1 60 1679487283 1679487300 REJECT OK
2 858966410158 eni-03ad9499cfe7dd531 5.120.173.149 10.0.1.26 5507 443 6 4 240 1679487283 1679487300 REJECT OK
2 858966410158 eni-03ad9499cfe7dd531 10.0.1.26 52.94.177.129 44778 443 6 36 16850 1679487283 1679487300 ACCEPT OK
2 858966410158 eni-03ad9499cfe7dd531 121.151.29.47 10.0.1.26 32631 23 6 1 40 1679487283 1679487300 REJECT OK
2 858966410158 eni-03ad9499cfe7dd531 10.0.1.26 52.94.177.134 47876 443 6 31 16223 1679487283 1679487300 ACCEPT OK
2 858966410158 eni-03ad9499cfe7dd531 52.94.177.129 10.0.1.26 443 44778 6 34 11066 1679487283 1679487300 ACCEPT OK
2 858966410158 eni-0f7ae9ee760bd16d2 212.70.149.38 10.0.1.176 50413 7881 6 1 40 1679487393 1679487413 REJECT OK
2 858966410158 eni-0f7ae9ee760bd16d2 64.62.197.161 10.0.1.176 52063 8090 6 1 40 1679487393 1679487413 REJECT OK
2 858966410158 eni-0f7ae9ee760bd16d2 157.101.163.6 10.0.1.176 34349 23 6 1 40 1679487376 1679487380 REJECT OK
2 858966410158 eni-0f7ae9ee760bd16d2 198.199.96.81 10.0.1.176 41160 8009 6 1 40 1679487376 1679487380 REJECT OK
2 858966410158 eni-0f7ae9ee760bd16d2 162.142.125.187 10.0.1.176 55495 9006 6 1 44 1679487376 1679487380 REJECT OK
2 858966410158 eni-0f7ae9ee760bd16d2 79.124.58.146 10.0.1.176 52774 6505 6 1 40 1679487438 1679487445 REJECT OK
2 858966410158 eni-0f7ae9ee760bd16d2 10.0.3.129 10.0.1.176 35993 123 17 1 76 1679487438 1679487445 REJECT OK
2 858966410158 eni-0f7ae9ee760bd16d2 185.156.73.154 10.0.1.176 41152 15798 6 1 40 1679487438 1679487445 REJECT OK
2 858966410158 eni-0e7aabe80d29089d5 - - - - - - - 1679487437 1679487468 - NODATA
2 858966410158 eni-0e7aabe80d29089d5 10.0.3.129 209.51.161.238 35993 123 17 1 76 1679487470 1679487470 ACCEPT OK
2 858966410158 eni-03ad9499cfe7dd531 121.151.29.47 10.0.1.26 32631 23 6 1 40 1679487458 1679487473 REJECT OK
2 858966410158 eni-03ad9499cfe7dd531 92.118.39.82 10.0.1.26 50716 8081 6 1 40 1679487458 1679487473 REJECT OK
2 858966410158 eni-03ad9499cfe7dd531 89.248.163.15 10.0.1.26 43282 6409 6 1 40 1679487458 1679487473 REJECT OK
2 858966410158 eni-03ad9499cfe7dd531 128.14.209.156 10.0.1.26 28185 2087 6 1 40 1679487458 1679487473 REJECT OK
2 858966410158 eni-0f7ae9ee760bd16d2 89.248.163.76 10.0.1.176 43307 10502 6 1 40 1679487468 1679487471 REJECT OK
2 858966410158 eni-0f7ae9ee760bd16d2 91.240.118.75 10.0.1.176 47988 6349 6 1 40 1679487468 1679487471 REJECT OK
2 858966410158 eni-0f7ae9ee760bd16d2 89.248.165.166 10.0.1.176 51628 3305 6 1 40 1679487468 1679487471 REJECT OK
2 858966410158 eni-03ad9499cfe7dd531 52.94.212.197 10.0.1.26 443 56580 6 29 9676 1679487435 1679487456 ACCEPT OK
2 858966410158 eni-03ad9499cfe7dd531 154.89.5.92 10.0.1.26 58914 9530 6 1 44 1679487435 1679487456 REJECT OK
2 858966410158 eni-03ad9499cfe7dd531 52.94.176.107 10.0.1.26 443 35640 6 44 13251 1679487435 1679487456 ACCEPT OK
2 858966410158 eni-03ad9499cfe7dd531 121.151.29.47 10.0.1.26 32631 23 6 3 120 1679487435 1679487456 REJECT OK
2 858966410158 eni-03ad9499cfe7dd531 10.0.1.26 52.94.176.107 35640 443 6 48 23738 1679487435 1679487456 ACCEPT OK
2 858966410158 eni-03ad9499cfe7dd531 10.0.1.26 52.94.212.197 56580 443 6 28 12258 1679487435 1679487456 ACCEPT OK
2 858966410158 eni-03ad9499cfe7dd531 10.0.1.26 52.94.177.133 36708 443 6 3 151 1679487435 1679487456 ACCEPT OK
2 858966410158 eni-03ad9499cfe7dd531 52.94.177.133 10.0.1.26 443 36708 6 2 111 1679487435 1679487456 ACCEPT OK
2 858966410158 eni-0f7ae9ee760bd16d2 124.235.248.244 10.0.1.176 1024 23 6 1 40 1679487485 1679487504 REJECT OK
2 858966410158 eni-0f7ae9ee760bd16d2 162.142.125.177 10.0.1.176 54250 4001 6 1 44 1679487485 1679487504 REJECT OK
2 858966410158 eni-0f7ae9ee760bd16d2 27.124.5.3 10.0.1.176 40551 12250 6 1 44 1679487485 1679487504 REJECT OK
2 858966410158 eni-0f7ae9ee760bd16d2 38.110.42.254 10.0.1.176 0 0 1 1 30 1679487485 1679487504 REJECT OK
2 858966410158 eni-0e7aabe80d29089d5 - - - - - - - 1679487497 1679487528 - NODATA
2 858966410158 eni-03ad9499cfe7dd531 52.94.212.197 10.0.1.26 443 41882 6 46 13362 1679487523 1679487540 ACCEPT OK
2 858966410158 eni-03ad9499cfe7dd531 10.0.1.26 52.94.212.197 41882 443 6 52 23929 1679487523 1679487540 ACCEPT OK
2 858966410158 eni-03ad9499cfe7dd531 45.63.54.13 10.0.1.26 123 46716 17 1 76 1679487523 1679487540 ACCEPT OK
2 858966410158 eni-03ad9499cfe7dd531 10.0.1.26 45.63.54.13 46716 123 17 1 76 1679487523 1679487540 ACCEPT OK
2 858966410158 eni-03ad9499cfe7dd531 10.0.1.26 52.94.176.107 35640 443 6 3 151 1679487487 1679487513 ACCEPT OK
2 858966410158 eni-03ad9499cfe7dd531 10.0.1.26 52.94.212.197 56580 443 6 23 11631 1679487487 1679487513 ACCEPT OK
2 858966410158 eni-03ad9499cfe7dd531 52.94.176.107 10.0.1.26 443 35640 6 3 151 1679487487 1679487513 ACCEPT OK
2 858966410158 eni-03ad9499cfe7dd531 52.94.212.197 10.0.1.26 443 56580 6 19 3766 1679487487 1679487513 ACCEPT OK
2 858966410158 eni-03ad9499cfe7dd531 10.0.1.26 52.94.184.189 46440 443 6 12 3074 1679487487 1679487513 ACCEPT OK
