version account-id interface-id srcaddr dstaddr srcport dstport protocol packets bytes start end action log-status
2 858966410158 eni-0f7ae9ee760bd16d2 80.252.0.252 10.0.1.176 443 43023 6 1 48 1679487302 1679487309 REJECT OK
2 858966410158 eni-0f7ae9ee760bd16d2 213.208.173.122 10.0.1.176 60000 8700 6 1 40 1679487302 1679487309 REJECT OK
2 858966410158 eni-03ad9499cfe7dd531 121.151.29.47 10.0.1.26 32631 23 6 3 120 1679487313 1679487329 REJECT OK
2 858966410158 eni-03ad9499cfe7dd531 10.0.1.26 52.94.177.129 34370 443 6 35 18519 1679487313 1679487329 ACCEPT OK
2 858966410158 eni-03ad9499cfe7dd531 10.0.1.26 52.94.177.129 46662 443 6 11 4743 1679487313 1679487329 ACCEPT OK
2 858966410158 eni-03ad9499cfe7dd531 10.0.1.26 52.94.177.131 43886 443 6 21 7706 1679487313 1679487329 ACCEPT OK
2 858966410158 eni-03ad9499cfe7dd531 52.94.177.129 10.0.1.26 443 46662 6 9 1581 1679487313 1679487329 ACCEPT OK
2 858966410158 eni-03ad9499cfe7dd531 52.94.177.129 10.0.1.26 443 34370 6 27 5871 1679487313 1679487329 ACCEPT OK
2 858966410158 eni-03ad9499cfe7dd531 52.94.177.131 10.0.1.26 443 43886 6 22 8206 1679487313 1679487329 ACCEPT OK
2 858966410158 eni-0f7ae9ee760bd16d2 49.89.83.69 10.0.1.176 1792 60023 6 1 40 1679487344 1679487345 REJECT OK
2 858966410158 eni-03ad9499cfe7dd531 10.0.1.26 52.94.177.129 44778 443 6 15 7039 1679487339 1679487364 ACCEPT OK
2 858966410158 eni-03ad9499cfe7dd531 89.248.163.15 10.0.1.26 43282 8127 6 1 40 1679487339 1679487364 REJECT OK
2 858966410158 eni-03ad9499cfe7dd531 102.220.159.131 10.0.1.26 61177 23 6 1 40 1679487339 1679487364 REJECT OK
2 858966410158 eni-03ad9499cfe7dd531 78.128.113.250 10.0.1.26 47419 5424 6 1 40 1679487339 1679487364 REJECT OK
2 858966410158 eni-03ad9499cfe7dd531 52.94.177.129 10.0.1.26 443 44778 6 11 2256 1679487339 1679487364 ACCEPT OK
2 858966410158 eni-03ad9499cfe7dd531 189.238.172.166 10.0.1.26 28728 445 6 1 52 1679487339 1679487364 REJECT OK
2 858966410158 eni-0e7aabe80d29089d5 - - - - - - - 1679487317 1679487348 - NODATA
