version account-id interface-id srcaddr dstaddr srcport dstport protocol packets bytes start end action log-status
2 858966410158 eni-03ad9499cfe7dd531 107.170.252.23 10.0.1.26 56894 8009 6 1 40 1679487580 1679487603 REJECT OK
2 858966410158 eni-03ad9499cfe7dd531 62.204.41.254 10.0.1.26 48298 38899 6 1 40 1679487580 1679487603 REJECT OK
2 858966410158 eni-03ad9499cfe7dd531 183.136.225.42 10.0.1.26 8088 5672 6 1 44 1679487580 1679487603 REJECT OK
2 858966410158 eni-03ad9499cfe7dd531 162.142.125.179 10.0.1.26 24222 4190 6 1 44 1679487580 1679487603 REJECT OK
2 858966410158 eni-03ad9499cfe7dd531 121.151.29.47 10.0.1.26 32631 23 6 1 40 1679487580 1679487603 REJECT OK
2 858966410158 eni-0f7ae9ee760bd16d2 162.142.125.188 10.0.1.176 54886 9443 6 1 44 1679487608 1679487629 REJECT OK
2 858966410158 eni-0f7ae9ee760bd16d2 80.66.77.236 10.0.1.176 38112 34567 6 1 40 1679487608 1679487629 REJECT OK
2 858966410158 eni-0f7ae9ee760bd16d2 45.9.74.97 10.0.1.176 59602 23 6 1 44 1679487608 1679487629 REJECT OK
2 858966410158 eni-0f7ae9ee760bd16d2 89.248.165.187 10.0.1.176 41171 35286 6 1 40 1679487608 1679487629 REJECT OK
2 858966410158 eni-0f7ae9ee760bd16d2 92.118.39.92 10.0.1.176 52516 9000 6 1 40 1679487608 1679487629 REJECT OK
2 858966410158 eni-0f7ae9ee760bd16d2 89.248.165.195 10.0.1.176 45703 6242 6 1 40 1679487608 1679487629 REJECT OK
2 858966410158 eni-03ad9499cfe7dd531 52.119.171.48 10.0.1.26 443 51136 6 19 6695 1679487612 1679487631 ACCEPT OK
2 858966410158 eni-03ad9499cfe7dd531 10.0.1.26 52.94.213.165 55948 443 6 39 20815 1679487612 1679487631 ACCEPT OK
2 858966410158 eni-03ad9499cfe7dd531 164.90.188.203 10.0.1.26 57208 6379 6 1 60 1679487612 1679487631 REJECT OK
2 858966410158 eni-03ad9499cfe7dd531 10.0.1.26 52.94.177.136 42436 443 6 16 5370 1679487612 1679487631 ACCEPT OK
2 858966410158 eni-03ad9499cfe7dd531 10.0.1.26 52.119.171.48 51136 443 6 15 3132 1679487612 1679487631 ACCEPT OK
2 858966410158 eni-03ad9499cfe7dd531 162.142.125.182 10.0.1.26 48074 8493 6 1 44 1679487612 1679487631 REJECT OK
2 858966410158 eni-03ad9499cfe7dd531 52.94.177.136 10.0.1.26 443 42436 6 19 7491 1679487612 1679487631 ACCEPT OK
2 858966410158 eni-03ad9499cfe7dd531 194.26.29.152 10.0.1.26 47899 4591 6 1 40 1679487612 1679487631 REJECT OK
2 858966410158 eni-03ad9499cfe7dd531 162.142.125.186 10.0.1.26 25124 12284 6 1 44 1679487612 1679487631 REJECT OK
2 858966410158 eni-03ad9499cfe7dd531 52.94.213.165 10.0.1.26 443 55948 6 33 6706 1679487612 1679487631 ACCEPT OK
2 858966410158 eni-0e7aabe80d29089d5 - - - - - - - 1679487617 1679487647 - NODATA
2 858966410158 eni-03ad9499cfe7dd531 85.217.145.45 10.0.1.26 50685 81 6 1 40 1679487640 1679487666 REJECT OK
2 858966410158 eni-03ad9499cfe7dd531 52.94.184.187 10.0.1.26 443 49554 6 45 13322 1679487640 1679487666 ACCEPT OK
2 858966410158 eni-03ad9499cfe7dd531 60.14.56.239 10.0.1.26 25197 23 6 1 40 1679487640 1679487666 REJECT OK
2 858966410158 eni-03ad9499cfe7dd531 167.94.145.24 10.0.1.26 16104 52634 6 1 44 1679487640 1679487666 REJECT OK
2 858966410158 eni-03ad9499cfe7dd531 89.248.165.195 10.0.1.26 45703 6241 6 1 40 1679487640 1679487666 REJECT OK
2 858966410158 eni-03ad9499cfe7dd531 10.0.1.26 52.94.184.187 39044 443 6 51 23889 1679487640 1679487666 ACCEPT OK
2 858966410158 eni-03ad9499cfe7dd531 167.94.146.69 10.0.1.26 37840 10443 6 1 44 1679487640 1679487666 REJECT OK
2 858966410158 eni-03ad9499cfe7dd531 121.151.29.47 10.0.1.26 32631 23 6 1 40 1679487640 1679487666 REJECT OK
2 858966410158 eni-03ad9499cfe7dd531 10.0.1.26 52.94.184.187 49554 443 6 51 23889 1679487640 1679487666 ACCEPT OK
2 858966410158 eni-03ad9499cfe7dd531 52.94.184.187 10.0.1.26 443 39044 6 47 13402 1679487640 1679487666 ACCEPT OK
2 858966410158 eni-03ad9499cfe7dd531 162.142.125.182 10.0.1.26 2082 5003 6 1 44 1679487640 1679487666 REJECT OK
2 858966410158 eni-03ad9499cfe7dd531 89.248.163.74 10.0.1.26 43314 11031 6 1 40 1679487640 1679487666 REJECT OK
