version account-id interface-id srcaddr dstaddr srcport dstport protocol packets bytes start end action log-status
2 858966410158 eni-0f7ae9ee760bd16d2 162.142.125.89 10.0.1.176 46781 16021 6 1 44 1679487664 1679487683 REJECT OK
2 858966410158 eni-0f7ae9ee760bd16d2 162.142.125.253 10.0.1.176 15920 16153 6 1 44 1679487664 1679487683 REJECT OK
2 858966410158 eni-0e7aabe80d29089d5 - - - - - - - 1679487677 1679487708 - NODATA
2 858966410158 eni-0f7ae9ee760bd16d2 205.185.127.112 10.0.1.176 33580 54321 6 1 44 1679487692 1679487720 REJECT OK
2 858966410158 eni-0f7ae9ee760bd16d2 118.123.241.39 10.0.1.176 33312 6379 6 1 60 1679487692 1679487720 REJECT OK
2 858966410158 eni-0f7ae9ee760bd16d2 194.26.29.152 10.0.1.176 47899 4746 6 1 40 1679487692 1679487720 REJECT OK
2 858966410158 eni-0f7ae9ee760bd16d2 146.88.240.4 10.0.1.176 56300 500 17 1 74 1679487692 1679487720 REJECT OK
2 858966410158 eni-0f7ae9ee760bd16d2 162.142.125.186 10.0.1.176 36429 1521 6 1 44 1679487692 1679487720 REJECT OK
2 858966410158 eni-0f7ae9ee760bd16d2 85.209.134.231 10.0.1.176 41324 5555 6 1 40 1679487692 1679487720 REJECT OK
2 858966410158 eni-03ad9499cfe7dd531 52.94.184.189 10.0.1.26 443 46574 6 45 13322 1679487699 1679487722 ACCEPT OK
2 858966410158 eni-03ad9499cfe7dd531 52.94.177.136 10.0.1.26 443 56656 6 48 13442 1679487699 1679487722 ACCEPT OK
2 858966410158 eni-03ad9499cfe7dd531 122.191.25.163 10.0.1.26 19404 23 6 1 40 1679487699 1679487722 REJECT OK
2 858966410158 eni-03ad9499cfe7dd531 10.0.1.26 52.94.177.136 56656 443 6 51 23889 1679487699 1679487722 ACCEPT OK
2 858966410158 eni-03ad9499cfe7dd531 147.182.132.199 10.0.1.26 5060 5060 17 1 106 1679487699 1679487722 REJECT OK
2 858966410158 eni-03ad9499cfe7dd531 10.0.1.26 52.94.184.189 46574 443 6 52 23929 1679487699 1679487722 ACCEPT OK
2 858966410158 eni-03ad9499cfe7dd531 43.129.40.155 10.0.1.26 17109 9562 6 1 52 1679487699 1679487722 REJECT OK
2 858966410158 eni-03ad9499cfe7dd531 139.162.99.58 10.0.1.26 50704 808 6 1 40 1679487675 1679487693 REJECT OK
2 858966410158 eni-03ad9499cfe7dd531 140.99.219.26 10.0.1.26 50473 6666 6 1 40 1679487675 1679487693 REJECT OK
2 858966410158 eni-03ad9499cfe7dd531 162.142.125.188 10.0.1.26 23845 17184 6 1 44 1679487675 1679487693 REJECT OK
2 858966410158 eni-03ad9499cfe7dd531 10.0.1.26 52.94.177.136 42436 443 6 35 18519 1679487675 1679487693 ACCEPT OK
2 858966410158 eni-03ad9499cfe7dd531 89.248.165.186 10.0.1.26 41277 51890 6 1 40 1679487675 1679487693 REJECT OK
2 858966410158 eni-03ad9499cfe7dd531 52.94.177.136 10.0.1.26 443 42436 6 26 5831 1679487675 1679487693 ACCEPT OK
2 858966410158 eni-03ad9499cfe7dd531 121.151.29.47 10.0.1.26 32631 23 6 2 80 1679487675 1679487693 REJECT OK
2 858966410158 eni-0e7aabe80d29089d5 10.0.3.129 63.211.239.58 54443 123 17 1 76 1679487731 1679487731 ACCEPT OK
2 858966410158 eni-0e7aabe80d29089d5 - - - - - - - 1679487737 1679487768 - NODATA
2 858966410158 eni-03ad9499cfe7dd531 52.94.181.229 10.0.1.26 443 33254 6 38 11821 1679487756 1679487783 ACCEPT OK
2 858966410158 eni-03ad9499cfe7dd531 52.94.210.188 10.0.1.26 443 33458 6 47 13402 1679487756 1679487783 ACCEPT OK
2 858966410158 eni-03ad9499cfe7dd531 89.248.165.184 10.0.1.26 41119 31891 6 1 40 1679487756 1679487783 REJECT OK
2 858966410158 eni-03ad9499cfe7dd531 10.0.1.26 52.94.210.188 33458 443 6 51 23889 1679487756 1679487783 ACCEPT OK
2 858966410158 eni-03ad9499cfe7dd531 52.94.177.133 10.0.1.26 443 59172 6 47 13402 1679487756 1679487783 ACCEPT OK
2 858966410158 eni-03ad9499cfe7dd531 10.0.1.26 52.94.177.133 59172 443 6 52 23929 1679487756 1679487783 ACCEPT OK
2 858966410158 eni-03ad9499cfe7dd531 89.248.163.15 10.0.1.26 43282 6767 6 1 40 1679487756 1679487783 REJECT OK
2 858966410158 eni-03ad9499cfe7dd531 146.88.240.4 10.0.1.26 49125 500 17 1 74 1679487756 1679487783 REJECT OK
2 858966410158 eni-03ad9499cfe7dd531 89.248.165.195 10.0.1.26 45703 5931 6 1 40 1679487756 1679487783 REJECT OK
2 858966410158 eni-03ad9499cfe7dd531 10.0.1.26 52.94.181.229 33254 443 6 40 19146 1679487756 1679487783 ACCEPT OK
2 858966410158 eni-03ad9499cfe7dd531 121.151.29.47 10.0.1.26 32631 23 6 1 40 1679487756 1679487783 REJECT OK
2 858966410158 eni-03ad9499cfe7dd531 79.124.58.146 10.0.1.26 52774 6536 6 1 40 1679487729 1679487752 REJECT OK
2 858966410158 eni-03ad9499cfe7dd531 43.129.35.207 10.0.1.26 43204 2092 6 1 52 1679487729 1679487752 REJECT OK
2 858966410158 eni-03ad9499cfe7dd531 121.151.29.47 10.0.1.26 32631 23 6 5 200 1679487729 1679487752 REJECT OK
2 858966410158 eni-03ad9499cfe7dd531 89.248.165.154 10.0.1.26 38585 8545 6 1 44 1679487729 1679487752 REJECT OK
2 858966410158 eni-03ad9499cfe7dd531 10.0.1.26 52.94.184.189 35172 443 6 51 23889 1679487729 1679487752 ACCEPT OK
2 858966410158 eni-03ad9499cfe7dd531 52.94.184.189 10.0.1.26 443 35172 6 45 13322 1679487729 1679487752 ACCEPT OK
2 858966410158 eni-03ad9499cfe7dd531 194.26.29.86 10.0.1.26 48220 9274 6 1 40 1679487729 1679487752 REJECT OK
2 858966410158 eni-0f7ae9ee760bd16d2 89.248.163.16 10.0.1.176 43290 8373 6 1 40 1679487752 1679487779 REJECT OK
2 858966410158 eni-0f7ae9ee760bd16d2 212.70.149.38 10.0.1.176 50413 7382 6 1 40 1679487752 1679487779 REJECT OK
2 858966410158 eni-0f7ae9ee760bd16d2 10.0.3.129 10.0.1.176 54443 123 17 1 76 1679487721 1679487748 REJECT OK
2 858966410158 eni-0f7ae9ee760bd16d2 143.42.227.231 10.0.1.176 61000 2323 6 1 40 1679487721 1679487748 REJECT OK
2 858966410158 eni-0f7ae9ee760bd16d2 162.142.125.183 10.0.1.176 6353 20001 6 1 44 1679487721 1679487748 REJECT OK
2 858966410158 eni-0f7ae9ee760bd16d2 89.248.163.16 10.0.1.176 43290 14889 6 1 40 1679487721 1679487748 REJECT OK
2 858966410158 eni-0f7ae9ee760bd16d2 162.142.125.183 10.0.1.176 43145 9070 6 1 44 1679487789 1679487793 REJECT OK
2 858966410158 eni-0f7ae9ee760bd16d2 162.142.125.185 10.0.1.176 28134 30003 6 1 44 1679487789 1679487793 REJECT OK
2 858966410158 eni-0e7aabe80d29089d5 - - - - - - - 1679487797 1679487828 - NODATA
2 858966410158 eni-03ad9499cfe7dd531 163.47.36.34 10.0.1.26 60000 17000 6 1 40 1679487786 1679487810 REJECT OK
2 858966410158 eni-03ad9499cfe7dd531 52.94.181.229 10.0.1.26 443 50478 6 25 8921 1679487786 1679487810 ACCEPT OK
2 858966410158 eni-03ad9499cfe7dd531 10.0.1.26 52.94.181.229 50478 443 6 24 9962 1679487786 1679487810 ACCEPT OK
2 858966410158 eni-03ad9499cfe7dd531 62.204.41.80 10.0.1.26 48061 9477 6 1 40 1679487786 1679487810 REJECT OK
2 858966410158 eni-03ad9499cfe7dd531 121.151.29.47 10.0.1.26 32631 23 6 3 120 1679487786 1679487810 REJECT OK
2 858966410158 eni-03ad9499cfe7dd531 185.224.128.17 10.0.1.26 60157 1010 6 1 40 1679487821 1679487847 REJECT OK
2 858966410158 eni-03ad9499cfe7dd531 52.94.181.229 10.0.1.26 443 33254 6 8 1541 1679487821 1679487847 ACCEPT OK
2 858966410158 eni-03ad9499cfe7dd531 121.151.29.47 10.0.1.26 32631 23 6 1 40 1679487821 1679487847 REJECT OK
2 858966410158 eni-03ad9499cfe7dd531 5.120.173.149 10.0.1.26 5513 443 6 1 60 1679487821 1679487847 REJECT OK
2 858966410158 eni-03ad9499cfe7dd531 10.0.1.26 52.94.181.229 48634 443 6 40 19146 1679487821 1679487847 ACCEPT OK
2 858966410158 eni-03ad9499cfe7dd531 194.26.29.195 10.0.1.26 47809 1926 6 1 40 1679487821 1679487847 REJECT OK
2 858966410158 eni-03ad9499cfe7dd531 52.94.181.229 10.0.1.26 443 48634 6 42 11981 1679487821 1679487847 ACCEPT OK
