version account-id interface-id srcaddr dstaddr srcport dstport protocol packets bytes start end action log-status
2 858966410158 eni-03ad9499cfe7dd531 10.0.1.26 52.94.181.229 48634 443 6 11 4743 1679487883 1679487904 ACCEPT OK
2 858966410158 eni-03ad9499cfe7dd531 52.94.181.229 10.0.1.26 443 48634 6 9 1581 1679487883 1679487904 ACCEPT OK
2 858966410158 eni-03ad9499cfe7dd531 162.142.125.253 10.0.1.26 32085 11381 6 1 44 1679487883 1679487904 REJECT OK
2 858966410158 eni-03ad9499cfe7dd531 192.144.205.200 10.0.1.26 49544 6379 6 1 60 1679487883 1679487904 REJECT OK
2 858966410158 eni-03ad9499cfe7dd531 52.94.181.231 10.0.1.26 443 45480 6 20 4401 1679487906 1679487933 ACCEPT OK
2 858966410158 eni-03ad9499cfe7dd531 10.0.1.26 52.94.184.188 43248 443 6 51 23889 1679487906 1679487933 ACCEPT OK
2 858966410158 eni-03ad9499cfe7dd531 185.56.80.40 10.0.1.26 44837 8089 6 1 40 1679487906 1679487933 REJECT OK
2 858966410158 eni-03ad9499cfe7dd531 89.248.163.74 10.0.1.26 43314 8494 6 1 40 1679487906 1679487933 REJECT OK
2 858966410158 eni-03ad9499cfe7dd531 121.151.29.47 10.0.1.26 32631 23 6 2 80 1679487906 1679487933 REJECT OK
2 858966410158 eni-03ad9499cfe7dd531 10.0.1.26 52.94.184.188 46030 443 6 51 23889 1679487906 1679487933 ACCEPT OK
2 858966410158 eni-03ad9499cfe7dd531 154.89.5.92 10.0.1.26 58914 9090 6 1 44 1679487906 1679487933 REJECT OK
2 858966410158 eni-03ad9499cfe7dd531 89.248.163.74 10.0.1.26 43314 10076 6 1 40 1679487906 1679487933 REJECT OK
2 858966410158 eni-03ad9499cfe7dd531 52.94.184.188 10.0.1.26 443 46030 6 45 13322 1679487906 1679487933 ACCEPT OK
2 858966410158 eni-03ad9499cfe7dd531 128.199.74.173 10.0.1.26 57571 11656 6 1 40 1679487906 1679487933 REJECT OK
2 858966410158 eni-03ad9499cfe7dd531 52.94.184.188 10.0.1.26 443 43248 6 48 13442 1679487906 1679487933 ACCEPT OK
2 858966410158 eni-03ad9499cfe7dd531 10.0.1.26 52.94.181.231 45480 443 6 27 13927 1679487906 1679487933 ACCEPT OK
2 858966410158 eni-03ad9499cfe7dd531 193.57.40.49 10.0.1.26 47473 3766 6 1 40 1679487906 1679487933 REJECT OK
2 858966410158 eni-03ad9499cfe7dd531 182.247.143.6 10.0.1.26 47680 23 6 1 40 1679487906 1679487933 REJECT OK
2 858966410158 eni-0e7aabe80d29089d5 - - - - - - - 1679487917 1679487948 - NODATA
2 858966410158 eni-03ad9499cfe7dd531 121.236.175.145 10.0.1.26 42016 6379 6 1 60 1679487946 1679487966 REJECT OK
2 858966410158 eni-03ad9499cfe7dd531 89.248.165.22 10.0.1.26 41749 43121 6 1 40 1679487946 1679487966 REJECT OK
2 858966410158 eni-03ad9499cfe7dd531 121.151.29.47 10.0.1.26 32631 23 6 3 120 1679487946 1679487966 REJECT OK
2 858966410158 eni-03ad9499cfe7dd531 170.39.218.4 10.0.1.26 38306 7107 6 1 40 1679487946 1679487966 REJECT OK
2 858966410158 eni-03ad9499cfe7dd531 52.94.184.188 10.0.1.26 443 42448 6 46 13362 1679487946 1679487966 ACCEPT OK
2 858966410158 eni-03ad9499cfe7dd531 89.248.163.74 10.0.1.26 43314 14229 6 1 40 1679487946 1679487966 REJECT OK
2 858966410158 eni-03ad9499cfe7dd531 191.96.185.182 10.0.1.26 53502 443 6 1 60 1679487946 1679487966 REJECT OK
2 858966410158 eni-03ad9499cfe7dd531 10.0.1.26 52.94.184.188 42448 443 6 51 23889 1679487946 1679487966 ACCEPT OK
2 858966410158 eni-0f7ae9ee760bd16d2 143.42.183.234 10.0.1.176 61000 8443 6 1 40 1679487938 1679487956 REJECT OK
2 858966410158 eni-0f7ae9ee760bd16d2 89.248.165.192 10.0.1.176 45124 22887 6 1 40 1679487938 1679487956 REJECT OK
2 858966410158 eni-0f7ae9ee760bd16d2 162.142.125.89 10.0.1.176 34579 10180 6 1 44 1679487902 1679487925 REJECT OK
2 858966410158 eni-0f7ae9ee760bd16d2 71.6.232.22 10.0.1.176 45297 990 6 1 44 1679487902 1679487925 REJECT OK
2 858966410158 eni-0f7ae9ee760bd16d2 183.136.225.42 10.0.1.176 8088 27018 6 1 44 1679487902 1679487925 REJECT OK
2 858966410158 eni-0f7ae9ee760bd16d2 192.241.222.7 10.0.1.176 57748 9200 6 1 40 1679487902 1679487925 REJECT OK
2 858966410158 eni-0f7ae9ee760bd16d2 124.220.210.147 10.0.1.176 55080 6379 6 1 60 1679487902 1679487925 REJECT OK
