version account-id interface-id srcaddr dstaddr srcport dstport protocol packets bytes start end action log-status
2 858966410158 eni-03ad9499cfe7dd531 10.0.1.26 52.94.176.105 60300 443 6 51 23889 1679487978 1679487995 ACCEPT OK
2 858966410158 eni-03ad9499cfe7dd531 45.33.73.184 10.0.1.26 61000 465 6 1 40 1679487978 1679487995 REJECT OK
2 858966410158 eni-03ad9499cfe7dd531 52.94.176.105 10.0.1.26 443 39704 6 45 13322 1679487978 1679487995 ACCEPT OK
2 858966410158 eni-03ad9499cfe7dd531 89.248.163.15 10.0.1.26 43282 6433 6 1 40 1679487978 1679487995 REJECT OK
2 858966410158 eni-03ad9499cfe7dd531 121.151.29.47 10.0.1.26 32631 23 6 4 160 1679487978 1679487995 REJECT OK
2 858966410158 eni-03ad9499cfe7dd531 107.170.227.28 10.0.1.26 34844 8080 6 1 40 1679487978 1679487995 REJECT OK
2 858966410158 eni-03ad9499cfe7dd531 52.94.176.105 10.0.1.26 443 60300 6 47 13402 1679487978 1679487995 ACCEPT OK
2 858966410158 eni-03ad9499cfe7dd531 10.0.1.26 52.94.176.105 39704 443 6 51 23889 1679487978 1679487995 ACCEPT OK
2 858966410158 eni-0f7ae9ee760bd16d2 167.94.146.27 10.0.1.176 8317 5827 6 1 44 1679488011 1679488012 REJECT OK
2 858966410158 eni-03ad9499cfe7dd531 103.127.79.150 10.0.1.26 26829 80 6 2 80 1679488000 1679488020 ACCEPT OK
2 858966410158 eni-03ad9499cfe7dd531 45.143.200.106 10.0.1.26 47681 9195 6 1 40 1679488000 1679488020 REJECT OK
2 858966410158 eni-03ad9499cfe7dd531 89.248.163.74 10.0.1.26 43314 6447 6 1 40 1679488000 1679488020 REJECT OK
2 858966410158 eni-03ad9499cfe7dd531 10.0.1.26 52.94.177.132 38762 443 6 29 12298 1679488000 1679488020 ACCEPT OK
2 858966410158 eni-03ad9499cfe7dd531 79.124.49.158 10.0.1.26 45154 5000 6 1 40 1679488000 1679488020 REJECT OK
