version account-id interface-id srcaddr dstaddr srcport dstport protocol packets bytes start end action log-status
2 858966410158 eni-0e7aabe80d29089d5 10.0.3.129 69.164.213.136 52781 123 17 1 76 1679488260 1679488274 ACCEPT OK
2 858966410158 eni-0e7aabe80d29089d5 10.0.3.129 155.248.196.28 59448 123 17 1 76 1679488260 1679488274 ACCEPT OK
2 858966410158 eni-0e7aabe80d29089d5 10.0.3.129 38.17.55.196 53290 123 17 1 76 1679488260 1679488274 ACCEPT OK
2 858966410158 eni-0e7aabe80d29089d5 10.0.3.129 44.4.53.2 48592 123 17 1 76 1679488260 1679488274 ACCEPT OK
2 858966410158 eni-0f7ae9ee760bd16d2 89.248.163.16 10.0.1.176 43290 8848 6 1 40 1679488260 1679488283 REJECT OK
2 858966410158 eni-0f7ae9ee760bd16d2 89.248.163.76 10.0.1.176 43307 12768 6 1 40 1679488260 1679488283 REJECT OK
2 858966410158 eni-0f7ae9ee760bd16d2 10.0.3.129 10.0.1.176 49565 123 17 1 76 1679488260 1679488283 REJECT OK
2 858966410158 eni-03ad9499cfe7dd531 10.0.1.26 52.94.185.29 51856 443 6 23 11631 1679488273 1679488292 ACCEPT OK
2 858966410158 eni-03ad9499cfe7dd531 198.199.104.82 10.0.1.26 33423 9200 6 1 40 1679488273 1679488292 REJECT OK
2 858966410158 eni-03ad9499cfe7dd531 121.151.29.47 10.0.1.26 32631 23 6 1 40 1679488273 1679488292 REJECT OK
2 858966410158 eni-03ad9499cfe7dd531 52.94.185.29 10.0.1.26 443 48748 6 40 12496 1679488273 1679488292 ACCEPT OK
2 858966410158 eni-03ad9499cfe7dd531 212.70.149.38 10.0.1.26 50413 7411 6 1 40 1679488273 1679488292 REJECT OK
2 858966410158 eni-03ad9499cfe7dd531 213.57.111.157 10.0.1.26 42951 23 6 1 44 1679488273 1679488292 REJECT OK
2 858966410158 eni-03ad9499cfe7dd531 52.94.185.29 10.0.1.26 443 51856 6 20 3806 1679488273 1679488292 ACCEPT OK
2 858966410158 eni-03ad9499cfe7dd531 10.0.1.26 52.119.171.48 60272 443 6 15 3132 1679488273 1679488292 ACCEPT OK
2 858966410158 eni-03ad9499cfe7dd531 10.0.1.26 52.94.185.29 48748 443 6 44 21442 1679488273 1679488292 ACCEPT OK
2 858966410158 eni-03ad9499cfe7dd531 52.119.171.48 10.0.1.26 443 60272 6 19 6695 1679488273 1679488292 ACCEPT OK
2 858966410158 eni-0e7aabe80d29089d5 10.0.3.129 168.235.89.132 47077 123 17 1 76 1679488239 1679488240 ACCEPT OK
2 858966410158 eni-0e7aabe80d29089d5 10.0.3.129 72.30.35.89 49565 123 17 1 76 1679488282 1679488283 ACCEPT OK
2 858966410158 eni-0f7ae9ee760bd16d2 89.248.165.194 10.0.1.176 49837 9755 6 1 40 1679488295 1679488320 REJECT OK
2 858966410158 eni-0f7ae9ee760bd16d2 162.142.125.184 10.0.1.176 52252 12549 6 1 44 1679488295 1679488320 REJECT OK
2 858966410158 eni-0f7ae9ee760bd16d2 10.0.1.176 65.182.224.60 52809 123 17 1 76 1679488295 1679488320 ACCEPT OK
2 858966410158 eni-0f7ae9ee760bd16d2 64.62.197.4 10.0.1.176 38207 5222 6 1 40 1679488295 1679488320 REJECT OK
2 858966410158 eni-0f7ae9ee760bd16d2 89.248.163.76 10.0.1.176 43307 10681 6 1 40 1679488295 1679488320 REJECT OK
2 858966410158 eni-0f7ae9ee760bd16d2 91.240.118.77 10.0.1.176 48026 9580 6 1 40 1679488295 1679488320 REJECT OK
2 858966410158 eni-0f7ae9ee760bd16d2 162.142.125.182 10.0.1.176 11136 8888 6 1 44 1679488295 1679488320 REJECT OK
2 858966410158 eni-0f7ae9ee760bd16d2 65.182.224.60 10.0.1.176 123 52809 17 1 76 1679488295 1679488320 ACCEPT OK
2 858966410158 eni-03ad9499cfe7dd531 121.151.29.47 10.0.1.26 32631 23 6 3 120 1679488301 1679488325 REJECT OK
2 858966410158 eni-03ad9499cfe7dd531 52.94.209.3 10.0.1.26 443 44136 6 44 13251 1679488301 1679488325 ACCEPT OK
2 858966410158 eni-03ad9499cfe7dd531 94.102.61.32 10.0.1.26 49575 631 17 1 57 1679488301 1679488325 REJECT OK
2 858966410158 eni-03ad9499cfe7dd531 10.0.1.26 52.94.209.3 44136 443 6 49 23778 1679488301 1679488325 ACCEPT OK
2 858966410158 eni-03ad9499cfe7dd531 10.0.1.26 52.94.185.29 46582 443 6 23 11631 1679488301 1679488325 ACCEPT OK
2 858966410158 eni-03ad9499cfe7dd531 143.42.227.158 10.0.1.26 61000 448 6 1 40 1679488301 1679488325 REJECT OK
2 858966410158 eni-03ad9499cfe7dd531 162.142.125.177 10.0.1.26 39605 9203 6 1 44 1679488301 1679488325 REJECT OK
2 858966410158 eni-03ad9499cfe7dd531 52.94.185.29 10.0.1.26 443 46582 6 17 3686 1679488301 1679488325 ACCEPT OK
2 858966410158 eni-03ad9499cfe7dd531 198.199.112.86 10.0.1.26 41387 9200 6 1 40 1679488301 1679488325 REJECT OK
2 858966410158 eni-03ad9499cfe7dd531 38.17.55.196 10.0.1.26 123 34162 17 1 76 1679488239 1679488264 ACCEPT OK
2 858966410158 eni-03ad9499cfe7dd531 121.151.29.47 10.0.1.26 32631 23 6 3 120 1679488239 1679488264 REJECT OK
2 858966410158 eni-03ad9499cfe7dd531 10.0.1.26 52.94.185.29 46582 443 6 28 12258 1679488239 1679488264 ACCEPT OK
2 858966410158 eni-03ad9499cfe7dd531 10.0.1.26 38.17.55.196 34162 123 17 1 76 1679488239 1679488264 ACCEPT OK
2 858966410158 eni-03ad9499cfe7dd531 111.53.24.238 10.0.1.26 33067 7001 6 1 40 1679488239 1679488264 REJECT OK
2 858966410158 eni-03ad9499cfe7dd531 162.142.125.178 10.0.1.26 38559 8445 6 1 44 1679488239 1679488264 REJECT OK
2 858966410158 eni-03ad9499cfe7dd531 94.102.61.3 10.0.1.26 48944 9242 6 1 44 1679488239 1679488264 REJECT OK
2 858966410158 eni-03ad9499cfe7dd531 89.248.163.15 10.0.1.26 43282 13693 6 1 40 1679488239 1679488264 REJECT OK
2 858966410158 eni-03ad9499cfe7dd531 52.94.185.29 10.0.1.26 443 46582 6 28 9636 1679488239 1679488264 ACCEPT OK
2 858966410158 eni-0f7ae9ee760bd16d2 89.248.165.184 10.0.1.176 41119 27762 6 1 40 1679488322 1679488348 REJECT OK
2 858966410158 eni-0f7ae9ee760bd16d2 162.142.125.85 10.0.1.176 1358 12422 6 1 44 1679488322 1679488348 REJECT OK
2 858966410158 eni-0f7ae9ee760bd16d2 190.136.50.38 10.0.1.176 8081 1027 17 1 94 1679488322 1679488348 REJECT OK
2 858966410158 eni-0f7ae9ee760bd16d2 143.42.189.29 10.0.1.176 61000 110 6 1 40 1679488322 1679488348 REJECT OK
2 858966410158 eni-0f7ae9ee760bd16d2 89.248.163.16 10.0.1.176 43290 12454 6 1 40 1679488322 1679488348 REJECT OK
2 858966410158 eni-0f7ae9ee760bd16d2 89.248.163.16 10.0.1.176 43290 5964 6 1 40 1679488322 1679488348 REJECT OK
2 858966410158 eni-03ad9499cfe7dd531 10.0.1.26 52.94.209.3 60724 443 6 51 23889 1679488330 1679488352 ACCEPT OK
2 858966410158 eni-03ad9499cfe7dd531 66.228.41.80 10.0.1.26 61000 994 6 1 40 1679488330 1679488352 REJECT OK
2 858966410158 eni-03ad9499cfe7dd531 124.222.4.6 10.0.1.26 52466 6379 6 1 60 1679488330 1679488352 REJECT OK
2 858966410158 eni-03ad9499cfe7dd531 121.151.29.47 10.0.1.26 32631 23 6 1 40 1679488330 1679488352 REJECT OK
2 858966410158 eni-03ad9499cfe7dd531 162.142.125.185 10.0.1.26 37726 21286 6 1 44 1679488330 1679488352 REJECT OK
2 858966410158 eni-03ad9499cfe7dd531 52.94.185.29 10.0.1.26 443 48748 6 7 906 1679488330 1679488352 ACCEPT OK
2 858966410158 eni-03ad9499cfe7dd531 62.233.50.217 10.0.1.26 48102 3150 6 1 40 1679488330 1679488352 REJECT OK
2 858966410158 eni-03ad9499cfe7dd531 89.248.163.74 10.0.1.26 43314 9868 6 1 40 1679488330 1679488352 REJECT OK
2 858966410158 eni-03ad9499cfe7dd531 52.94.177.134 10.0.1.26 443 60944 6 22 8206 1679488330 1679488352 ACCEPT OK
2 858966410158 eni-03ad9499cfe7dd531 10.0.1.26 52.94.185.29 48748 443 6 7 2447 1679488330 1679488352 ACCEPT OK
2 858966410158 eni-03ad9499cfe7dd531 52.94.209.3 10.0.1.26 443 60724 6 47 13402 1679488330 1679488352 ACCEPT OK
2 858966410158 eni-03ad9499cfe7dd531 94.102.61.3 10.0.1.26 45222 9243 6 1 44 1679488330 1679488352 REJECT OK
2 858966410158 eni-03ad9499cfe7dd531 10.0.1.26 52.94.177.134 60944 443 6 21 7706 1679488330 1679488352 ACCEPT OK
