version account-id interface-id srcaddr dstaddr srcport dstport protocol packets bytes start end action log-status
2 858966410158 eni-03ad9499cfe7dd531 45.63.54.13 10.0.1.26 123 54552 17 1 76 1679488568 1679488587 ACCEPT OK
2 858966410158 eni-03ad9499cfe7dd531 172.104.19.160 10.0.1.26 60294 2222 6 1 44 1679488568 1679488587 REJECT OK
2 858966410158 eni-03ad9499cfe7dd531 52.94.212.197 10.0.1.26 443 38562 6 20 4401 1679488568 1679488587 ACCEPT OK
2 858966410158 eni-03ad9499cfe7dd531 10.0.1.26 45.63.54.13 54552 123 17 1 76 1679488568 1679488587 ACCEPT OK
2 858966410158 eni-03ad9499cfe7dd531 10.0.1.26 52.94.210.188 52824 443 6 39 20815 1679488568 1679488587 ACCEPT OK
2 858966410158 eni-03ad9499cfe7dd531 10.0.1.26 52.94.212.197 38562 443 6 27 13927 1679488568 1679488587 ACCEPT OK
2 858966410158 eni-03ad9499cfe7dd531 52.94.185.45 10.0.1.26 443 55148 6 41 12536 1679488568 1679488587 ACCEPT OK
2 858966410158 eni-03ad9499cfe7dd531 10.0.1.26 52.94.210.188 44636 443 6 48 23738 1679488568 1679488587 ACCEPT OK
2 858966410158 eni-03ad9499cfe7dd531 52.94.210.188 10.0.1.26 443 52824 6 29 6546 1679488568 1679488587 ACCEPT OK
2 858966410158 eni-03ad9499cfe7dd531 154.89.5.92 10.0.1.26 58914 5432 6 1 44 1679488568 1679488587 REJECT OK
2 858966410158 eni-03ad9499cfe7dd531 38.110.42.253 10.0.1.26 0 0 1 1 30 1679488568 1679488587 REJECT OK
2 858966410158 eni-03ad9499cfe7dd531 192.241.193.100 10.0.1.26 42658 8081 6 1 40 1679488568 1679488587 REJECT OK
2 858966410158 eni-03ad9499cfe7dd531 10.0.1.26 52.94.185.45 55148 443 6 45 21482 1679488568 1679488587 ACCEPT OK
2 858966410158 eni-03ad9499cfe7dd531 52.94.210.188 10.0.1.26 443 44636 6 45 13291 1679488568 1679488587 ACCEPT OK
2 858966410158 eni-03ad9499cfe7dd531 162.142.125.179 10.0.1.26 4044 21314 6 1 44 1679488568 1679488587 REJECT OK
2 858966410158 eni-0e7aabe80d29089d5 - - - - - - - 1679488577 1679488608 - NODATA
2 858966410158 eni-03ad9499cfe7dd531 167.94.138.129 10.0.1.26 45074 5602 6 1 44 1679488599 1679488626 REJECT OK
2 858966410158 eni-03ad9499cfe7dd531 162.142.125.183 10.0.1.26 32425 8058 6 1 44 1679488599 1679488626 REJECT OK
2 858966410158 eni-03ad9499cfe7dd531 89.248.163.15 10.0.1.26 43282 10439 6 1 40 1679488599 1679488626 REJECT OK
2 858966410158 eni-03ad9499cfe7dd531 89.248.163.74 10.0.1.26 43314 9374 6 1 40 1679488599 1679488626 REJECT OK
2 858966410158 eni-03ad9499cfe7dd531 45.33.66.11 10.0.1.26 61000 993 6 1 40 1679488599 1679488626 REJECT OK
2 858966410158 eni-03ad9499cfe7dd531 121.151.29.47 10.0.1.26 32631 23 6 1 40 1679488599 1679488626 REJECT OK
2 858966410158 eni-03ad9499cfe7dd531 91.240.118.224 10.0.1.26 47904 5265 6 1 40 1679488599 1679488626 REJECT OK
2 858966410158 eni-0f7ae9ee760bd16d2 162.142.125.176 10.0.1.176 39020 12505 6 1 44 1679488569 1679488588 REJECT OK
2 858966410158 eni-0f7ae9ee760bd16d2 80.66.77.236 10.0.1.176 43297 34567 6 1 40 1679488569 1679488588 REJECT OK
2 858966410158 eni-0f7ae9ee760bd16d2 89.248.165.166 10.0.1.176 51628 3367 6 1 40 1679488569 1679488588 REJECT OK
2 858966410158 eni-0f7ae9ee760bd16d2 162.142.125.185 10.0.1.176 3435 8140 6 1 44 1679488569 1679488588 REJECT OK
2 858966410158 eni-0f7ae9ee760bd16d2 162.142.125.179 10.0.1.176 12204 40029 6 1 44 1679488596 1679488615 REJECT OK
2 858966410158 eni-0f7ae9ee760bd16d2 167.248.133.150 10.0.1.176 34185 1455 6 1 44 1679488596 1679488615 REJECT OK
2 858966410158 eni-0f7ae9ee760bd16d2 154.89.5.92 10.0.1.176 58914 8090 6 1 44 1679488596 1679488615 REJECT OK
2 858966410158 eni-0f7ae9ee760bd16d2 212.70.149.38 10.0.1.176 50413 7574 6 1 40 1679488596 1679488615 REJECT OK
2 858966410158 eni-0f7ae9ee760bd16d2 62.233.50.217 10.0.1.176 48102 3608 6 1 40 1679488596 1679488615 REJECT OK
2 858966410158 eni-03ad9499cfe7dd531 52.94.185.45 10.0.1.26 443 59104 6 47 13402 1679488663 1679488686 ACCEPT OK
2 858966410158 eni-03ad9499cfe7dd531 121.151.29.47 10.0.1.26 32631 23 6 2 80 1679488663 1679488686 REJECT OK
2 858966410158 eni-03ad9499cfe7dd531 10.0.1.26 52.94.185.45 59104 443 6 51 23889 1679488663 1679488686 ACCEPT OK
2 858966410158 eni-03ad9499cfe7dd531 52.94.184.189 10.0.1.26 443 36358 6 45 13322 1679488663 1679488686 ACCEPT OK
2 858966410158 eni-03ad9499cfe7dd531 10.0.1.26 52.94.176.105 47870 443 6 36 16850 1679488663 1679488686 ACCEPT OK
2 858966410158 eni-03ad9499cfe7dd531 185.94.111.1 10.0.1.26 37090 4786 6 1 40 1679488663 1679488686 REJECT OK
2 858966410158 eni-03ad9499cfe7dd531 78.128.113.78 10.0.1.26 42328 3046 6 1 40 1679488663 1679488686 REJECT OK
2 858966410158 eni-03ad9499cfe7dd531 10.0.1.26 52.94.184.189 36358 443 6 51 23889 1679488663 1679488686 ACCEPT OK
2 858966410158 eni-03ad9499cfe7dd531 52.94.176.105 10.0.1.26 443 47870 6 34 11066 1679488663 1679488686 ACCEPT OK
2 858966410158 eni-0f7ae9ee760bd16d2 183.136.225.42 10.0.1.176 8088 5061 6 1 44 1679488638 1679488645 REJECT OK
2 858966410158 eni-0f7ae9ee760bd16d2 91.240.118.77 10.0.1.176 48026 4139 6 1 40 1679488638 1679488645 REJECT OK
2 858966410158 eni-0e7aabe80d29089d5 - - - - - - - 1679488637 1679488668 - NODATA
2 858966410158 eni-0f7ae9ee760bd16d2 185.167.97.31 10.0.1.176 60988 2080 6 1 40 1679488651 1679488676 REJECT OK
2 858966410158 eni-0f7ae9ee760bd16d2 92.118.39.82 10.0.1.176 44561 8082 6 1 40 1679488651 1679488676 REJECT OK
2 858966410158 eni-0f7ae9ee760bd16d2 89.248.163.76 10.0.1.176 43307 10316 6 1 40 1679488651 1679488676 REJECT OK
