version account-id interface-id srcaddr dstaddr srcport dstport protocol packets bytes start end action log-status
2 858966410158 eni-03ad9499cfe7dd531 185.254.196.173 10.0.1.26 49210 80 6 7 682 1679488777 1679488805 ACCEPT OK
2 858966410158 eni-03ad9499cfe7dd531 10.0.1.26 52.94.176.107 38922 443 6 51 23889 1679488777 1679488805 ACCEPT OK
2 858966410158 eni-03ad9499cfe7dd531 10.0.1.26 185.254.196.173 80 47164 6 4 623 1679488777 1679488805 ACCEPT OK
2 858966410158 eni-03ad9499cfe7dd531 121.151.29.47 10.0.1.26 32631 23 6 3 120 1679488777 1679488805 REJECT OK
2 858966410158 eni-03ad9499cfe7dd531 185.254.196.173 10.0.1.26 47164 80 6 6 549 1679488777 1679488805 ACCEPT OK
2 858966410158 eni-03ad9499cfe7dd531 52.94.176.107 10.0.1.26 443 38922 6 48 13442 1679488777 1679488805 ACCEPT OK
2 858966410158 eni-03ad9499cfe7dd531 10.0.1.26 185.254.196.173 80 49210 6 5 636 1679488777 1679488805 ACCEPT OK
2 858966410158 eni-03ad9499cfe7dd531 162.142.125.181 10.0.1.26 7376 9189 6 1 44 1679488777 1679488805 REJECT OK
2 858966410158 eni-0f7ae9ee760bd16d2 89.248.163.16 10.0.1.176 43290 10826 6 1 40 1679488804 1679488820 REJECT OK
2 858966410158 eni-0f7ae9ee760bd16d2 89.248.163.16 10.0.1.176 43290 12519 6 1 40 1679488804 1679488820 REJECT OK
2 858966410158 eni-03ad9499cfe7dd531 121.151.29.47 10.0.1.26 32631 23 6 1 40 1679488806 1679488831 REJECT OK
2 858966410158 eni-03ad9499cfe7dd531 162.55.78.115 10.0.1.26 443 42054 6 2 88 1679488806 1679488831 REJECT OK
2 858966410158 eni-03ad9499cfe7dd531 52.94.176.107 10.0.1.26 443 57620 6 17 3686 1679488806 1679488831 ACCEPT OK
2 858966410158 eni-03ad9499cfe7dd531 10.0.1.26 52.94.176.107 57620 443 6 23 11631 1679488806 1679488831 ACCEPT OK
2 858966410158 eni-03ad9499cfe7dd531 10.0.1.26 52.94.185.29 32872 443 6 16 5370 1679488806 1679488831 ACCEPT OK
2 858966410158 eni-03ad9499cfe7dd531 10.0.1.26 52.94.184.189 56712 443 6 51 23889 1679488806 1679488831 ACCEPT OK
2 858966410158 eni-03ad9499cfe7dd531 52.94.184.189 10.0.1.26 443 44828 6 48 13442 1679488806 1679488831 ACCEPT OK
2 858966410158 eni-03ad9499cfe7dd531 52.94.184.189 10.0.1.26 443 56712 6 47 13402 1679488806 1679488831 ACCEPT OK
2 858966410158 eni-03ad9499cfe7dd531 52.94.185.29 10.0.1.26 443 32872 6 20 7531 1679488806 1679488831 ACCEPT OK
2 858966410158 eni-03ad9499cfe7dd531 10.0.1.26 52.94.184.189 44828 443 6 51 23889 1679488806 1679488831 ACCEPT OK
2 858966410158 eni-0e7aabe80d29089d5 - - - - - - - 1679488817 1679488848 - NODATA
2 858966410158 eni-03ad9499cfe7dd531 178.45.254.214 10.0.1.26 55274 445 6 1 52 1679488853 1679488866 REJECT OK
2 858966410158 eni-03ad9499cfe7dd531 121.151.29.47 10.0.1.26 32631 23 6 1 40 1679488853 1679488866 REJECT OK
2 858966410158 eni-03ad9499cfe7dd531 89.248.163.219 10.0.1.26 48846 22 6 1 40 1679488853 1679488866 REJECT OK
2 858966410158 eni-03ad9499cfe7dd531 89.248.163.74 10.0.1.26 43314 12142 6 1 40 1679488853 1679488866 REJECT OK
2 858966410158 eni-0f7ae9ee760bd16d2 194.26.29.169 10.0.1.176 47576 6752 6 1 40 1679488838 1679488860 REJECT OK
2 858966410158 eni-0f7ae9ee760bd16d2 89.248.165.166 10.0.1.176 51628 3314 6 1 40 1679488838 1679488860 REJECT OK
2 858966410158 eni-0f7ae9ee760bd16d2 162.142.125.188 10.0.1.176 60303 21 6 1 44 1679488838 1679488860 REJECT OK
2 858966410158 eni-0f7ae9ee760bd16d2 79.124.56.118 10.0.1.176 58054 31072 6 1 40 1679488838 1679488860 REJECT OK
