version account-id interface-id srcaddr dstaddr srcport dstport protocol packets bytes start end action log-status
2 858966410158 eni-0f7ae9ee760bd16d2 162.142.125.188 10.0.1.176 38392 9997 6 1 44 1679488866 1679488890 REJECT OK
2 858966410158 eni-0f7ae9ee760bd16d2 162.142.125.179 10.0.1.176 22911 9215 6 1 44 1679488866 1679488890 REJECT OK
2 858966410158 eni-0f7ae9ee760bd16d2 163.123.142.237 10.0.1.176 44829 4443 6 1 40 1679488866 1679488890 REJECT OK
2 858966410158 eni-0f7ae9ee760bd16d2 185.56.80.40 10.0.1.176 51365 8089 6 1 40 1679488866 1679488890 REJECT OK
2 858966410158 eni-03ad9499cfe7dd531 52.94.185.29 10.0.1.26 443 32872 6 28 5911 1679488867 1679488895 ACCEPT OK
2 858966410158 eni-03ad9499cfe7dd531 89.248.163.219 10.0.1.26 48846 23 6 1 40 1679488867 1679488895 REJECT OK
2 858966410158 eni-03ad9499cfe7dd531 185.167.97.179 10.0.1.26 45622 3389 6 1 40 1679488867 1679488895 REJECT OK
2 858966410158 eni-03ad9499cfe7dd531 89.248.163.200 10.0.1.26 46341 9001 6 1 40 1679488867 1679488895 REJECT OK
2 858966410158 eni-03ad9499cfe7dd531 52.119.171.48 10.0.1.26 443 57522 6 18 6655 1679488867 1679488895 ACCEPT OK
2 858966410158 eni-03ad9499cfe7dd531 52.94.177.136 10.0.1.26 443 41402 6 46 13362 1679488867 1679488895 ACCEPT OK
2 858966410158 eni-03ad9499cfe7dd531 121.151.29.47 10.0.1.26 32631 23 6 3 120 1679488867 1679488895 REJECT OK
2 858966410158 eni-03ad9499cfe7dd531 143.42.189.38 10.0.1.26 61000 110 6 1 40 1679488867 1679488895 REJECT OK
2 858966410158 eni-03ad9499cfe7dd531 89.248.165.197 10.0.1.26 44357 13083 6 1 40 1679488867 1679488895 REJECT OK
2 858966410158 eni-03ad9499cfe7dd531 10.0.1.26 52.94.185.29 32872 443 6 35 18519 1679488867 1679488895 ACCEPT OK
2 858966410158 eni-03ad9499cfe7dd531 194.26.29.195 10.0.1.26 47809 20100 6 1 40 1679488867 1679488895 REJECT OK
2 858966410158 eni-03ad9499cfe7dd531 10.0.1.26 52.119.171.48 57522 443 6 15 3132 1679488867 1679488895 ACCEPT OK
2 858966410158 eni-03ad9499cfe7dd531 10.0.1.26 52.94.177.136 41402 443 6 51 23889 1679488867 1679488895 ACCEPT OK
2 858966410158 eni-0e7aabe80d29089d5 - - - - - - - 1679488877 1679488908 - NODATA
2 858966410158 eni-03ad9499cfe7dd531 10.0.1.26 52.94.185.29 52178 443 6 28 12258 1679488898 1679488927 ACCEPT OK
2 858966410158 eni-03ad9499cfe7dd531 121.151.29.47 10.0.1.26 32631 23 6 3 120 1679488898 1679488927 REJECT OK
2 858966410158 eni-03ad9499cfe7dd531 10.0.1.26 38.17.55.196 56848 123 17 1 76 1679488898 1679488927 ACCEPT OK
2 858966410158 eni-03ad9499cfe7dd531 38.17.55.196 10.0.1.26 123 56848 17 1 76 1679488898 1679488927 ACCEPT OK
2 858966410158 eni-03ad9499cfe7dd531 162.142.125.182 10.0.1.26 5124 3479 6 1 44 1679488898 1679488927 REJECT OK
2 858966410158 eni-03ad9499cfe7dd531 52.94.185.29 10.0.1.26 443 52786 6 41 12536 1679488898 1679488927 ACCEPT OK
2 858966410158 eni-03ad9499cfe7dd531 205.185.124.93 10.0.1.26 57737 6666 6 1 40 1679488898 1679488927 REJECT OK
2 858966410158 eni-03ad9499cfe7dd531 10.0.1.26 52.94.185.29 52786 443 6 44 21442 1679488898 1679488927 ACCEPT OK
2 858966410158 eni-03ad9499cfe7dd531 10.0.1.26 52.94.177.136 38054 443 6 52 23929 1679488898 1679488927 ACCEPT OK
2 858966410158 eni-03ad9499cfe7dd531 52.94.185.29 10.0.1.26 443 52178 6 29 9676 1679488898 1679488927 ACCEPT OK
2 858966410158 eni-03ad9499cfe7dd531 52.94.177.136 10.0.1.26 443 38054 6 45 13322 1679488898 1679488927 ACCEPT OK
2 858966410158 eni-0f7ae9ee760bd16d2 89.248.165.187 10.0.1.176 41171 34412 6 1 40 1679488917 1679488918 REJECT OK
2 858966410158 eni-0f7ae9ee760bd16d2 89.248.165.166 10.0.1.176 51628 3326 6 1 40 1679488924 1679488944 REJECT OK
2 858966410158 eni-0f7ae9ee760bd16d2 167.248.133.147 10.0.1.176 51365 3001 6 1 44 1679488924 1679488944 REJECT OK
2 858966410158 eni-0f7ae9ee760bd16d2 23.147.230.11 10.0.1.176 33401 8088 6 1 40 1679488924 1679488944 REJECT OK
2 858966410158 eni-0f7ae9ee760bd16d2 162.142.125.191 10.0.1.176 62945 8848 6 1 44 1679488924 1679488944 REJECT OK
2 858966410158 eni-0f7ae9ee760bd16d2 193.57.40.49 10.0.1.176 47473 4072 6 1 40 1679488924 1679488944 REJECT OK
2 858966410158 eni-03ad9499cfe7dd531 162.142.125.181 10.0.1.26 8268 8159 6 1 44 1679488933 1679488939 REJECT OK
2 858966410158 eni-03ad9499cfe7dd531 121.151.29.47 10.0.1.26 32631 23 6 1 40 1679488933 1679488939 REJECT OK
2 858966410158 eni-03ad9499cfe7dd531 85.217.144.148 10.0.1.26 43273 170 6 1 40 1679488933 1679488939 REJECT OK
2 858966410158 eni-03ad9499cfe7dd531 52.94.185.29 10.0.1.26 443 52786 6 5 826 1679488962 1679488979 ACCEPT OK
2 858966410158 eni-03ad9499cfe7dd531 52.94.185.29 10.0.1.26 443 52178 6 17 3686 1679488962 1679488979 ACCEPT OK
2 858966410158 eni-03ad9499cfe7dd531 10.0.1.26 52.94.185.29 52178 443 6 23 11631 1679488962 1679488979 ACCEPT OK
2 858966410158 eni-03ad9499cfe7dd531 52.94.181.231 10.0.1.26 443 35042 6 48 13442 1679488962 1679488979 ACCEPT OK
2 858966410158 eni-03ad9499cfe7dd531 10.0.1.26 52.94.185.29 52786 443 6 7 2447 1679488962 1679488979 ACCEPT OK
2 858966410158 eni-03ad9499cfe7dd531 10.0.1.26 52.94.181.231 35042 443 6 51 23889 1679488962 1679488979 ACCEPT OK
2 858966410158 eni-0f7ae9ee760bd16d2 47.103.57.73 10.0.1.176 47454 6379 6 1 60 1679488974 1679488975 REJECT OK
2 858966410158 eni-0e7aabe80d29089d5 - - - - - - - 1679488937 1679488968 - NODATA
2 858966410158 eni-0f7ae9ee760bd16d2 220.135.177.191 10.0.1.176 59738 22 6 1 40 1679488993 1679489011 REJECT OK
2 858966410158 eni-0f7ae9ee760bd16d2 162.142.125.181 10.0.1.176 43715 15502 6 1 44 1679488993 1679489011 REJECT OK
