version account-id interface-id srcaddr dstaddr srcport dstport protocol packets bytes start end action log-status
2 858966410158 eni-03ad9499cfe7dd531 114.33.157.94 10.0.1.26 42188 23 6 1 40 1679489087 1679489103 REJECT OK
2 858966410158 eni-03ad9499cfe7dd531 89.248.163.74 10.0.1.26 43314 11235 6 1 40 1679489087 1679489103 REJECT OK
2 858966410158 eni-03ad9499cfe7dd531 10.0.1.26 45.79.111.167 38439 123 17 1 76 1679489087 1679489103 ACCEPT OK
2 858966410158 eni-03ad9499cfe7dd531 10.0.1.26 52.94.177.132 57144 443 6 19 9335 1679489087 1679489103 ACCEPT OK
2 858966410158 eni-03ad9499cfe7dd531 45.79.111.167 10.0.1.26 123 38439 17 1 76 1679489087 1679489103 ACCEPT OK
2 858966410158 eni-03ad9499cfe7dd531 162.142.125.187 10.0.1.26 35386 9123 6 1 44 1679489087 1679489103 REJECT OK
2 858966410158 eni-03ad9499cfe7dd531 10.0.1.26 52.94.177.133 51808 443 6 13 3114 1679489087 1679489103 ACCEPT OK
2 858966410158 eni-03ad9499cfe7dd531 121.151.29.47 10.0.1.26 32631 23 6 1 40 1679489087 1679489103 REJECT OK
2 858966410158 eni-03ad9499cfe7dd531 52.94.177.133 10.0.1.26 443 51808 6 16 6776 1679489087 1679489103 ACCEPT OK
2 858966410158 eni-03ad9499cfe7dd531 195.19.99.29 10.0.1.26 60000 7800 6 1 40 1679489087 1679489103 REJECT OK
2 858966410158 eni-03ad9499cfe7dd531 52.94.177.132 10.0.1.26 443 57144 6 16 3051 1679489087 1679489103 ACCEPT OK
2 858966410158 eni-0f7ae9ee760bd16d2 89.248.163.16 10.0.1.176 43290 10720 6 1 40 1679489105 1679489127 REJECT OK
2 858966410158 eni-0f7ae9ee760bd16d2 79.124.56.118 10.0.1.176 58054 14452 6 1 40 1679489105 1679489127 REJECT OK
2 858966410158 eni-0f7ae9ee760bd16d2 167.94.138.138 10.0.1.176 35679 8908 6 1 44 1679489105 1679489127 REJECT OK
2 858966410158 eni-03ad9499cfe7dd531 52.94.177.133 10.0.1.26 443 38574 6 46 13362 1679489106 1679489135 ACCEPT OK
2 858966410158 eni-03ad9499cfe7dd531 59.148.170.250 10.0.1.26 63013 23 6 1 40 1679489106 1679489135 REJECT OK
2 858966410158 eni-03ad9499cfe7dd531 52.94.181.228 10.0.1.26 443 39040 6 5 826 1679489106 1679489135 ACCEPT OK
2 858966410158 eni-03ad9499cfe7dd531 121.151.29.47 10.0.1.26 32631 23 6 2 80 1679489106 1679489135 REJECT OK
2 858966410158 eni-03ad9499cfe7dd531 10.0.1.26 52.94.177.133 38574 443 6 52 23929 1679489106 1679489135 ACCEPT OK
2 858966410158 eni-03ad9499cfe7dd531 10.0.1.26 52.94.181.228 39040 443 6 7 2447 1679489106 1679489135 ACCEPT OK
2 858966410158 eni-0e7aabe80d29089d5 - - - - - - - 1679489117 1679489148 - NODATA
2 858966410158 eni-03ad9499cfe7dd531 10.0.1.26 52.94.177.133 51808 443 6 39 20815 1679489141 1679489163 ACCEPT OK
2 858966410158 eni-03ad9499cfe7dd531 52.94.177.133 10.0.1.26 443 51808 6 29 6546 1679489141 1679489163 ACCEPT OK
2 858966410158 eni-03ad9499cfe7dd531 162.142.125.184 10.0.1.26 15008 999 6 1 44 1679489141 1679489163 REJECT OK
2 858966410158 eni-03ad9499cfe7dd531 10.0.1.26 52.94.210.188 47486 443 6 51 23889 1679489141 1679489163 ACCEPT OK
2 858966410158 eni-03ad9499cfe7dd531 10.0.1.26 38.17.55.196 41765 123 17 1 76 1679489141 1679489163 ACCEPT OK
2 858966410158 eni-03ad9499cfe7dd531 10.0.1.26 52.94.210.188 37540 443 6 44 21442 1679489141 1679489163 ACCEPT OK
2 858966410158 eni-03ad9499cfe7dd531 52.94.210.188 10.0.1.26 443 37540 6 42 12576 1679489141 1679489163 ACCEPT OK
2 858966410158 eni-03ad9499cfe7dd531 52.94.210.188 10.0.1.26 443 47486 6 47 13402 1679489141 1679489163 ACCEPT OK
2 858966410158 eni-03ad9499cfe7dd531 89.248.163.15 10.0.1.26 43282 10079 6 1 40 1679489141 1679489163 REJECT OK
2 858966410158 eni-03ad9499cfe7dd531 66.228.41.224 10.0.1.26 61000 587 6 1 40 1679489141 1679489163 REJECT OK
2 858966410158 eni-03ad9499cfe7dd531 162.142.125.188 10.0.1.26 65068 50580 6 1 44 1679489141 1679489163 REJECT OK
2 858966410158 eni-03ad9499cfe7dd531 38.17.55.196 10.0.1.26 123 41765 17 1 76 1679489141 1679489163 ACCEPT OK
