version account-id interface-id srcaddr dstaddr srcport dstport protocol packets bytes start end action log-status
2 858966410158 eni-03ad9499cfe7dd531 10.0.1.26 52.94.176.107 54378 443 6 52 23929 1679489389 1679489405 ACCEPT OK
2 858966410158 eni-03ad9499cfe7dd531 52.94.176.107 10.0.1.26 443 54378 6 48 13442 1679489389 1679489405 ACCEPT OK
2 858966410158 eni-03ad9499cfe7dd531 162.142.125.191 10.0.1.26 43706 3155 6 1 44 1679489389 1679489405 REJECT OK
2 858966410158 eni-03ad9499cfe7dd531 162.142.125.179 10.0.1.26 58887 7010 6 1 44 1679489389 1679489405 REJECT OK
2 858966410158 eni-03ad9499cfe7dd531 121.151.29.47 10.0.1.26 32631 23 6 2 80 1679489389 1679489405 REJECT OK
2 858966410158 eni-03ad9499cfe7dd531 185.156.73.154 10.0.1.26 41152 19426 6 1 40 1679489389 1679489405 REJECT OK
2 858966410158 eni-03ad9499cfe7dd531 84.221.18.17 10.0.1.26 52924 22 6 1 44 1679489389 1679489405 REJECT OK
2 858966410158 eni-03ad9499cfe7dd531 162.142.125.185 10.0.1.26 59254 8060 6 1 44 1679489389 1679489405 REJECT OK
2 858966410158 eni-0e7aabe80d29089d5 - - - - - - - 1679489417 1679489448 - NODATA
2 858966410158 eni-03ad9499cfe7dd531 89.248.165.192 10.0.1.26 45124 20379 6 1 40 1679489445 1679489466 REJECT OK
2 858966410158 eni-03ad9499cfe7dd531 92.118.39.92 10.0.1.26 57530 9000 6 1 40 1679489445 1679489466 REJECT OK
2 858966410158 eni-03ad9499cfe7dd531 94.102.61.3 10.0.1.26 49740 9245 6 1 44 1679489445 1679489466 REJECT OK
2 858966410158 eni-03ad9499cfe7dd531 192.241.216.12 10.0.1.26 60785 1400 6 1 40 1679489445 1679489466 REJECT OK
2 858966410158 eni-03ad9499cfe7dd531 143.42.227.215 10.0.1.26 61000 2323 6 1 40 1679489445 1679489466 REJECT OK
2 858966410158 eni-0f7ae9ee760bd16d2 134.209.32.44 10.0.1.176 36002 7443 6 1 44 1679489438 1679489456 REJECT OK
2 858966410158 eni-0f7ae9ee760bd16d2 162.142.125.177 10.0.1.176 25933 110 6 1 44 1679489438 1679489456 REJECT OK
2 858966410158 eni-0f7ae9ee760bd16d2 89.248.165.221 10.0.1.176 48495 53041 6 1 40 1679489438 1679489456 REJECT OK
2 858966410158 eni-0f7ae9ee760bd16d2 194.26.29.169 10.0.1.176 47576 4721 6 1 40 1679489406 1679489418 REJECT OK
2 858966410158 eni-0f7ae9ee760bd16d2 194.26.29.86 10.0.1.176 48220 7637 6 1 40 1679489406 1679489418 REJECT OK
2 858966410158 eni-0f7ae9ee760bd16d2 45.128.232.118 10.0.1.176 59618 8080 6 1 40 1679489406 1679489418 REJECT OK
2 858966410158 eni-0f7ae9ee760bd16d2 180.214.239.113 10.0.1.176 48011 3389 6 1 40 1679489406 1679489418 REJECT OK
2 858966410158 eni-03ad9499cfe7dd531 52.94.176.107 10.0.1.26 443 49398 6 20 7531 1679489408 1679489435 ACCEPT OK
2 858966410158 eni-03ad9499cfe7dd531 10.0.1.26 52.94.176.107 49398 443 6 17 5410 1679489408 1679489435 ACCEPT OK
2 858966410158 eni-03ad9499cfe7dd531 10.0.1.26 38.17.55.196 51580 123 17 1 76 1679489408 1679489435 ACCEPT OK
2 858966410158 eni-03ad9499cfe7dd531 38.17.55.196 10.0.1.26 123 51580 17 1 76 1679489408 1679489435 ACCEPT OK
2 858966410158 eni-03ad9499cfe7dd531 89.248.165.22 10.0.1.26 41749 42845 6 1 40 1679489408 1679489435 REJECT OK
2 858966410158 eni-03ad9499cfe7dd531 52.94.176.107 10.0.1.26 443 48796 6 46 13362 1679489408 1679489435 ACCEPT OK
2 858966410158 eni-03ad9499cfe7dd531 45.33.94.76 10.0.1.26 45958 443 6 1 44 1679489408 1679489435 REJECT OK
2 858966410158 eni-03ad9499cfe7dd531 31.214.243.101 10.0.1.26 40404 8088 6 1 40 1679489408 1679489435 REJECT OK
2 858966410158 eni-03ad9499cfe7dd531 121.151.29.47 10.0.1.26 32631 23 6 1 40 1679489408 1679489435 REJECT OK
2 858966410158 eni-03ad9499cfe7dd531 89.248.165.253 10.0.1.26 46094 4489 6 1 40 1679489408 1679489435 REJECT OK
2 858966410158 eni-03ad9499cfe7dd531 10.0.1.26 52.94.176.107 48796 443 6 51 23889 1679489408 1679489435 ACCEPT OK
2 858966410158 eni-03ad9499cfe7dd531 198.199.109.221 10.0.1.26 54159 1400 6 1 40 1679489408 1679489435 REJECT OK
