version account-id interface-id srcaddr dstaddr srcport dstport protocol packets bytes start end action log-status
2 858966410158 eni-03ad9499cfe7dd531 52.94.176.107 10.0.1.26 443 49398 6 31 6031 1679489468 1679489484 ACCEPT OK
2 858966410158 eni-03ad9499cfe7dd531 52.94.185.28 10.0.1.26 443 59306 6 49 13482 1679489468 1679489484 ACCEPT OK
2 858966410158 eni-03ad9499cfe7dd531 10.0.1.26 52.94.176.107 49398 443 6 35 18519 1679489468 1679489484 ACCEPT OK
2 858966410158 eni-03ad9499cfe7dd531 162.142.125.191 10.0.1.26 40164 16020 6 1 44 1679489468 1679489484 REJECT OK
2 858966410158 eni-03ad9499cfe7dd531 10.0.1.26 52.94.185.28 59306 443 6 52 23929 1679489468 1679489484 ACCEPT OK
2 858966410158 eni-03ad9499cfe7dd531 163.123.142.237 10.0.1.26 44829 41433 6 1 40 1679489468 1679489484 REJECT OK
2 858966410158 eni-03ad9499cfe7dd531 52.119.171.48 10.0.1.26 443 39234 6 20 6726 1679489468 1679489484 ACCEPT OK
2 858966410158 eni-03ad9499cfe7dd531 217.74.65.23 10.0.1.26 443 33633 6 3 156 1679489468 1679489484 REJECT OK
2 858966410158 eni-03ad9499cfe7dd531 10.0.1.26 52.94.185.28 32962 443 6 51 23889 1679489468 1679489484 ACCEPT OK
2 858966410158 eni-03ad9499cfe7dd531 52.94.185.28 10.0.1.26 443 32962 6 48 13442 1679489468 1679489484 ACCEPT OK
2 858966410158 eni-03ad9499cfe7dd531 10.0.1.26 52.119.171.48 39234 443 6 16 3172 1679489468 1679489484 ACCEPT OK
2 858966410158 eni-0f7ae9ee760bd16d2 107.170.237.24 10.0.1.176 45124 23 6 1 40 1679489461 1679489490 REJECT OK
2 858966410158 eni-0f7ae9ee760bd16d2 162.142.125.181 10.0.1.176 50809 9210 6 1 44 1679489461 1679489490 REJECT OK
2 858966410158 eni-0f7ae9ee760bd16d2 167.248.133.143 10.0.1.176 37722 40000 6 1 44 1679489461 1679489490 REJECT OK
2 858966410158 eni-0f7ae9ee760bd16d2 162.142.125.185 10.0.1.176 8344 8109 6 1 44 1679489461 1679489490 REJECT OK
2 858966410158 eni-0f7ae9ee760bd16d2 10.0.3.129 10.0.1.176 58756 123 17 1 76 1679489507 1679489508 REJECT OK
2 858966410158 eni-03ad9499cfe7dd531 194.26.29.169 10.0.1.26 47576 33911 6 1 40 1679489501 1679489526 REJECT OK
