version account-id interface-id srcaddr dstaddr srcport dstport protocol packets bytes start end action log-status
2 858966410158 eni-03ad9499cfe7dd531 45.33.66.11 10.0.1.26 61000 992 6 1 40 1679489676 1679489700 REJECT OK
2 858966410158 eni-03ad9499cfe7dd531 10.0.1.26 52.94.177.137 36382 443 6 51 23889 1679489676 1679489700 ACCEPT OK
2 858966410158 eni-03ad9499cfe7dd531 104.98.118.78 10.0.1.26 0 0 1 1 68 1679489676 1679489700 REJECT OK
2 858966410158 eni-03ad9499cfe7dd531 89.248.165.192 10.0.1.26 45124 21257 6 1 40 1679489676 1679489700 REJECT OK
2 858966410158 eni-03ad9499cfe7dd531 23.55.167.28 10.0.1.26 0 0 1 1 68 1679489676 1679489700 REJECT OK
2 858966410158 eni-03ad9499cfe7dd531 52.94.177.137 10.0.1.26 443 36382 6 45 13322 1679489676 1679489700 ACCEPT OK
2 858966410158 eni-03ad9499cfe7dd531 23.53.34.183 10.0.1.26 0 0 1 1 68 1679489676 1679489700 REJECT OK
2 858966410158 eni-03ad9499cfe7dd531 23.54.19.191 10.0.1.26 0 0 1 1 68 1679489676 1679489700 REJECT OK
2 858966410158 eni-03ad9499cfe7dd531 89.248.163.74 10.0.1.26 43314 6805 6 1 40 1679489676 1679489700 REJECT OK
2 858966410158 eni-0e7aabe80d29089d5 - - - - - - - 1679489717 1679489748 - NODATA
2 858966410158 eni-0f7ae9ee760bd16d2 89.248.165.22 10.0.1.176 41749 42555 6 1 40 1679489748 1679489760 REJECT OK
2 858966410158 eni-0f7ae9ee760bd16d2 113.191.72.52 10.0.1.176 61254 445 6 1 52 1679489748 1679489760 REJECT OK
2 858966410158 eni-0f7ae9ee760bd16d2 89.248.163.76 10.0.1.176 43307 11717 6 1 40 1679489748 1679489760 REJECT OK
2 858966410158 eni-03ad9499cfe7dd531 143.42.189.38 10.0.1.26 61000 5060 6 1 40 1679489710 1679489730 REJECT OK
2 858966410158 eni-03ad9499cfe7dd531 52.94.177.137 10.0.1.26 443 48954 6 2 111 1679489710 1679489730 ACCEPT OK
2 858966410158 eni-03ad9499cfe7dd531 162.142.125.176 10.0.1.26 5352 12358 6 1 44 1679489710 1679489730 REJECT OK
2 858966410158 eni-03ad9499cfe7dd531 52.94.181.231 10.0.1.26 443 36960 6 47 13402 1679489710 1679489730 ACCEPT OK
2 858966410158 eni-03ad9499cfe7dd531 23.219.181.228 10.0.1.26 0 0 1 1 68 1679489710 1679489730 REJECT OK
2 858966410158 eni-03ad9499cfe7dd531 10.0.1.26 52.94.177.137 48954 443 6 3 151 1679489710 1679489730 ACCEPT OK
2 858966410158 eni-03ad9499cfe7dd531 10.0.1.26 185.224.128.237 80 48755 6 2 88 1679489710 1679489730 ACCEPT OK
2 858966410158 eni-03ad9499cfe7dd531 121.151.29.47 10.0.1.26 32631 23 6 1 40 1679489710 1679489730 REJECT OK
2 858966410158 eni-03ad9499cfe7dd531 10.0.1.26 52.94.181.231 36960 443 6 51 23889 1679489710 1679489730 ACCEPT OK
2 858966410158 eni-03ad9499cfe7dd531 103.68.45.221 10.0.1.26 40199 23 6 1 44 1679489741 1679489752 REJECT OK
2 858966410158 eni-03ad9499cfe7dd531 89.248.163.15 10.0.1.26 43282 6189 6 1 40 1679489741 1679489752 REJECT OK
2 858966410158 eni-03ad9499cfe7dd531 167.94.145.22 10.0.1.26 54686 28931 6 1 44 1679489741 1679489752 REJECT OK
2 858966410158 eni-03ad9499cfe7dd531 52.94.181.231 10.0.1.26 443 60256 6 50 13522 1679489741 1679489752 ACCEPT OK
2 858966410158 eni-03ad9499cfe7dd531 10.0.1.26 52.94.181.231 60256 443 6 51 23889 1679489741 1679489752 ACCEPT OK
2 858966410158 eni-03ad9499cfe7dd531 85.217.144.231 10.0.1.26 56140 9001 6 1 40 1679489741 1679489752 REJECT OK
