version account-id interface-id srcaddr dstaddr srcport dstport protocol packets bytes start end action log-status
2 858966410158 eni-0f7ae9ee760bd16d2 162.142.125.184 10.0.1.176 41512 12431 6 1 44 1679489971 1679490001 REJECT OK
2 858966410158 eni-0f7ae9ee760bd16d2 162.142.125.186 10.0.1.176 30423 51001 6 1 44 1679489971 1679490001 REJECT OK
2 858966410158 eni-0f7ae9ee760bd16d2 85.217.145.45 10.0.1.176 51209 81 6 1 40 1679489971 1679490001 REJECT OK
2 858966410158 eni-03ad9499cfe7dd531 223.71.167.171 10.0.1.26 35974 2209 6 1 40 1679489978 1679490006 REJECT OK
2 858966410158 eni-03ad9499cfe7dd531 190.248.68.78 10.0.1.26 48397 1433 6 1 40 1679489978 1679490006 REJECT OK
2 858966410158 eni-03ad9499cfe7dd531 10.0.1.26 52.94.185.29 39248 443 6 51 23889 1679489978 1679490006 ACCEPT OK
2 858966410158 eni-03ad9499cfe7dd531 5.120.173.149 10.0.1.26 6258 443 6 2 120 1679489978 1679490006 REJECT OK
2 858966410158 eni-03ad9499cfe7dd531 5.120.173.149 10.0.1.26 6257 443 6 3 180 1679489978 1679490006 REJECT OK
2 858966410158 eni-03ad9499cfe7dd531 10.0.1.26 52.94.181.229 51286 443 6 11 4743 1679489978 1679490006 ACCEPT OK
2 858966410158 eni-03ad9499cfe7dd531 5.120.173.149 10.0.1.26 6256 443 6 3 180 1679489978 1679490006 REJECT OK
2 858966410158 eni-03ad9499cfe7dd531 89.248.163.15 10.0.1.26 43282 10990 6 1 40 1679489978 1679490006 REJECT OK
2 858966410158 eni-03ad9499cfe7dd531 52.94.181.229 10.0.1.26 443 51286 6 8 1541 1679489978 1679490006 ACCEPT OK
2 858966410158 eni-03ad9499cfe7dd531 121.151.29.47 10.0.1.26 32631 23 6 2 80 1679489978 1679490006 REJECT OK
2 858966410158 eni-03ad9499cfe7dd531 52.94.185.29 10.0.1.26 443 39248 6 45 13322 1679489978 1679490006 ACCEPT OK
2 858966410158 eni-03ad9499cfe7dd531 154.89.5.92 10.0.1.26 58914 1025 6 1 44 1679489978 1679490006 REJECT OK
2 858966410158 eni-0e7aabe80d29089d5 - - - - - - - 1679490017 1679490048 - NODATA
2 858966410158 eni-03ad9499cfe7dd531 5.120.173.149 10.0.1.26 6263 443 6 1 60 1679490038 1679490060 REJECT OK
2 858966410158 eni-03ad9499cfe7dd531 121.151.29.47 10.0.1.26 32631 23 6 2 80 1679490038 1679490060 REJECT OK
2 858966410158 eni-03ad9499cfe7dd531 10.0.1.26 52.94.185.29 43432 443 6 51 23889 1679490038 1679490060 ACCEPT OK
2 858966410158 eni-03ad9499cfe7dd531 10.0.1.26 52.94.176.106 60120 443 6 48 23738 1679490038 1679490060 ACCEPT OK
2 858966410158 eni-03ad9499cfe7dd531 172.104.4.139 10.0.1.26 61000 25 6 1 40 1679490038 1679490060 REJECT OK
2 858966410158 eni-03ad9499cfe7dd531 23.37.231.54 10.0.1.26 0 0 1 1 68 1679490038 1679490060 REJECT OK
2 858966410158 eni-03ad9499cfe7dd531 23.219.180.36 10.0.1.26 0 0 1 1 68 1679490038 1679490060 REJECT OK
2 858966410158 eni-03ad9499cfe7dd531 23.53.34.183 10.0.1.26 0 0 1 1 68 1679490038 1679490060 REJECT OK
2 858966410158 eni-03ad9499cfe7dd531 128.9.63.139 10.0.1.26 0 0 1 1 32 1679490038 1679490060 REJECT OK
2 858966410158 eni-03ad9499cfe7dd531 74.82.47.47 10.0.1.26 56488 8883 6 1 40 1679490038 1679490060 REJECT OK
2 858966410158 eni-03ad9499cfe7dd531 52.94.176.106 10.0.1.26 443 60120 6 43 13211 1679490038 1679490060 ACCEPT OK
2 858966410158 eni-03ad9499cfe7dd531 52.94.185.29 10.0.1.26 443 43432 6 47 13402 1679490038 1679490060 ACCEPT OK
2 858966410158 eni-03ad9499cfe7dd531 117.95.53.16 10.0.1.26 1040 23 6 1 40 1679490038 1679490060 REJECT OK
2 858966410158 eni-03ad9499cfe7dd531 195.169.125.251 10.0.1.26 0 0 1 1 32 1679490038 1679490060 REJECT OK
2 858966410158 eni-03ad9499cfe7dd531 5.120.173.149 10.0.1.26 6262 443 6 4 240 1679490038 1679490060 REJECT OK
2 858966410158 eni-03ad9499cfe7dd531 38.17.55.196 10.0.1.26 123 42315 17 1 76 1679490038 1679490060 ACCEPT OK
2 858966410158 eni-03ad9499cfe7dd531 10.0.1.26 38.17.55.196 42315 123 17 1 76 1679490038 1679490060 ACCEPT OK
2 858966410158 eni-03ad9499cfe7dd531 104.80.88.31 10.0.1.26 0 0 1 1 68 1679490038 1679490060 REJECT OK
2 858966410158 eni-03ad9499cfe7dd531 104.86.182.79 10.0.1.26 0 0 1 1 68 1679490038 1679490060 REJECT OK
2 858966410158 eni-03ad9499cfe7dd531 62.204.41.80 10.0.1.26 48061 8401 6 1 40 1679490038 1679490060 REJECT OK
2 858966410158 eni-03ad9499cfe7dd531 23.40.63.174 10.0.1.26 0 0 1 1 68 1679490038 1679490060 REJECT OK
2 858966410158 eni-0f7ae9ee760bd16d2 162.142.125.184 10.0.1.176 1254 6006 6 1 44 1679490033 1679490052 REJECT OK
2 858966410158 eni-0f7ae9ee760bd16d2 89.248.163.16 10.0.1.176 43290 6016 6 1 40 1679490033 1679490052 REJECT OK
2 858966410158 eni-0f7ae9ee760bd16d2 176.221.147.74 10.0.1.176 4349 23 6 1 40 1679490033 1679490052 REJECT OK
2 858966410158 eni-0f7ae9ee760bd16d2 216.218.206.76 10.0.1.176 36028 1883 6 1 40 1679490033 1679490052 REJECT OK
2 858966410158 eni-0f7ae9ee760bd16d2 194.26.29.86 10.0.1.176 48220 6548 6 1 40 1679490033 1679490052 REJECT OK
