version account-id interface-id srcaddr dstaddr srcport dstport protocol packets bytes start end action log-status
2 858966410158 eni-03ad9499cfe7dd531 185.254.196.238 10.0.1.26 50002 8080 6 1 40 1679490008 1679490034 REJECT OK
2 858966410158 eni-03ad9499cfe7dd531 51.158.69.2 10.0.1.26 47145 25565 6 1 40 1679490008 1679490034 REJECT OK
2 858966410158 eni-03ad9499cfe7dd531 52.94.185.29 10.0.1.26 443 42952 6 46 13362 1679490008 1679490034 ACCEPT OK
2 858966410158 eni-03ad9499cfe7dd531 10.0.1.26 52.94.185.29 42952 443 6 52 23929 1679490008 1679490034 ACCEPT OK
2 858966410158 eni-03ad9499cfe7dd531 5.120.173.149 10.0.1.26 6256 443 6 1 60 1679490008 1679490034 REJECT OK
2 858966410158 eni-03ad9499cfe7dd531 5.120.173.149 10.0.1.26 6259 443 6 2 120 1679490008 1679490034 REJECT OK
2 858966410158 eni-03ad9499cfe7dd531 5.120.173.149 10.0.1.26 6257 443 6 1 60 1679490008 1679490034 REJECT OK
2 858966410158 eni-03ad9499cfe7dd531 5.120.173.149 10.0.1.26 6260 443 6 2 120 1679490008 1679490034 REJECT OK
2 858966410158 eni-03ad9499cfe7dd531 52.94.176.106 10.0.1.26 443 59290 6 43 12616 1679490008 1679490034 ACCEPT OK
2 858966410158 eni-03ad9499cfe7dd531 5.120.173.149 10.0.1.26 6261 443 6 1 60 1679490008 1679490034 REJECT OK
2 858966410158 eni-03ad9499cfe7dd531 5.120.173.149 10.0.1.26 6258 443 6 2 120 1679490008 1679490034 REJECT OK
2 858966410158 eni-03ad9499cfe7dd531 10.0.1.26 52.94.176.106 59290 443 6 44 21442 1679490008 1679490034 ACCEPT OK
2 858966410158 eni-0e7aabe80d29089d5 - - - - - - - 1679490077 1679490108 - NODATA
2 858966410158 eni-03ad9499cfe7dd531 52.94.176.106 10.0.1.26 443 59290 6 5 826 1679490067 1679490097 ACCEPT OK
2 858966410158 eni-03ad9499cfe7dd531 23.44.205.94 10.0.1.26 0 0 1 1 68 1679490067 1679490097 REJECT OK
2 858966410158 eni-03ad9499cfe7dd531 10.0.1.26 185.254.196.238 80 50002 6 1 44 1679490067 1679490097 ACCEPT OK
2 858966410158 eni-03ad9499cfe7dd531 10.0.1.26 52.119.167.123 39374 443 6 15 3132 1679490067 1679490097 ACCEPT OK
2 858966410158 eni-03ad9499cfe7dd531 185.254.196.238 10.0.1.26 50002 80 6 2 80 1679490067 1679490097 ACCEPT OK
2 858966410158 eni-03ad9499cfe7dd531 185.200.116.70 10.0.1.26 54280 1723 6 1 40 1679490067 1679490097 REJECT OK
2 858966410158 eni-03ad9499cfe7dd531 212.70.149.38 10.0.1.26 50413 7681 6 1 40 1679490067 1679490097 REJECT OK
2 858966410158 eni-03ad9499cfe7dd531 23.219.180.36 10.0.1.26 0 0 1 1 68 1679490067 1679490097 REJECT OK
2 858966410158 eni-03ad9499cfe7dd531 52.119.167.123 10.0.1.26 443 39374 6 18 6655 1679490067 1679490097 ACCEPT OK
2 858966410158 eni-03ad9499cfe7dd531 23.223.55.151 10.0.1.26 0 0 1 1 68 1679490067 1679490097 REJECT OK
2 858966410158 eni-03ad9499cfe7dd531 121.151.29.47 10.0.1.26 32631 23 6 6 240 1679490067 1679490097 REJECT OK
2 858966410158 eni-03ad9499cfe7dd531 10.0.1.26 52.94.176.106 59290 443 6 7 2447 1679490067 1679490097 ACCEPT OK
2 858966410158 eni-03ad9499cfe7dd531 162.142.125.82 10.0.1.26 52243 9885 6 1 44 1679490067 1679490097 REJECT OK
2 858966410158 eni-0f7ae9ee760bd16d2 64.62.194.188 10.0.1.176 123 39326 17 1 76 1679490095 1679490112 ACCEPT OK
2 858966410158 eni-0f7ae9ee760bd16d2 143.42.183.252 10.0.1.176 61000 448 6 1 40 1679490095 1679490112 REJECT OK
2 858966410158 eni-0f7ae9ee760bd16d2 79.124.58.146 10.0.1.176 52774 6573 6 1 40 1679490095 1679490112 REJECT OK
