version account-id interface-id srcaddr dstaddr srcport dstport protocol packets bytes start end action log-status
2 858966410158 eni-03ad9499cfe7dd531 121.151.29.47 10.0.1.26 32631 23 6 1 40 1679490368 1679490396 REJECT OK
2 858966410158 eni-03ad9499cfe7dd531 23.223.55.151 10.0.1.26 0 0 1 1 68 1679490368 1679490396 REJECT OK
2 858966410158 eni-03ad9499cfe7dd531 27.124.5.105 10.0.1.26 38256 12253 6 1 44 1679490368 1679490396 REJECT OK
2 858966410158 eni-03ad9499cfe7dd531 89.248.165.221 10.0.1.26 48495 57257 6 1 40 1679490368 1679490396 REJECT OK
2 858966410158 eni-03ad9499cfe7dd531 10.0.1.26 52.94.185.42 45710 443 6 28 12258 1679490368 1679490396 ACCEPT OK
2 858966410158 eni-03ad9499cfe7dd531 10.0.1.26 52.94.181.225 53058 443 6 37 16890 1679490368 1679490396 ACCEPT OK
2 858966410158 eni-03ad9499cfe7dd531 104.86.182.79 10.0.1.26 0 0 1 1 68 1679490368 1679490396 REJECT OK
2 858966410158 eni-03ad9499cfe7dd531 52.94.181.225 10.0.1.26 443 53058 6 35 11106 1679490368 1679490396 ACCEPT OK
2 858966410158 eni-03ad9499cfe7dd531 23.219.180.36 10.0.1.26 0 0 1 1 68 1679490368 1679490396 REJECT OK
2 858966410158 eni-03ad9499cfe7dd531 23.44.205.94 10.0.1.26 0 0 1 1 68 1679490368 1679490396 REJECT OK
2 858966410158 eni-03ad9499cfe7dd531 167.248.133.136 10.0.1.26 48301 10443 6 1 44 1679490368 1679490396 REJECT OK
2 858966410158 eni-03ad9499cfe7dd531 52.94.185.42 10.0.1.26 443 45710 6 28 9636 1679490368 1679490396 ACCEPT OK
2 858966410158 eni-0e7aabe80d29089d5 - - - - - - - 1679490377 1679490408 - NODATA
2 858966410158 eni-03ad9499cfe7dd531 23.37.231.54 10.0.1.26 0 0 1 1 68 1679490399 1679490419 REJECT OK
2 858966410158 eni-03ad9499cfe7dd531 23.53.34.183 10.0.1.26 0 0 1 1 68 1679490399 1679490419 REJECT OK
2 858966410158 eni-03ad9499cfe7dd531 104.80.88.31 10.0.1.26 0 0 1 1 68 1679490399 1679490419 REJECT OK
2 858966410158 eni-03ad9499cfe7dd531 52.94.181.225 10.0.1.26 443 46178 6 2 111 1679490399 1679490419 ACCEPT OK
2 858966410158 eni-03ad9499cfe7dd531 23.44.205.94 10.0.1.26 0 0 1 1 68 1679490399 1679490419 REJECT OK
2 858966410158 eni-03ad9499cfe7dd531 10.0.1.26 52.94.181.225 46178 443 6 3 151 1679490399 1679490419 ACCEPT OK
2 858966410158 eni-03ad9499cfe7dd531 23.40.63.174 10.0.1.26 0 0 1 1 68 1679490399 1679490419 REJECT OK
2 858966410158 eni-03ad9499cfe7dd531 185.224.128.215 10.0.1.26 34351 22 6 1 44 1679490399 1679490419 REJECT OK
2 858966410158 eni-03ad9499cfe7dd531 121.151.29.47 10.0.1.26 32631 23 6 1 40 1679490399 1679490419 REJECT OK
2 858966410158 eni-0f7ae9ee760bd16d2 89.248.165.253 10.0.1.176 46094 45698 6 1 40 1679490367 1679490370 REJECT OK
2 858966410158 eni-0f7ae9ee760bd16d2 10.0.1.176 65.182.224.60 45329 123 17 1 76 1679490367 1679490370 ACCEPT OK
2 858966410158 eni-0f7ae9ee760bd16d2 65.182.224.60 10.0.1.176 123 45329 17 1 76 1679490367 1679490370 ACCEPT OK
2 858966410158 eni-0f7ae9ee760bd16d2 162.142.125.182 10.0.1.176 50103 9194 6 1 44 1679490390 1679490419 REJECT OK
2 858966410158 eni-0f7ae9ee760bd16d2 162.142.125.91 10.0.1.176 6611 9682 6 1 44 1679490390 1679490419 REJECT OK
2 858966410158 eni-0f7ae9ee760bd16d2 89.248.165.184 10.0.1.176 41119 26195 6 1 40 1679490390 1679490419 REJECT OK
2 858966410158 eni-0f7ae9ee760bd16d2 162.142.125.178 10.0.1.176 51539 12293 6 1 44 1679490390 1679490419 REJECT OK
2 858966410158 eni-0f7ae9ee760bd16d2 85.217.145.45 10.0.1.176 46067 81 6 1 40 1679490390 1679490419 REJECT OK
2 858966410158 eni-0f7ae9ee760bd16d2 170.106.115.151 10.0.1.176 41323 9210 6 1 52 1679490390 1679490419 REJECT OK
2 858966410158 eni-0f7ae9ee760bd16d2 143.42.227.231 10.0.1.176 61000 563 6 1 40 1679490390 1679490419 REJECT OK
2 858966410158 eni-0f7ae9ee760bd16d2 45.33.66.9 10.0.1.176 61000 465 6 1 40 1679490390 1679490419 REJECT OK
2 858966410158 eni-0f7ae9ee760bd16d2 183.87.146.106 10.0.1.176 8000 4000 17 1 99 1679490390 1679490419 REJECT OK
2 858966410158 eni-0f7ae9ee760bd16d2 124.239.129.78 10.0.1.176 28484 1433 6 1 40 1679490390 1679490419 REJECT OK
2 858966410158 eni-0f7ae9ee760bd16d2 81.69.4.61 10.0.1.176 50278 2375 6 1 40 1679490446 1679490448 REJECT OK
2 858966410158 eni-0f7ae9ee760bd16d2 161.35.5.241 10.0.1.176 5241 5060 17 1 434 1679490446 1679490448 REJECT OK
2 858966410158 eni-03ad9499cfe7dd531 104.86.182.79 10.0.1.26 0 0 1 1 68 1679490427 1679490454 REJECT OK
2 858966410158 eni-03ad9499cfe7dd531 52.94.181.225 10.0.1.26 443 53058 6 14 2376 1679490427 1679490454 ACCEPT OK
2 858966410158 eni-03ad9499cfe7dd531 23.219.180.36 10.0.1.26 0 0 1 1 68 1679490427 1679490454 REJECT OK
2 858966410158 eni-03ad9499cfe7dd531 23.37.231.54 10.0.1.26 0 0 1 1 68 1679490427 1679490454 REJECT OK
2 858966410158 eni-03ad9499cfe7dd531 10.0.1.26 52.94.185.42 45710 443 6 23 11631 1679490427 1679490454 ACCEPT OK
2 858966410158 eni-03ad9499cfe7dd531 10.0.1.26 52.94.177.133 50178 443 6 51 23889 1679490427 1679490454 ACCEPT OK
2 858966410158 eni-03ad9499cfe7dd531 10.0.1.26 52.94.181.225 53058 443 6 15 7039 1679490427 1679490454 ACCEPT OK
2 858966410158 eni-03ad9499cfe7dd531 52.94.177.133 10.0.1.26 443 50178 6 45 13322 1679490427 1679490454 ACCEPT OK
2 858966410158 eni-03ad9499cfe7dd531 209.209.57.135 10.0.1.26 0 0 1 1 36 1679490427 1679490454 REJECT OK
2 858966410158 eni-03ad9499cfe7dd531 52.94.185.42 10.0.1.26 443 45710 6 17 3686 1679490427 1679490454 ACCEPT OK
2 858966410158 eni-03ad9499cfe7dd531 89.248.165.192 10.0.1.26 45124 22122 6 1 40 1679490427 1679490454 REJECT OK
2 858966410158 eni-03ad9499cfe7dd531 104.80.88.31 10.0.1.26 0 0 1 1 68 1679490427 1679490454 REJECT OK
2 858966410158 eni-03ad9499cfe7dd531 10.0.1.26 52.94.177.133 49526 443 6 37 16890 1679490427 1679490454 ACCEPT OK
2 858966410158 eni-03ad9499cfe7dd531 23.53.34.183 10.0.1.26 0 0 1 1 68 1679490427 1679490454 REJECT OK
2 858966410158 eni-03ad9499cfe7dd531 23.223.55.151 10.0.1.26 0 0 1 1 68 1679490427 1679490454 REJECT OK
2 858966410158 eni-03ad9499cfe7dd531 52.94.177.133 10.0.1.26 443 49526 6 34 11066 1679490427 1679490454 ACCEPT OK
2 858966410158 eni-03ad9499cfe7dd531 80.94.92.41 10.0.1.26 52998 25 6 1 40 1679490427 1679490454 REJECT OK
2 858966410158 eni-03ad9499cfe7dd531 121.151.29.47 10.0.1.26 32631 23 6 1 40 1679490427 1679490454 REJECT OK
2 858966410158 eni-0f7ae9ee760bd16d2 139.99.38.234 10.0.1.176 60000 22040 6 1 40 1679490478 1679490479 REJECT OK
2 858966410158 eni-0e7aabe80d29089d5 - - - - - - - 1679490438 1679490468 - NODATA
2 858966410158 eni-03ad9499cfe7dd531 167.94.145.25 10.0.1.26 41792 36858 6 1 44 1679490458 1679490484 REJECT OK
2 858966410158 eni-03ad9499cfe7dd531 23.44.205.94 10.0.1.26 0 0 1 1 68 1679490458 1679490484 REJECT OK
2 858966410158 eni-03ad9499cfe7dd531 38.17.55.196 10.0.1.26 123 58059 17 1 76 1679490458 1679490484 ACCEPT OK
2 858966410158 eni-03ad9499cfe7dd531 89.248.165.195 10.0.1.26 45703 6170 6 1 40 1679490458 1679490484 REJECT OK
2 858966410158 eni-03ad9499cfe7dd531 23.223.55.151 10.0.1.26 0 0 1 1 68 1679490458 1679490484 REJECT OK
2 858966410158 eni-03ad9499cfe7dd531 23.40.63.174 10.0.1.26 0 0 1 1 68 1679490458 1679490484 REJECT OK
2 858966410158 eni-03ad9499cfe7dd531 45.33.66.9 10.0.1.26 61000 990 6 1 40 1679490458 1679490484 REJECT OK
2 858966410158 eni-03ad9499cfe7dd531 162.142.125.186 10.0.1.26 38438 10040 6 1 44 1679490458 1679490484 REJECT OK
2 858966410158 eni-03ad9499cfe7dd531 89.248.163.74 10.0.1.26 43314 9891 6 1 40 1679490458 1679490484 REJECT OK
2 858966410158 eni-03ad9499cfe7dd531 10.0.1.26 38.17.55.196 58059 123 17 1 76 1679490458 1679490484 ACCEPT OK
2 858966410158 eni-03ad9499cfe7dd531 162.142.125.185 10.0.1.26 34250 18026 6 1 44 1679490458 1679490484 REJECT OK
2 858966410158 eni-03ad9499cfe7dd531 10.0.1.26 52.94.185.29 45142 443 6 51 23889 1679490458 1679490484 ACCEPT OK
2 858966410158 eni-03ad9499cfe7dd531 121.151.29.47 10.0.1.26 32631 23 6 3 120 1679490458 1679490484 REJECT OK
2 858966410158 eni-03ad9499cfe7dd531 107.152.37.65 10.0.1.26 45132 8001 6 1 40 1679490458 1679490484 REJECT OK
2 858966410158 eni-03ad9499cfe7dd531 89.248.163.15 10.0.1.26 43282 5730 6 1 40 1679490458 1679490484 REJECT OK
2 858966410158 eni-03ad9499cfe7dd531 52.94.185.29 10.0.1.26 443 45142 6 47 13402 1679490458 1679490484 ACCEPT OK
2 858966410158 eni-03ad9499cfe7dd531 162.142.125.179 10.0.1.26 57189 9162 6 1 44 1679490458 1679490484 REJECT OK
2 858966410158 eni-03ad9499cfe7dd531 23.219.180.36 10.0.1.26 0 0 1 1 68 1679490494 1679490511 REJECT OK
2 858966410158 eni-03ad9499cfe7dd531 23.37.231.54 10.0.1.26 0 0 1 1 68 1679490494 1679490511 REJECT OK
2 858966410158 eni-03ad9499cfe7dd531 23.53.34.183 10.0.1.26 0 0 1 1 68 1679490494 1679490511 REJECT OK
2 858966410158 eni-03ad9499cfe7dd531 104.80.88.31 10.0.1.26 0 0 1 1 68 1679490494 1679490511 REJECT OK
2 858966410158 eni-03ad9499cfe7dd531 10.0.1.26 52.94.177.133 49526 443 6 15 7039 1679490494 1679490511 ACCEPT OK
2 858966410158 eni-03ad9499cfe7dd531 162.142.125.85 10.0.1.26 31684 9994 6 1 44 1679490494 1679490511 REJECT OK
2 858966410158 eni-03ad9499cfe7dd531 23.40.63.174 10.0.1.26 0 0 1 1 68 1679490494 1679490511 REJECT OK
2 858966410158 eni-03ad9499cfe7dd531 104.86.182.79 10.0.1.26 0 0 1 1 68 1679490494 1679490511 REJECT OK
2 858966410158 eni-03ad9499cfe7dd531 121.151.29.47 10.0.1.26 32631 23 6 1 40 1679490494 1679490511 REJECT OK
2 858966410158 eni-03ad9499cfe7dd531 80.82.77.234 10.0.1.26 40207 2792 6 1 40 1679490494 1679490511 REJECT OK
2 858966410158 eni-03ad9499cfe7dd531 52.94.177.133 10.0.1.26 443 49526 6 11 2256 1679490494 1679490511 ACCEPT OK
2 858966410158 eni-0f7ae9ee760bd16d2 118.118.234.139 10.0.1.176 7502 37215 6 1 40 1679490501 1679490502 REJECT OK
2 858966410158 eni-0e7aabe80d29089d5 - - - - - - - 1679490497 1679490528 - NODATA
2 858966410158 eni-03ad9499cfe7dd531 10.0.1.26 42.81.132.182 80 52589 6 5 220 1679490517 1679490546 ACCEPT OK
2 858966410158 eni-03ad9499cfe7dd531 162.142.125.185 10.0.1.26 64134 8066 6 1 44 1679490517 1679490546 REJECT OK
2 858966410158 eni-03ad9499cfe7dd531 121.151.29.47 10.0.1.26 32631 23 6 1 40 1679490517 1679490546 REJECT OK
2 858966410158 eni-03ad9499cfe7dd531 52.94.176.105 10.0.1.26 443 47022 6 36 11146 1679490517 1679490546 ACCEPT OK
2 858966410158 eni-03ad9499cfe7dd531 10.0.1.26 183.56.226.11 80 52589 6 6 264 1679490517 1679490546 ACCEPT OK
2 858966410158 eni-03ad9499cfe7dd531 23.219.180.36 10.0.1.26 0 0 1 1 68 1679490517 1679490546 REJECT OK
2 858966410158 eni-03ad9499cfe7dd531 10.0.1.26 52.94.176.105 41306 443 6 52 23929 1679490517 1679490546 ACCEPT OK
2 858966410158 eni-03ad9499cfe7dd531 10.0.1.26 52.94.176.105 47022 443 6 37 16890 1679490517 1679490546 ACCEPT OK
2 858966410158 eni-03ad9499cfe7dd531 10.0.1.26 52.94.185.29 42118 443 6 51 23889 1679490517 1679490546 ACCEPT OK
2 858966410158 eni-03ad9499cfe7dd531 42.81.132.182 10.0.1.26 52589 80 6 1 44 1679490517 1679490546 ACCEPT OK
2 858966410158 eni-03ad9499cfe7dd531 23.223.55.151 10.0.1.26 0 0 1 1 68 1679490517 1679490546 REJECT OK
2 858966410158 eni-03ad9499cfe7dd531 104.86.182.79 10.0.1.26 0 0 1 1 68 1679490517 1679490546 REJECT OK
2 858966410158 eni-03ad9499cfe7dd531 23.44.205.94 10.0.1.26 0 0 1 1 68 1679490517 1679490546 REJECT OK
2 858966410158 eni-03ad9499cfe7dd531 183.56.226.11 10.0.1.26 52589 80 6 1 40 1679490517 1679490546 ACCEPT OK
2 858966410158 eni-03ad9499cfe7dd531 161.97.139.253 10.0.1.26 61000 5201 6 1 40 1679490517 1679490546 REJECT OK
2 858966410158 eni-03ad9499cfe7dd531 52.94.185.29 10.0.1.26 443 42118 6 46 13362 1679490517 1679490546 ACCEPT OK
2 858966410158 eni-03ad9499cfe7dd531 52.94.176.105 10.0.1.26 443 41306 6 46 13362 1679490517 1679490546 ACCEPT OK
2 858966410158 eni-0f7ae9ee760bd16d2 89.248.163.76 10.0.1.176 43307 8025 6 1 40 1679490532 1679490535 REJECT OK
2 858966410158 eni-0f7ae9ee760bd16d2 162.142.125.143 10.0.1.176 18638 21 6 1 44 1679490532 1679490535 REJECT OK
2 858966410158 eni-03ad9499cfe7dd531 38.17.55.196 10.0.1.26 123 55327 17 1 76 1679490548 1679490574 ACCEPT OK
2 858966410158 eni-03ad9499cfe7dd531 23.37.231.54 10.0.1.26 0 0 1 1 68 1679490548 1679490574 REJECT OK
2 858966410158 eni-03ad9499cfe7dd531 23.53.34.183 10.0.1.26 0 0 1 1 68 1679490548 1679490574 REJECT OK
2 858966410158 eni-03ad9499cfe7dd531 10.0.1.26 38.17.55.196 55327 123 17 1 76 1679490548 1679490574 ACCEPT OK
2 858966410158 eni-03ad9499cfe7dd531 10.0.1.26 52.119.167.123 48508 443 6 17 3407 1679490548 1679490574 ACCEPT OK
2 858966410158 eni-03ad9499cfe7dd531 162.142.125.240 10.0.1.26 20372 1283 6 1 44 1679490548 1679490574 REJECT OK
2 858966410158 eni-03ad9499cfe7dd531 92.118.39.92 10.0.1.26 56256 50100 6 1 40 1679490548 1679490574 REJECT OK
2 858966410158 eni-03ad9499cfe7dd531 52.119.167.123 10.0.1.26 443 48508 6 20 6718 1679490548 1679490574 ACCEPT OK
2 858966410158 eni-03ad9499cfe7dd531 23.44.205.94 10.0.1.26 0 0 1 1 68 1679490548 1679490574 REJECT OK
2 858966410158 eni-03ad9499cfe7dd531 10.0.1.26 52.94.181.224 53764 443 6 51 23889 1679490548 1679490574 ACCEPT OK
2 858966410158 eni-03ad9499cfe7dd531 52.94.181.224 10.0.1.26 443 53764 6 48 13442 1679490548 1679490574 ACCEPT OK
2 858966410158 eni-03ad9499cfe7dd531 89.248.165.221 10.0.1.26 48495 58316 6 1 40 1679490548 1679490574 REJECT OK
2 858966410158 eni-03ad9499cfe7dd531 23.40.63.174 10.0.1.26 0 0 1 1 68 1679490548 1679490574 REJECT OK
2 858966410158 eni-03ad9499cfe7dd531 104.80.88.31 10.0.1.26 0 0 1 1 68 1679490548 1679490574 REJECT OK
2 858966410158 eni-0f7ae9ee760bd16d2 125.252.82.209 10.0.1.176 43403 445 6 1 40 1679490578 1679490585 REJECT OK
2 858966410158 eni-0f7ae9ee760bd16d2 162.142.125.179 10.0.1.176 44369 8172 6 1 44 1679490578 1679490585 REJECT OK
2 858966410158 eni-0f7ae9ee760bd16d2 162.142.125.180 10.0.1.176 20157 12403 6 1 44 1679490578 1679490585 REJECT OK
2 858966410158 eni-0f7ae9ee760bd16d2 162.142.125.188 10.0.1.176 52644 12539 6 1 44 1679490542 1679490568 REJECT OK
2 858966410158 eni-0f7ae9ee760bd16d2 162.142.125.190 10.0.1.176 9891 4700 6 1 44 1679490542 1679490568 REJECT OK
2 858966410158 eni-0f7ae9ee760bd16d2 138.128.246.51 10.0.1.176 50526 3126 6 1 40 1679490542 1679490568 REJECT OK
2 858966410158 eni-0f7ae9ee760bd16d2 60.23.54.94 10.0.1.176 44454 1433 6 1 40 1679490542 1679490568 REJECT OK
2 858966410158 eni-0f7ae9ee760bd16d2 140.99.219.26 10.0.1.176 37310 8111 6 1 40 1679490542 1679490568 REJECT OK
2 858966410158 eni-0f7ae9ee760bd16d2 162.142.125.178 10.0.1.176 3255 16028 6 1 44 1679490542 1679490568 REJECT OK
2 858966410158 eni-0f7ae9ee760bd16d2 89.248.165.221 10.0.1.176 48495 57064 6 1 40 1679490542 1679490568 REJECT OK
2 858966410158 eni-0f7ae9ee760bd16d2 10.0.3.129 10.0.1.176 60621 123 17 1 76 1679490542 1679490568 REJECT OK
2 858966410158 eni-0e7aabe80d29089d5 10.0.3.129 209.51.161.238 60621 123 17 1 76 1679490561 1679490561 ACCEPT OK
