version account-id interface-id srcaddr dstaddr srcport dstport protocol packets bytes start end action log-status
2 858966410158 eni-03ad9499cfe7dd531 10.0.1.26 52.94.177.136 40040 443 6 12 3074 1679490877 1679490901 ACCEPT OK
2 858966410158 eni-03ad9499cfe7dd531 45.143.200.106 10.0.1.26 47681 8323 6 1 40 1679490877 1679490901 REJECT OK
2 858966410158 eni-03ad9499cfe7dd531 104.80.88.31 10.0.1.26 0 0 1 1 68 1679490877 1679490901 REJECT OK
2 858966410158 eni-03ad9499cfe7dd531 193.142.146.35 10.0.1.26 35302 23 6 1 40 1679490877 1679490901 REJECT OK
2 858966410158 eni-03ad9499cfe7dd531 104.86.182.79 10.0.1.26 0 0 1 1 68 1679490877 1679490901 REJECT OK
2 858966410158 eni-03ad9499cfe7dd531 120.78.86.14 10.0.1.26 59384 6379 6 1 60 1679490877 1679490901 REJECT OK
2 858966410158 eni-03ad9499cfe7dd531 23.223.55.151 10.0.1.26 0 0 1 1 68 1679490877 1679490901 REJECT OK
2 858966410158 eni-03ad9499cfe7dd531 52.94.177.132 10.0.1.26 443 37834 6 45 13322 1679490877 1679490901 ACCEPT OK
2 858966410158 eni-03ad9499cfe7dd531 23.219.180.36 10.0.1.26 0 0 1 1 68 1679490877 1679490901 REJECT OK
2 858966410158 eni-03ad9499cfe7dd531 198.199.92.190 10.0.1.26 37837 8181 6 1 40 1679490877 1679490901 REJECT OK
2 858966410158 eni-03ad9499cfe7dd531 23.37.231.54 10.0.1.26 0 0 1 1 68 1679490877 1679490901 REJECT OK
2 858966410158 eni-03ad9499cfe7dd531 10.0.1.26 52.94.177.132 37834 443 6 52 23929 1679490877 1679490901 ACCEPT OK
2 858966410158 eni-03ad9499cfe7dd531 23.53.34.183 10.0.1.26 0 0 1 1 68 1679490877 1679490901 REJECT OK
2 858966410158 eni-03ad9499cfe7dd531 52.94.177.136 10.0.1.26 443 40040 6 16 6776 1679490877 1679490901 ACCEPT OK
2 858966410158 eni-0f7ae9ee760bd16d2 107.170.224.21 10.0.1.176 50968 123 6 1 40 1679490871 1679490900 REJECT OK
2 858966410158 eni-0f7ae9ee760bd16d2 89.248.163.16 10.0.1.176 43290 13559 6 1 40 1679490871 1679490900 REJECT OK
2 858966410158 eni-0f7ae9ee760bd16d2 185.254.196.238 10.0.1.176 50002 8080 6 1 40 1679490871 1679490900 REJECT OK
2 858966410158 eni-0f7ae9ee760bd16d2 162.142.125.177 10.0.1.176 47955 10027 6 1 44 1679490871 1679490900 REJECT OK
2 858966410158 eni-0f7ae9ee760bd16d2 192.241.216.16 10.0.1.176 58035 53 6 1 40 1679490871 1679490900 REJECT OK
2 858966410158 eni-0f7ae9ee760bd16d2 134.209.25.157 10.0.1.176 35589 80 6 1 44 1679490871 1679490900 REJECT OK
2 858966410158 eni-0f7ae9ee760bd16d2 139.144.234.29 10.0.1.176 61000 636 6 1 40 1679490871 1679490900 REJECT OK
2 858966410158 eni-0f7ae9ee760bd16d2 162.142.125.250 10.0.1.176 20128 54118 6 1 44 1679490871 1679490900 REJECT OK
2 858966410158 eni-0f7ae9ee760bd16d2 162.243.151.19 10.0.1.176 54910 8181 6 1 40 1679490871 1679490900 REJECT OK
2 858966410158 eni-03ad9499cfe7dd531 104.248.157.218 10.0.1.26 54697 8080 6 1 40 1679490909 1679490928 REJECT OK
2 858966410158 eni-03ad9499cfe7dd531 134.122.32.236 10.0.1.26 54270 2001 6 1 44 1679490909 1679490928 REJECT OK
2 858966410158 eni-03ad9499cfe7dd531 10.0.1.26 52.94.176.105 42664 443 6 27 13927 1679490909 1679490928 ACCEPT OK
2 858966410158 eni-03ad9499cfe7dd531 23.44.205.94 10.0.1.26 0 0 1 1 68 1679490909 1679490928 REJECT OK
2 858966410158 eni-03ad9499cfe7dd531 52.94.176.105 10.0.1.26 443 42664 6 21 4441 1679490909 1679490928 ACCEPT OK
2 858966410158 eni-03ad9499cfe7dd531 23.223.55.151 10.0.1.26 0 0 1 1 68 1679490909 1679490928 REJECT OK
2 858966410158 eni-03ad9499cfe7dd531 10.0.1.26 52.94.177.136 55646 443 6 52 23929 1679490909 1679490928 ACCEPT OK
2 858966410158 eni-03ad9499cfe7dd531 89.248.163.74 10.0.1.26 43314 5689 6 1 40 1679490909 1679490928 REJECT OK
2 858966410158 eni-03ad9499cfe7dd531 52.94.177.136 10.0.1.26 443 55646 6 48 13442 1679490909 1679490928 ACCEPT OK
2 858966410158 eni-03ad9499cfe7dd531 23.40.63.174 10.0.1.26 0 0 1 1 68 1679490909 1679490928 REJECT OK
2 858966410158 eni-03ad9499cfe7dd531 121.151.29.47 10.0.1.26 32631 23 6 1 40 1679490909 1679490928 REJECT OK
2 858966410158 eni-0f7ae9ee760bd16d2 162.142.125.188 10.0.1.176 17274 12494 6 1 44 1679490913 1679490929 REJECT OK
2 858966410158 eni-0f7ae9ee760bd16d2 185.254.196.238 10.0.1.176 50002 80 6 1 40 1679490913 1679490929 REJECT OK
