version account-id interface-id srcaddr dstaddr srcport dstport protocol packets bytes start end action log-status
2 858966410158 eni-03ad9499cfe7dd531 52.119.167.123 10.0.1.26 443 54556 6 2 111 1679491181 1679491206 ACCEPT OK
2 858966410158 eni-03ad9499cfe7dd531 144.91.82.211 10.0.1.26 61000 5557 6 1 40 1679491181 1679491206 REJECT OK
2 858966410158 eni-03ad9499cfe7dd531 162.142.125.176 10.0.1.26 40974 49152 6 1 44 1679491181 1679491206 REJECT OK
2 858966410158 eni-03ad9499cfe7dd531 200.14.113.171 10.0.1.26 55021 445 6 1 52 1679491181 1679491206 REJECT OK
2 858966410158 eni-03ad9499cfe7dd531 10.0.1.26 52.119.167.123 54556 443 6 3 151 1679491181 1679491206 ACCEPT OK
2 858966410158 eni-03ad9499cfe7dd531 171.247.186.164 10.0.1.26 4065 22 6 1 44 1679491181 1679491206 REJECT OK
2 858966410158 eni-03ad9499cfe7dd531 10.0.1.26 52.94.185.45 51018 443 6 51 23889 1679491181 1679491206 ACCEPT OK
2 858966410158 eni-03ad9499cfe7dd531 52.94.185.45 10.0.1.26 443 51018 6 46 13362 1679491181 1679491206 ACCEPT OK
2 858966410158 eni-0f7ae9ee760bd16d2 162.142.125.183 10.0.1.176 57733 7171 6 1 44 1679491210 1679491229 REJECT OK
2 858966410158 eni-0f7ae9ee760bd16d2 89.248.163.16 10.0.1.176 43290 11865 6 1 40 1679491210 1679491229 REJECT OK
2 858966410158 eni-0f7ae9ee760bd16d2 92.118.39.91 10.0.1.176 52888 6001 6 1 40 1679491210 1679491229 REJECT OK
2 858966410158 eni-0f7ae9ee760bd16d2 194.26.29.195 10.0.1.176 47809 50013 6 1 40 1679491210 1679491229 REJECT OK
2 858966410158 eni-03ad9499cfe7dd531 162.142.125.189 10.0.1.26 3292 4080 6 1 44 1679491209 1679491233 REJECT OK
2 858966410158 eni-03ad9499cfe7dd531 52.94.212.197 10.0.1.26 443 60820 6 46 13362 1679491209 1679491233 ACCEPT OK
2 858966410158 eni-03ad9499cfe7dd531 221.122.67.75 10.0.1.26 51091 2375 6 1 40 1679491209 1679491233 REJECT OK
2 858966410158 eni-03ad9499cfe7dd531 10.0.1.26 52.94.212.197 60820 443 6 51 23889 1679491209 1679491233 ACCEPT OK
2 858966410158 eni-03ad9499cfe7dd531 162.142.125.189 10.0.1.26 42058 12254 6 1 44 1679491209 1679491233 REJECT OK
2 858966410158 eni-03ad9499cfe7dd531 139.177.184.210 10.0.1.26 54194 8009 6 1 44 1679491209 1679491233 REJECT OK
2 858966410158 eni-03ad9499cfe7dd531 89.248.165.186 10.0.1.26 41277 51765 6 1 40 1679491209 1679491233 REJECT OK
2 858966410158 eni-0e7aabe80d29089d5 - - - - - - - 1679491217 1679491248 - NODATA
2 858966410158 eni-0f7ae9ee760bd16d2 162.142.125.177 10.0.1.176 47134 9129 6 1 44 1679491237 1679491257 REJECT OK
2 858966410158 eni-0f7ae9ee760bd16d2 200.59.78.6 10.0.1.176 5876 23 6 1 40 1679491237 1679491257 REJECT OK
2 858966410158 eni-0f7ae9ee760bd16d2 91.240.118.77 10.0.1.176 48026 8971 6 1 40 1679491237 1679491257 REJECT OK
2 858966410158 eni-0f7ae9ee760bd16d2 85.217.145.45 10.0.1.176 56717 81 6 1 40 1679491237 1679491257 REJECT OK
2 858966410158 eni-0f7ae9ee760bd16d2 89.248.165.221 10.0.1.176 48495 56168 6 1 40 1679491237 1679491257 REJECT OK
2 858966410158 eni-03ad9499cfe7dd531 52.94.212.197 10.0.1.26 443 51852 6 46 13331 1679491237 1679491265 ACCEPT OK
2 858966410158 eni-03ad9499cfe7dd531 89.248.163.15 10.0.1.26 43282 6371 6 1 40 1679491237 1679491265 REJECT OK
2 858966410158 eni-03ad9499cfe7dd531 10.0.1.26 95.208.248.138 80 10644 6 5 675 1679491237 1679491265 ACCEPT OK
2 858966410158 eni-03ad9499cfe7dd531 89.248.163.15 10.0.1.26 43282 7055 6 1 40 1679491237 1679491265 REJECT OK
2 858966410158 eni-03ad9499cfe7dd531 192.241.199.29 10.0.1.26 53507 264 6 1 40 1679491237 1679491265 REJECT OK
2 858966410158 eni-03ad9499cfe7dd531 52.94.212.197 10.0.1.26 443 50326 6 46 13362 1679491237 1679491265 ACCEPT OK
2 858966410158 eni-03ad9499cfe7dd531 10.0.1.26 52.94.212.197 51852 443 6 48 23738 1679491237 1679491265 ACCEPT OK
2 858966410158 eni-03ad9499cfe7dd531 10.0.1.26 52.94.212.197 50326 443 6 51 23889 1679491237 1679491265 ACCEPT OK
2 858966410158 eni-03ad9499cfe7dd531 95.208.248.138 10.0.1.26 10644 80 6 6 678 1679491237 1679491265 ACCEPT OK
