version account-id interface-id srcaddr dstaddr srcport dstport protocol packets bytes start end action log-status
2 858966410158 eni-03ad9499cfe7dd531 23.147.230.11 10.0.1.26 40032 8088 6 1 40 1679491268 1679491295 REJECT OK
2 858966410158 eni-03ad9499cfe7dd531 10.0.1.26 52.119.167.123 36624 443 6 15 3132 1679491268 1679491295 ACCEPT OK
2 858966410158 eni-03ad9499cfe7dd531 159.223.196.115 10.0.1.26 39168 9999 6 1 40 1679491268 1679491295 REJECT OK
2 858966410158 eni-03ad9499cfe7dd531 162.142.125.182 10.0.1.26 18025 12517 6 1 44 1679491268 1679491295 REJECT OK
2 858966410158 eni-03ad9499cfe7dd531 71.6.233.43 10.0.1.26 7550 7550 6 1 40 1679491268 1679491295 REJECT OK
2 858966410158 eni-03ad9499cfe7dd531 52.119.167.123 10.0.1.26 443 36624 6 19 6695 1679491268 1679491295 ACCEPT OK
2 858966410158 eni-03ad9499cfe7dd531 162.142.125.189 10.0.1.26 5349 12147 6 1 44 1679491268 1679491295 REJECT OK
2 858966410158 eni-03ad9499cfe7dd531 187.32.48.59 10.0.1.26 51985 445 6 1 40 1679491268 1679491295 REJECT OK
2 858966410158 eni-03ad9499cfe7dd531 10.0.1.26 52.94.177.131 48940 443 6 51 23889 1679491268 1679491295 ACCEPT OK
2 858966410158 eni-03ad9499cfe7dd531 121.151.29.47 10.0.1.26 32631 23 6 1 40 1679491268 1679491295 REJECT OK
2 858966410158 eni-03ad9499cfe7dd531 52.94.177.131 10.0.1.26 443 48940 6 48 13442 1679491268 1679491295 ACCEPT OK
2 858966410158 eni-0f7ae9ee760bd16d2 89.248.163.16 10.0.1.176 43290 9398 6 1 40 1679491261 1679491288 REJECT OK
2 858966410158 eni-0f7ae9ee760bd16d2 74.82.47.51 10.0.1.176 45801 6379 6 1 40 1679491261 1679491288 REJECT OK
2 858966410158 eni-0f7ae9ee760bd16d2 89.248.163.76 10.0.1.176 43307 13135 6 1 40 1679491261 1679491288 REJECT OK
