version account-id interface-id srcaddr dstaddr srcport dstport protocol packets bytes start end action log-status
2 858966410158 eni-03ad9499cfe7dd531 10.0.1.26 52.94.176.107 43114 443 6 20 7666 1679491513 1679491535 ACCEPT OK
2 858966410158 eni-03ad9499cfe7dd531 89.248.163.15 10.0.1.26 43282 5909 6 1 40 1679491513 1679491535 REJECT OK
2 858966410158 eni-03ad9499cfe7dd531 185.224.128.17 10.0.1.26 51923 7302 6 1 40 1679491513 1679491535 REJECT OK
2 858966410158 eni-03ad9499cfe7dd531 146.88.240.4 10.0.1.26 46694 389 17 1 81 1679491513 1679491535 REJECT OK
2 858966410158 eni-03ad9499cfe7dd531 91.240.118.71 10.0.1.26 47937 8462 6 1 40 1679491513 1679491535 REJECT OK
2 858966410158 eni-03ad9499cfe7dd531 10.0.1.26 52.94.176.107 37380 443 6 51 23889 1679491513 1679491535 ACCEPT OK
2 858966410158 eni-03ad9499cfe7dd531 89.248.163.74 10.0.1.26 43314 6227 6 1 40 1679491513 1679491535 REJECT OK
2 858966410158 eni-03ad9499cfe7dd531 52.94.176.107 10.0.1.26 443 43114 6 24 8286 1679491513 1679491535 ACCEPT OK
2 858966410158 eni-03ad9499cfe7dd531 52.94.176.107 10.0.1.26 443 37380 6 48 13442 1679491513 1679491535 ACCEPT OK
2 858966410158 eni-03ad9499cfe7dd531 162.142.125.181 10.0.1.26 3089 8111 6 1 44 1679491513 1679491535 REJECT OK
2 858966410158 eni-0f7ae9ee760bd16d2 162.243.145.9 10.0.1.176 35071 4786 6 1 40 1679491518 1679491519 REJECT OK
2 858966410158 eni-0e7aabe80d29089d5 - - - - - - - 1679491517 1679491548 - NODATA
2 858966410158 eni-0f7ae9ee760bd16d2 162.142.125.177 10.0.1.176 18361 8808 6 1 44 1679491532 1679491556 REJECT OK
2 858966410158 eni-0f7ae9ee760bd16d2 89.248.163.76 10.0.1.176 43307 8026 6 1 40 1679491532 1679491556 REJECT OK
2 858966410158 eni-0f7ae9ee760bd16d2 89.248.165.184 10.0.1.176 41119 29625 6 1 40 1679491532 1679491556 REJECT OK
2 858966410158 eni-0f7ae9ee760bd16d2 79.124.56.118 10.0.1.176 58054 56226 6 1 40 1679491532 1679491556 REJECT OK
2 858966410158 eni-0f7ae9ee760bd16d2 182.31.251.212 10.0.1.176 9432 23 6 1 40 1679491532 1679491556 REJECT OK
2 858966410158 eni-0f7ae9ee760bd16d2 107.170.238.11 10.0.1.176 51988 8443 6 1 40 1679491532 1679491556 REJECT OK
2 858966410158 eni-0f7ae9ee760bd16d2 89.248.163.76 10.0.1.176 43307 10315 6 1 40 1679491532 1679491556 REJECT OK
2 858966410158 eni-03ad9499cfe7dd531 10.0.1.26 52.94.184.187 52146 443 6 45 21482 1679491552 1679491553 ACCEPT OK
2 858966410158 eni-03ad9499cfe7dd531 52.94.184.187 10.0.1.26 443 52146 6 40 12496 1679491552 1679491553 ACCEPT OK
