version account-id interface-id srcaddr dstaddr srcport dstport protocol packets bytes start end action log-status
2 858966410158 eni-0f7ae9ee760bd16d2 89.248.163.76 10.0.1.176 43307 8943 6 1 40 1679491872 1679491882 REJECT OK
2 858966410158 eni-0f7ae9ee760bd16d2 10.0.3.129 10.0.1.176 38717 123 17 1 76 1679491872 1679491882 REJECT OK
2 858966410158 eni-0f7ae9ee760bd16d2 91.240.118.71 10.0.1.176 47937 8205 6 1 40 1679491872 1679491882 REJECT OK
2 858966410158 eni-03ad9499cfe7dd531 10.0.1.26 52.94.185.29 43678 443 6 11 4743 1679491870 1679491883 ACCEPT OK
2 858966410158 eni-03ad9499cfe7dd531 38.17.55.196 10.0.1.26 123 43616 17 1 76 1679491870 1679491883 ACCEPT OK
2 858966410158 eni-03ad9499cfe7dd531 167.94.138.109 10.0.1.26 40004 6001 6 1 44 1679491870 1679491883 REJECT OK
2 858966410158 eni-03ad9499cfe7dd531 43.130.11.228 10.0.1.26 56098 8589 6 1 52 1679491870 1679491883 REJECT OK
2 858966410158 eni-03ad9499cfe7dd531 162.142.125.179 10.0.1.26 21259 20202 6 1 44 1679491870 1679491883 REJECT OK
2 858966410158 eni-03ad9499cfe7dd531 121.227.50.220 10.0.1.26 33096 23 6 1 40 1679491870 1679491883 REJECT OK
2 858966410158 eni-03ad9499cfe7dd531 52.94.185.29 10.0.1.26 443 43678 6 10 1621 1679491870 1679491883 ACCEPT OK
2 858966410158 eni-03ad9499cfe7dd531 52.94.176.106 10.0.1.26 443 46428 6 47 13402 1679491870 1679491883 ACCEPT OK
2 858966410158 eni-03ad9499cfe7dd531 10.0.1.26 38.17.55.196 43616 123 17 1 76 1679491870 1679491883 ACCEPT OK
2 858966410158 eni-03ad9499cfe7dd531 10.0.1.26 52.94.176.106 46428 443 6 51 23889 1679491870 1679491883 ACCEPT OK
2 858966410158 eni-03ad9499cfe7dd531 162.142.125.190 10.0.1.26 54691 18017 6 1 44 1679491870 1679491883 REJECT OK
2 858966410158 eni-0f7ae9ee760bd16d2 138.185.18.234 10.0.1.176 0 0 1 1 36 1679491903 1679491919 REJECT OK
2 858966410158 eni-0f7ae9ee760bd16d2 162.142.125.191 10.0.1.176 49525 10002 6 1 44 1679491903 1679491919 REJECT OK
2 858966410158 eni-0f7ae9ee760bd16d2 162.142.125.180 10.0.1.176 39285 8470 6 1 44 1679491903 1679491919 REJECT OK
2 858966410158 eni-0f7ae9ee760bd16d2 89.248.163.16 10.0.1.176 43290 8520 6 1 40 1679491903 1679491919 REJECT OK
2 858966410158 eni-03ad9499cfe7dd531 89.248.163.15 10.0.1.26 43282 8623 6 1 40 1679491896 1679491922 REJECT OK
2 858966410158 eni-03ad9499cfe7dd531 52.94.176.106 10.0.1.26 443 58388 6 46 13362 1679491896 1679491922 ACCEPT OK
2 858966410158 eni-03ad9499cfe7dd531 162.142.125.183 10.0.1.26 50863 16053 6 1 44 1679491896 1679491922 REJECT OK
2 858966410158 eni-03ad9499cfe7dd531 10.0.1.26 52.94.176.105 50612 443 6 49 23778 1679491896 1679491922 ACCEPT OK
2 858966410158 eni-03ad9499cfe7dd531 52.94.176.105 10.0.1.26 443 50612 6 47 13371 1679491896 1679491922 ACCEPT OK
2 858966410158 eni-03ad9499cfe7dd531 10.0.1.26 52.94.176.106 58388 443 6 51 23889 1679491896 1679491922 ACCEPT OK
2 858966410158 eni-03ad9499cfe7dd531 162.142.125.138 10.0.1.26 10241 1024 6 1 44 1679491896 1679491922 REJECT OK
2 858966410158 eni-0e7aabe80d29089d5 - - - - - - - 1679491877 1679491908 - NODATA
2 858966410158 eni-0e7aabe80d29089d5 10.0.3.129 63.211.239.58 38717 123 17 1 76 1679491911 1679491911 ACCEPT OK
2 858966410158 eni-0f7ae9ee760bd16d2 85.217.145.45 10.0.1.176 40377 81 6 1 40 1679491952 1679491975 REJECT OK
2 858966410158 eni-0f7ae9ee760bd16d2 162.142.125.190 10.0.1.176 33303 20090 6 1 44 1679491952 1679491975 REJECT OK
2 858966410158 eni-0f7ae9ee760bd16d2 89.248.165.189 10.0.1.176 45605 65115 6 1 40 1679491952 1679491975 REJECT OK
2 858966410158 eni-0e7aabe80d29089d5 - - - - - - - 1679491937 1679491968 - NODATA
2 858966410158 eni-0f7ae9ee760bd16d2 183.173.91.3 10.0.1.176 60029 2123 17 1 40 1679491950 1679491951 REJECT OK
