version account-id interface-id srcaddr dstaddr srcport dstport protocol packets bytes start end action log-status
2 858966410158 eni-0e7aabe80d29089d5 - - - - - - - 1679492177 1679492208 - NODATA
2 858966410158 eni-03ad9499cfe7dd531 52.94.185.43 10.0.1.26 443 42678 6 38 11226 1679492168 1679492188 ACCEPT OK
2 858966410158 eni-03ad9499cfe7dd531 121.151.29.47 10.0.1.26 32631 23 6 1 40 1679492168 1679492188 REJECT OK
2 858966410158 eni-03ad9499cfe7dd531 73.193.62.250 10.0.1.26 123 43413 17 1 76 1679492168 1679492188 ACCEPT OK
2 858966410158 eni-03ad9499cfe7dd531 10.0.1.26 52.94.185.43 42678 443 6 36 16850 1679492168 1679492188 ACCEPT OK
2 858966410158 eni-03ad9499cfe7dd531 10.0.1.26 45.79.111.167 58016 123 17 1 76 1679492168 1679492188 ACCEPT OK
2 858966410158 eni-03ad9499cfe7dd531 5.120.173.149 10.0.1.26 6990 443 6 1 60 1679492168 1679492188 REJECT OK
2 858966410158 eni-03ad9499cfe7dd531 5.120.173.149 10.0.1.26 6989 443 6 1 60 1679492168 1679492188 REJECT OK
2 858966410158 eni-03ad9499cfe7dd531 38.110.42.253 10.0.1.26 0 0 1 1 30 1679492168 1679492188 REJECT OK
2 858966410158 eni-03ad9499cfe7dd531 45.79.111.167 10.0.1.26 123 58016 17 1 76 1679492168 1679492188 ACCEPT OK
2 858966410158 eni-03ad9499cfe7dd531 194.26.29.152 10.0.1.26 47899 33081 6 1 40 1679492168 1679492188 REJECT OK
2 858966410158 eni-03ad9499cfe7dd531 10.0.1.26 73.193.62.250 43413 123 17 1 76 1679492168 1679492188 ACCEPT OK
2 858966410158 eni-03ad9499cfe7dd531 1.177.162.2 10.0.1.26 18681 23 6 1 40 1679492168 1679492188 REJECT OK
2 858966410158 eni-03ad9499cfe7dd531 52.94.185.30 10.0.1.26 443 37670 6 48 13442 1679492196 1679492210 ACCEPT OK
2 858966410158 eni-03ad9499cfe7dd531 10.0.1.26 52.94.185.30 37670 443 6 51 23889 1679492196 1679492210 ACCEPT OK
2 858966410158 eni-03ad9499cfe7dd531 10.0.1.26 52.94.177.136 49078 443 6 45 21482 1679492196 1679492210 ACCEPT OK
2 858966410158 eni-03ad9499cfe7dd531 52.94.177.136 10.0.1.26 443 49078 6 40 12496 1679492196 1679492210 ACCEPT OK
2 858966410158 eni-0f7ae9ee760bd16d2 108.167.178.116 10.0.1.176 60000 22257 6 1 40 1679492167 1679492190 REJECT OK
2 858966410158 eni-0f7ae9ee760bd16d2 162.142.125.183 10.0.1.176 10498 12334 6 1 44 1679492167 1679492190 REJECT OK
