version account-id interface-id srcaddr dstaddr srcport dstport protocol packets bytes start end action log-status
2 858966410158 eni-03ad9499cfe7dd531 10.0.1.26 52.94.181.229 43740 443 6 52 23929 1679492677 1679492706 ACCEPT OK
2 858966410158 eni-03ad9499cfe7dd531 195.169.125.251 10.0.1.26 0 0 1 1 32 1679492677 1679492706 REJECT OK
2 858966410158 eni-03ad9499cfe7dd531 89.248.163.15 10.0.1.26 43282 8452 6 1 40 1679492677 1679492706 REJECT OK
2 858966410158 eni-03ad9499cfe7dd531 52.94.181.229 10.0.1.26 443 55266 6 2 111 1679492677 1679492706 ACCEPT OK
2 858966410158 eni-03ad9499cfe7dd531 128.9.63.139 10.0.1.26 0 0 1 1 32 1679492677 1679492706 REJECT OK
2 858966410158 eni-03ad9499cfe7dd531 10.0.1.26 52.94.181.229 55266 443 6 3 151 1679492677 1679492706 ACCEPT OK
2 858966410158 eni-03ad9499cfe7dd531 162.142.125.187 10.0.1.26 57206 10048 6 1 44 1679492677 1679492706 REJECT OK
2 858966410158 eni-03ad9499cfe7dd531 52.94.184.187 10.0.1.26 443 39168 6 48 13442 1679492677 1679492706 ACCEPT OK
2 858966410158 eni-03ad9499cfe7dd531 52.94.181.229 10.0.1.26 443 43740 6 45 13322 1679492677 1679492706 ACCEPT OK
2 858966410158 eni-03ad9499cfe7dd531 10.0.1.26 52.94.184.187 39168 443 6 51 23889 1679492677 1679492706 ACCEPT OK
2 858966410158 eni-03ad9499cfe7dd531 94.102.61.54 10.0.1.26 35425 8475 6 1 44 1679492677 1679492706 REJECT OK
2 858966410158 eni-0f7ae9ee760bd16d2 146.88.240.4 10.0.1.176 40695 123 17 1 76 1679492702 1679492710 REJECT OK
2 858966410158 eni-0f7ae9ee760bd16d2 92.118.39.91 10.0.1.176 32992 6001 6 1 40 1679492702 1679492710 REJECT OK
2 858966410158 eni-0f7ae9ee760bd16d2 10.0.1.176 64.62.194.188 56506 123 17 1 76 1679492702 1679492710 ACCEPT OK
2 858966410158 eni-0f7ae9ee760bd16d2 64.62.194.188 10.0.1.176 123 56506 17 1 76 1679492702 1679492710 ACCEPT OK
2 858966410158 eni-03ad9499cfe7dd531 10.0.1.26 45.63.54.13 52077 123 17 1 76 1679492706 1679492735 ACCEPT OK
2 858966410158 eni-03ad9499cfe7dd531 193.123.78.129 10.0.1.26 0 0 1 1 34 1679492706 1679492735 REJECT OK
2 858966410158 eni-03ad9499cfe7dd531 207.90.244.4 10.0.1.26 26200 9218 6 1 44 1679492706 1679492735 REJECT OK
2 858966410158 eni-03ad9499cfe7dd531 52.94.184.187 10.0.1.26 443 52446 6 47 13402 1679492706 1679492735 ACCEPT OK
2 858966410158 eni-03ad9499cfe7dd531 89.248.163.74 10.0.1.26 43314 6552 6 1 40 1679492706 1679492735 REJECT OK
2 858966410158 eni-03ad9499cfe7dd531 89.248.165.22 10.0.1.26 41749 43154 6 1 40 1679492706 1679492735 REJECT OK
2 858966410158 eni-03ad9499cfe7dd531 10.0.1.26 52.94.184.187 52446 443 6 51 23889 1679492706 1679492735 ACCEPT OK
2 858966410158 eni-03ad9499cfe7dd531 45.63.54.13 10.0.1.26 123 52077 17 1 76 1679492706 1679492735 ACCEPT OK
2 858966410158 eni-0e7aabe80d29089d5 - - - - - - - 1679492717 1679492748 - NODATA
2 858966410158 eni-0f7ae9ee760bd16d2 39.102.132.164 10.0.1.176 46130 6379 6 1 60 1679492740 1679492747 REJECT OK
2 858966410158 eni-0f7ae9ee760bd16d2 85.217.145.45 10.0.1.176 41780 81 6 1 40 1679492740 1679492747 REJECT OK
2 858966410158 eni-03ad9499cfe7dd531 162.142.125.253 10.0.1.26 39477 33321 6 1 44 1679492739 1679492753 REJECT OK
2 858966410158 eni-03ad9499cfe7dd531 91.240.118.71 10.0.1.26 47937 8835 6 1 40 1679492739 1679492753 REJECT OK
2 858966410158 eni-03ad9499cfe7dd531 10.0.1.26 52.94.176.105 57892 443 6 48 23738 1679492739 1679492753 ACCEPT OK
2 858966410158 eni-03ad9499cfe7dd531 52.94.176.105 10.0.1.26 443 60174 6 48 13442 1679492739 1679492753 ACCEPT OK
2 858966410158 eni-03ad9499cfe7dd531 121.151.29.47 10.0.1.26 32631 23 6 1 40 1679492739 1679492753 REJECT OK
2 858966410158 eni-03ad9499cfe7dd531 10.0.1.26 52.94.176.105 60174 443 6 51 23889 1679492739 1679492753 ACCEPT OK
2 858966410158 eni-03ad9499cfe7dd531 52.94.176.105 10.0.1.26 443 57892 6 44 13251 1679492739 1679492753 ACCEPT OK
